kerbsideid,location,Latitude,Longitude
50669,"-37.80878490795517, 144.97173126985038",-37.80878490795517,144.97173126985038
65853,"-37.80878448812302, 144.97048656633723",-37.80878448812302,144.97048656633723
52214,"-37.810322721075494, 144.96709005970536",-37.810322721075494,144.96709005970536
61718,"-37.813747716292895, 144.97221188360052",-37.813747716292895,144.97221188360052
61910,"-37.814820906790246, 144.96855784841813",-37.814820906790246,144.96855784841813
51862,"-37.81403788673833, 144.96854058670203",-37.81403788673833,144.96854058670203
52024,"-37.812438425773976, 144.9678062923956",-37.812438425773976,144.9678062923956
52012,"-37.81240305617494, 144.96803830679937",-37.81240305617494,144.96803830679937
56610,"-37.81999824238842, 144.9575130747661",-37.81999824238842,144.9575130747661
51442,"-37.80857093499759, 144.96895845596356",-37.80857093499759,144.96895845596356
60437,"-37.81867159918419, 144.96361337707268",-37.81867159918419,144.96361337707268
66015,"-37.81003389356151, 144.96603423975398",-37.81003389356151,144.96603423975398
66332,"-37.81256887060002, 144.95737195796855",-37.81256887060002,144.95737195796855
66328,"-37.81248812891107, 144.95765108109012",-37.81248812891107,144.95765108109012
63315,"-37.81757659693908, 144.9553194889391",-37.81757659693908,144.9553194889391
53830,"-37.818361502543596, 144.96282088708273",-37.818361502543596,144.96282088708273
54245,"-37.81580552679101, 144.9609445799225",-37.81580552679101,144.9609445799225
8170,"-37.80202559501592, 144.96600431446328",-37.80202559501592,144.96600431446328
8166,"-37.80204351861583, 144.96616912342483",-37.80204351861583,144.96616912342483
8587,"-37.80333701058319, 144.96544833733736",-37.80333701058319,144.96544833733736
8600,"-37.80345474809766, 144.96561291569498",-37.80345474809766,144.96561291569498
8993,"-37.80082447469202, 144.95872596896504",-37.80082447469202,144.95872596896504
9007,"-37.80139590997216, 144.95848303895573",-37.80139590997216,144.95848303895573
9613,"-37.80398653905685, 144.94936336418544",-37.80398653905685,144.94936336418544
57651,"-37.8095913366171, 144.95242787718308",-37.8095913366171,144.95242787718308
57650,"-37.80964123882298, 144.95245433189928",-37.80964123882298,144.95245433189928
57646,"-37.80984075270797, 144.95256009473428",-37.80984075270797,144.95256009473428
57642,"-37.81004057439919, 144.95266502921604",-37.81004057439919,144.95266502921604
63239,"-37.81694890635765, 144.95772898544482",-37.81694890635765,144.95772898544482
11929,"-37.80149840416573, 144.9546578797619",-37.80149840416573,144.9546578797619
56524,"-37.81671279599158, 144.95734494601334",-37.81671279599158,144.95734494601334
63133,"-37.81616879805182, 144.96046718573854",-37.81616879805182,144.96046718573854
14327,"-37.803482109038455, 144.95985100469983",-37.803482109038455,144.95985100469983
61652,"-37.820014035321634, 144.95509897190527",-37.820014035321634,144.95509897190527
61928,"-37.815164498515514, 144.96738537228407",-37.815164498515514,144.96738537228407
51839,"-37.814215967467725, 144.9687480308728",-37.814215967467725,144.9687480308728
52124,"-37.81161963978917, 144.96755496911868",-37.81161963978917,144.96755496911868
52129,"-37.811378039874185, 144.96744465923365",-37.811378039874185,144.96744465923365
21680,"-37.8481726275857, 144.9829699645832",-37.8481726275857,144.9829699645832
21681,"-37.848164411859926, 144.98290258153128",-37.848164411859926,144.98290258153128
53930,"-37.81835552311773, 144.96224079538567",-37.81835552311773,144.96224079538567
22023,"-37.79947870372327, 144.95328673637817",-37.79947870372327,144.95328673637817
12292,"-37.79907847371052, 144.95346300950945",-37.79907847371052,144.95346300950945
18556,"-37.8199471493606, 144.95142567113518",-37.8199471493606,144.95142567113518
