kerbsideid,location,Latitude,Longitude
50665,"-37.80898703304595, 144.97182443322305",-37.80898703304595,144.97182443322305
65117,"-37.81039860517876, 144.96836108585921",-37.81039860517876,144.96836108585921
65131,"-37.81027225794166, 144.96912396834176",-37.81027225794166,144.96912396834176
65562,"-37.813447522749726, 144.9582679741734",-37.813447522749726,144.9582679741734
54517,"-37.812282774323805, 144.9595816217158",-37.812282774323805,144.9595816217158
57939,"-37.820322263929086, 144.9546071199171",-37.820322263929086,144.9546071199171
7554,"-37.8084702255787, 144.95937429841877",-37.8084702255787,144.95937429841877
60740,"-37.82083800986732, 144.9562787311334",-37.82083800986732,144.9562787311334
51927,"-37.81350740460786, 144.96842159734933",-37.81350740460786,144.96842159734933
51930,"-37.81340749303787, 144.96837524577256",-37.81340749303787,144.96837524577256
65210,"-37.81086842243505, 144.96676138730086",-37.81086842243505,144.96676138730086
65027,"-37.80979985259617, 144.9704046020691",-37.80979985259617,144.9704046020691
65075,"-37.810006553676985, 144.97003041759416",-37.810006553676985,144.97003041759416
65019,"-37.80964893705597, 144.9709169353198",-37.80964893705597,144.9709169353198
54632,"-37.81162774178004, 144.95916301285726",-37.81162774178004,144.95916301285726
62337,"-37.817835191277894, 144.95874617291366",-37.817835191277894,144.95874617291366
61945,"-37.81503490169031, 144.96838251781696",-37.81503490169031,144.96838251781696
56623,"-37.8198305086372, 144.95718744202293",-37.8198305086372,144.95718744202293
60132,"-37.816261569015516, 144.97184955455805",-37.816261569015516,144.97184955455805
60133,"-37.81628062406019, 144.97178578493475",-37.81628062406019,144.97178578493475
53816,"-37.81813881692696, 144.96278077148582",-37.81813881692696,144.96278077148582
8154,"-37.80215534001444, 144.96637059340546",-37.80215534001444,144.96637059340546
8164,"-37.80205923990902, 144.96631368209145",-37.80205923990902,144.96631368209145
8901,"-37.805040594246165, 144.9598249788204",-37.805040594246165,144.9598249788204
9584,"-37.80400069082501, 144.94955209749105",-37.80400069082501,144.94955209749105
9585,"-37.80394774748606, 144.9495614301553",-37.80394774748606,144.9495614301553
9588,"-37.803791316242936, 144.9495890004091",-37.803791316242936,144.9495890004091
9607,"-37.80366437740204, 144.94942015108126",-37.80366437740204,144.94942015108126
9612,"-37.803932780008246, 144.9493728388618",-37.803932780008246,144.9493728388618
9981,"-37.800214683782066, 144.96551055635052",-37.800214683782066,144.96551055635052
57648,"-37.809740995100576, 144.95250721026474",-37.809740995100576,144.95250721026474
57645,"-37.8098906355965, 144.9525865367229",-37.8098906355965,144.9525865367229
57641,"-37.810090915002306, 144.95269006303647",-37.810090915002306,144.95269006303647
10463,"-37.80165025464683, 144.96526929602075",-37.80165025464683,144.96526929602075
10900,"-37.80540466872164, 144.9501229767851",-37.80540466872164,144.9501229767851
11144,"-37.808281031290136, 144.95469843594896",-37.808281031290136,144.95469843594896
63246,"-37.81710249948173, 144.95718683644785",-37.81710249948173,144.95718683644785
12090,"-37.800364728028576, 144.9543005665328",-37.800364728028576,144.9543005665328
12091,"-37.80049100911073, 144.95413891553204",-37.80049100911073,144.95413891553204
56528,"-37.81651024755264, 144.95725315959675",-37.81651024755264,144.95725315959675
60140,"-37.81641873781997, 144.97132347031322",-37.81641873781997,144.97132347031322
66021,"-37.81014835868348, 144.9656417510855",-37.81014835868348,144.9656417510855
50512,"-37.809835219681005, 144.9723259750923",-37.809835219681005,144.9723259750923
64050,"-37.81626885897799, 144.9564379784483",-37.81626885897799,144.9564379784483
9079,"-37.80225297827825, 144.9585417861307",-37.80225297827825,144.9585417861307
9976,"-37.800061842655595, 144.96553692781495",-37.800061842655595,144.96553692781495
65146,"-37.81042151264754, 144.96861424686875",-37.81042151264754,144.96861424686875
51445,"-37.808490907240625, 144.9689216855448",-37.808490907240625,144.9689216855448
52125,"-37.81157057130334, 144.9675323437682",-37.81157057130334,144.9675323437682
21741,"-37.84797495698779, 144.98226205564055",-37.84797495698779,144.98226205564055
54041,"-37.8171787243711, 144.96170125514357",-37.8171787243711,144.96170125514357
54034,"-37.817412610968425, 144.96180813720161",-37.817412610968425,144.96180813720161
53932,"-37.81831226522772, 144.96222100013313",-37.81831226522772,144.96222100013313
53924,"-37.81851949643807, 144.96231585094733",-37.81851949643807,144.96231585094733
21510,"-37.83475669273402, 144.9753474904979",-37.83475669273402,144.9753474904979
54127,"-37.81646902222484, 144.96137412435405",-37.81646902222484,144.96137412435405
22020,"-37.79914114010213, 144.95371587679307",-37.79914114010213,144.95371587679307
52210,"-37.81052702660541, 144.9671826078899",-37.81052702660541,144.9671826078899
54435,"-37.81354416575893, 144.96003016181191",-37.81354416575893,144.96003016181191
54425,"-37.81382423563896, 144.96015936545342",-37.81382423563896,144.96015936545342
18543,"-37.82033820154115, 144.94946605994318",-37.82033820154115,144.94946605994318
18578,"-37.81948832943466, 144.94863704876167",-37.81948832943466,144.94863704876167
18574,"-37.81927219883438, 144.94862868054065",-37.81927219883438,144.94862868054065
65192,"-37.810679263087735, 144.9680772533104",-37.810679263087735,144.9680772533104
65115,"-37.810329415257065, 144.96859578009094",-37.810329415257065,144.96859578009094
21487,"-37.819968004313765, 144.94700438468254",-37.819968004313765,144.94700438468254
60838,"-37.814563533541275, 144.97356281055005",-37.814563533541275,144.97356281055005
20606,"-37.820319177118286, 144.94455379697746",-37.820319177118286,144.94455379697746
13474,"-37.81923720373574, 144.9458705875934",-37.81923720373574,144.9458705875934
60218,"-37.81701084974982, 144.96864635503948",-37.81701084974982,144.96864635503948
62329,"-37.81811771178083, 144.95719055879238",-37.81811771178083,144.95719055879238
51819,"-37.814010865674746, 144.96877776293968",-37.814010865674746,144.96877776293968
17439,"-37.81021796547164, 144.97567247151056",-37.81021796547164,144.97567247151056
24595,"-37.811194546532676, 144.986190389159",-37.811194546532676,144.986190389159
20638,"-37.80951140679669, 144.9782947399139",-37.80951140679669,144.9782947399139
23018,"-37.8114507118585, 144.97793149800404",-37.8114507118585,144.97793149800404
18687,"-37.80841314435585, 144.95991706705246",-37.80841314435585,144.95991706705246
65128,"-37.810245961509196, 144.96921394363216",-37.810245961509196,144.96921394363216
65211,"-37.81088939603193, 144.96668991789758",-37.81088939603193,144.96668991789758
9577,"-37.80446544036628, 144.94947086617978",-37.80446544036628,144.94947086617978
9614,"-37.804040512827484, 144.9493538484536",-37.804040512827484,144.9493538484536
11180,"-37.803361893890624, 144.9481784758012",-37.803361893890624,144.9481784758012
63226,"-37.81705852112091, 144.95709868149874",-37.81705852112091,144.95709868149874
66026,"-37.810245537194746, 144.9653118312001",-37.810245537194746,144.9653118312001
65113,"-37.81029203676752, 144.96872358485945",-37.81029203676752,144.96872358485945
53946,"-37.8184925684276, 144.96217929229044",-37.8184925684276,144.96217929229044
60221,"-37.817075885100294, 144.96842568827884",-37.817075885100294,144.96842568827884
8764,"-37.80155878139304, 144.96265070235955",-37.80155878139304,144.96265070235955
16415,"-37.809668877240526, 144.98110632910758",-37.809668877240526,144.98110632910758
56915,"-37.81682057459061, 144.95605201479813",-37.81682057459061,144.95605201479813
21371,"-37.8201632891837, 144.94866249907489",-37.8201632891837,144.94866249907489
51858,"-37.81425734115078, 144.9686424943515",-37.81425734115078,144.9686424943515
62734,"-37.81362523089549, 144.9690102149233",-37.81362523089549,144.9690102149233
63546,"-37.812378921136535, 144.9698324373617",-37.812378921136535,144.9698324373617
63544,"-37.81234132631971, 144.96996016217224",-37.81234132631971,144.96996016217224
61232,"-37.817354968869196, 144.96402889448265",-37.817354968869196,144.96402889448265
25020,"-37.809717904375894, 144.9730099177699",-37.809717904375894,144.9730099177699
58118,"-37.81739501171731, 144.95351225867483",-37.81739501171731,144.95351225867483
63924,"-37.81550058691079, 144.9585546021399",-37.81550058691079,144.9585546021399
7500,"-37.809655479639915, 144.97728598796425",-37.809655479639915,144.97728598796425
7851,"-37.80969891034127, 144.97644555131023",-37.80969891034127,144.97644555131023
7852,"-37.809691568217204, 144.97637804588027",-37.809691568217204,144.97637804588027
7863,"-37.8100265659921, 144.97939014817743",-37.8100265659921,144.97939014817743
25094,"-37.813136067545116, 144.9829703911222",-37.813136067545116,144.9829703911222
17381,"-37.80940577334893, 144.98097549263258",-37.80940577334893,144.98097549263258
10975,"-37.814149118404785, 144.97771810263913",-37.814149118404785,144.97771810263913
18168,"-37.80795579700932, 144.9723020581336",-37.80795579700932,144.9723020581336
60958,"-37.81565879878566, 144.9698181990027",-37.81565879878566,144.9698181990027
25468,"-37.802404051101405, 144.95876138722784",-37.802404051101405,144.95876138722784
25367,"-37.81362990096865, 144.94187183007364",-37.81362990096865,144.94187183007364
25366,"-37.81366408671927, 144.94192461336334",-37.81366408671927,144.94192461336334
62332,"-37.8181740333503, 144.9569940034882",-37.8181740333503,144.9569940034882
62333,"-37.818192225454816, 144.95693095698667",-37.818192225454816,144.95693095698667
63610,"-37.812851171184576, 144.96766091552885",-37.812851171184576,144.96766091552885
62657,"-37.81280256275539, 144.97194862892616",-37.81280256275539,144.97194862892616
10528,"-37.80250367256616, 144.9652451730745",-37.80250367256616,144.9652451730745
61946,"-37.81505364804086, 144.9683187548285",-37.81505364804086,144.9683187548285
62059,"-37.816023578231906, 144.96500119446284",-37.816023578231906,144.96500119446284
62875,"-37.81410774949788, 144.96750611392437",-37.81410774949788,144.96750611392437
63532,"-37.8126245996564, 144.96844726345032",-37.8126245996564,144.96844726345032
51617,"-37.81601454920161, 144.96970070161825",-37.81601454920161,144.96970070161825
51013,"-37.81275831372052, 144.9709626158803",-37.81275831372052,144.9709626158803
63554,"-37.81252952549515, 144.9693203964564",-37.81252952549515,144.9693203964564
52121,"-37.811082778084455, 144.9674352005439",-37.811082778084455,144.9674352005439
52013,"-37.81234966007979, 144.96801416263457",-37.81234966007979,144.96801416263457
50673,"-37.808586370255014, 144.97163949159662",-37.808586370255014,144.97163949159662
51444,"-37.80851761505247, 144.96893416273141",-37.80851761505247,144.96893416273141
51448,"-37.80841097471796, 144.96888485738836",-37.80841097471796,144.96888485738836
63141,"-37.81634039817992, 144.9598627272871",-37.81634039817992,144.9598627272871
65311,"-37.81156591098831, 144.96438764053093",-37.81156591098831,144.96438764053093
65230,"-37.81127736615012, 144.96537534506908",-37.81127736615012,144.96537534506908
54064,"-37.817344679211566, 144.96165560414704",-37.817344679211566,144.96165560414704
54415,"-37.81360543140286, 144.96018465655163",-37.81360543140286,144.96018465655163
54317,"-37.814359846257474, 144.9605299598744",-37.814359846257474,144.9605299598744
54316,"-37.814427556545596, 144.96056074711407",-37.814427556545596,144.96056074711407
63312,"-37.81749251773816, 144.9555587965791",-37.81749251773816,144.9555587965791
51619,"-37.815908054657584, 144.96965123731835",-37.815908054657584,144.96965123731835
65846,"-37.80865536322108, 144.9709331569701",-37.80865536322108,144.9709331569701
65129,"-37.81025476640585, 144.9691838165588",-37.81025476640585,144.9691838165588
7508,"-37.808800623722234, 144.9585733737045",-37.808800623722234,144.9585733737045
7559,"-37.80842568164155, 144.95952808407958",-37.80842568164155,144.95952808407958
