kerbsideid,location,Latitude,Longitude
65112,"-37.81023362406719, 144.9689236847353",-37.81023362406719,144.9689236847353
57941,"-37.820218307476466, 144.9545594873518",-37.820218307476466,144.9545594873518
7526,"-37.8086588047765, 144.95837673554954",-37.8086588047765,144.95837673554954
51935,"-37.813272765224156, 144.96831366008084",-37.813272765224156,144.96831366008084
51927,"-37.81350740460786, 144.96842159734933",-37.81350740460786,144.96842159734933
65210,"-37.81086842243505, 144.96676138730086",-37.81086842243505,144.96676138730086
65863,"-37.808974945759374, 144.96983154209187",-37.808974945759374,144.96983154209187
65027,"-37.80979985259617, 144.9704046020691",-37.80979985259617,144.9704046020691
65074,"-37.80999900178441, 144.97005620734325",-37.80999900178441,144.97005620734325
65067,"-37.80992492778876, 144.9703092236904",-37.80992492778876,144.9703092236904
65065,"-37.809910311128576, 144.97035915417365",-37.809910311128576,144.97035915417365
52216,"-37.810219381758266, 144.9670427256048",-37.810219381758266,144.9670427256048
52215,"-37.81027103052531, 144.9670663835568",-37.81027103052531,144.9670663835568
52231,"-37.81021089093612, 144.9669129755109",-37.81021089093612,144.9669129755109
62337,"-37.817835191277894, 144.95874617291366",-37.817835191277894,144.95874617291366
62350,"-37.81822189133538, 144.9573994699406",-37.81822189133538,144.9573994699406
64041,"-37.81602703957237, 144.95727462615082",-37.81602703957237,144.95727462615082
56621,"-37.81992528736467, 144.95723115799467",-37.81992528736467,144.95723115799467
57310,"-37.81318241643244, 144.95437718209934",-37.81318241643244,144.95437718209934
66010,"-37.8099402111704, 144.96635508204457",-37.8099402111704,144.96635508204457
53816,"-37.81813881692696, 144.96278077148582",-37.81813881692696,144.96278077148582
8183,"-37.80196734874865, 144.96637418843648",-37.80196734874865,144.96637418843648
8155,"-37.802147464965195, 144.96629693973486",-37.802147464965195,144.96629693973486
9584,"-37.80400069082501, 144.94955209749105",-37.80400069082501,144.94955209749105
9603,"-37.80440418481487, 144.94928979685488",-37.80440418481487,144.94928979685488
9611,"-37.80387968936999, 144.94938219700055",-37.80387968936999,144.94938219700055
9627,"-37.804957821300455, 144.94848724174722",-37.804957821300455,144.94848724174722
10309,"-37.8040356454575, 144.9648594218334",-37.8040356454575,144.9648594218334
10473,"-37.80136040496791, 144.9653188544421",-37.80136040496791,144.9653188544421
10483,"-37.800998667109255, 144.9653811278969",-37.800998667109255,144.9653811278969
10529,"-37.802451413199016, 144.965254266814",-37.802451413199016,144.965254266814
10861,"-37.8061167292377, 144.95510711737495",-37.8061167292377,144.95510711737495
11117,"-37.805907335803596, 144.95213158035006",-37.805907335803596,144.95213158035006
11143,"-37.808234440901415, 144.95467720003413",-37.808234440901415,144.95467720003413
11485,"-37.80315648178227, 144.95056431215517",-37.80315648178227,144.95056431215517
63242,"-37.81700299746663, 144.9575395867738",-37.81700299746663,144.9575395867738
63216,"-37.816796426580744, 144.957932265381",-37.816796426580744,144.957932265381
11878,"-37.80084202921251, 144.95618586601418",-37.80084202921251,144.95618586601418
11943,"-37.80157667692333, 144.95489135251938",-37.80157667692333,144.95489135251938
12094,"-37.80061171476536, 144.9539859172739",-37.80061171476536,144.9539859172739
12288,"-37.79947754891876, 144.95296156722577",-37.79947754891876,144.95296156722577
14681,"-37.80216323922254, 144.9664446786295",-37.80216323922254,144.9664446786295
65220,"-37.811070029710464, 144.96607795345318",-37.811070029710464,144.96607795345318
65953,"-37.8092795577476, 144.96874272434775",-37.8092795577476,144.96874272434775
51445,"-37.808490907240625, 144.9689216855448",-37.808490907240625,144.9689216855448
22428,"-37.84507948562708, 144.98114053763254",-37.84507948562708,144.98114053763254
52126,"-37.811474617980764, 144.96748890010622",-37.811474617980764,144.96748890010622
65571,"-37.81352602169963, 144.95799921207333",-37.81352602169963,144.95799921207333
