kerbsideid,location,Latitude,Longitude
61137,"-37.81675514971775, 144.9660867513672",-37.81675514971775,144.9660867513672
50667,"-37.808886411089446, 144.97177809276388",-37.808886411089446,144.97177809276388
50668,"-37.80883571539002, 144.9717547150704",-37.80883571539002,144.9717547150704
50669,"-37.80878490795517, 144.97173126985038",-37.80878490795517,144.97173126985038
50631,"-37.808896560867296, 144.97190792833277",-37.808896560867296,144.97190792833277
50636,"-37.80877846229541, 144.97185366115065",-37.80877846229541,144.97185366115065
50637,"-37.80875480843041, 144.97184279187314",-37.80875480843041,144.97184279187314
65183,"-37.810487086510605, 144.9687299278653",-37.810487086510605,144.9687299278653
65157,"-37.81053407934632, 144.96823134428138",-37.81053407934632,144.96823134428138
65518,"-37.81320766564029, 144.95874115957292",-37.81320766564029,144.95874115957292
65517,"-37.81319042136519, 144.9588003813769",-37.81319042136519,144.9588003813769
65510,"-37.81302718644266, 144.95936110148733",-37.81302718644266,144.95936110148733
65568,"-37.813499880271024, 144.95808871514726",-37.813499880271024,144.95808871514726
65543,"-37.81324046414947, 144.95897758460092",-37.81324046414947,144.95897758460092
57943,"-37.82011429509811, 144.95451180212012",-37.82011429509811,144.95451180212012
7513,"-37.80829650141198, 144.9596320313758",-37.80829650141198,144.9596320313758
7543,"-37.80857614206039, 144.95900866705398",-37.80857614206039,144.95900866705398
60737,"-37.820786142875036, 144.95645798905178",-37.820786142875036,144.95645798905178
65834,"-37.80891545154011, 144.96986556596156",-37.80891545154011,144.96986556596156
65853,"-37.80878448812302, 144.97048656633723",-37.80878448812302,144.97048656633723
65021,"-37.80967346794263, 144.97083457232358",-37.80967346794263,144.97083457232358
65072,"-37.80998399961277, 144.97010747421155",-37.80998399961277,144.97010747421155
65098,"-37.81006651045614, 144.97016789080607",-37.81006651045614,144.97016789080607
65056,"-37.80978257026817, 144.97079623261197",-37.80978257026817,144.97079623261197
65050,"-37.80967589501612, 144.97115990980103",-37.80967589501612,144.97115990980103
65044,"-37.80961790613839, 144.97135797972985",-37.80961790613839,144.97135797972985
