name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Melbourne,Australia",2022-01-01,36.5,20.6,26.2,34.9,20.6,25.7,11.8,43.4,0,0,0,,0,0,46.4,20.3,322.9,1007,50.3,12.5,249.5,21.3,9,,2022-01-01T06:01:34,2022-01-01T20:45:17,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-02,29.4,18.8,23,28.3,18.8,22.9,13.1,55.4,0,0,0,,0,0,54.4,21.1,194.7,1008,59.6,12.5,257.9,22.4,9,,2022-01-02T06:02:22,2022-01-02T20:45:25,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-03,19.9,16.8,18.2,19.9,16.8,18.2,10.8,62.3,0,0,0,,0,0,54.4,20.9,182.2,1013,49.6,12.5,326.6,28.1,10,,2022-01-03T06:03:11,2022-01-03T20:45:30,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-04,22.4,16.3,19.4,22.4,16.3,19.4,14.5,73.6,0,0,0,,0,0,40.3,15.5,180.5,1011.8,95.4,11,123.8,10.8,5,,2022-01-04T06:04:02,2022-01-04T20:45:34,0.04,Overcast,Cloudy skies throughout the day.,cloudy,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-05,28.5,20.1,23.5,28.6,20.1,23.5,16.4,65.7,0.002,100,4.17,rain,0,0,44.6,19.2,118.1,1008.7,74.3,11.7,227.5,19.6,10,,2022-01-05T06:04:53,2022-01-05T20:45:35,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-06,29.4,18.4,23.7,29.5,18.4,23.9,16.5,65.7,1.274,100,12.5,rain,0,0,39.6,11.5,353.6,1008.1,59.9,12.1,211.8,18.4,9,,2022-01-06T06:05:47,2022-01-06T20:45:34,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-07,24.4,18.5,21.8,24.4,18.5,21.8,17.4,77,21.484,100,8.33,rain,0,0,44.3,14.1,279.6,1007.8,78.2,11.5,151.7,13.2,7,,2022-01-07T06:06:41,2022-01-07T20:45:31,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-08,19.7,17.4,18.2,19.7,17.4,18.2,16,88,0.608,100,8.33,rain,0,0,38.2,15,193,1012.9,89.6,8.4,163.6,14.3,8,,2022-01-08T06:07:37,2022-01-08T20:45:26,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-09,21.4,16.2,18.4,21.4,16.2,18.4,12.7,69.7,0.178,100,4.17,rain,0,0,36.4,15.1,182.4,1015.5,52.3,11.5,286,24.9,10,,2022-01-09T06:08:33,2022-01-09T20:45:18,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-10,30.4,15.6,21.7,29.7,15.6,21.7,15.7,71.6,0,0,0,,0,0,38.9,16.8,193.2,1017.1,52.3,11.1,329,28.6,10,10,2022-01-10T06:09:31,2022-01-10T20:45:09,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-11,28.7,19.2,23.4,28.1,19.2,23.3,16.1,66.3,0,0,0,rain,0,0,34.2,20.6,174.6,1019.8,43.1,11.2,310.7,27,10,10,2022-01-11T06:10:30,2022-01-11T20:44:58,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-12,29.8,18.5,23.5,30,18.5,23.6,15.6,62.8,0,0,0,,0,0,21.6,18.8,138.6,1019.1,49.1,12.1,338,29.2,10,10,2022-01-12T06:11:30,2022-01-12T20:44:44,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-13,34.3,17.5,25.2,33.7,17.5,24.8,15.1,58.7,0.022,100,4.17,rain,0,0,25.9,16.9,58.6,1012.6,39.4,12.3,265.6,22.9,9,10,2022-01-13T06:12:30,2022-01-13T20:44:28,0.34,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-14,32.5,21.1,26.1,32.5,21.1,26.3,17.8,63.2,1.825,100,8.33,rain,0,0,37.8,20.3,357.7,1003.3,59.3,11.8,200,17.3,8,30,2022-01-14T06:13:32,2022-01-14T20:44:11,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-15,23.4,18.8,20.5,23.4,18.8,20.5,15.8,74.7,3.608,100,4.17,rain,0,0,24.8,13.9,204.5,1004.8,70.6,11.8,187.2,16.3,7,10,2022-01-15T06:14:34,2022-01-15T20:43:51,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-16,30.7,18,23.1,31.1,18,23.2,14.2,58.8,0,0,0,,0,0,16.9,12.8,178.9,1007.1,42.6,11.7,333.7,29,10,10,2022-01-16T06:15:37,2022-01-16T20:43:29,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
"Melbourne,Australia",2022-01-17,23.9,18.1,20.5,23.9,18.1,20.5,13.9,66.2,0,0,0,,0,0,24.8,15.8,210.9,1010,76,11.7,212.1,18.2,9,10,2022-01-17T06:16:41,2022-01-17T20:43:05,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
