Sighting Date,Common Name,Scientific Name,Sighting Count,Victorian Biodiversity Atlas Code,lat,lon,loc1_desc,lat2,lon2,loc2_desc,site_name,Location 2,Location 1
2018-03-12,Australian Magpie,Gymnorhina tibicen,2,10705,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-28,Australian White Ibis,Threskiornis molucca,141,10179,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-12,Australian White Ibis,Threskiornis molucca,83,10179,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-28,Chestnut Teal,Anas castanea,7,10210,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-12,Chestnut Teal,Anas castanea,5,10210,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-06,Common Blackbird,Turdus merula,1,10991,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-19,Common Blackbird,Turdus merula,3,10991,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-15,Common Myna,Acridotheres tristis,36,10998,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-15,Common Starling,Sturnus vulgaris,3,10999,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-19,Common Starling,Sturnus vulgaris,0,10999,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-28,Dusky Moorhen,Gallinula tenebrosa,0,10056,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-06,Dusky Moorhen,Gallinula tenebrosa,3,10056,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-12,Dusky Moorhen,Gallinula tenebrosa,3,10056,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-19,Dusky Moorhen,Gallinula tenebrosa,4,10056,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-28,Eastern Great Egret,Ardea modesta,0,10187,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-03-06,Eastern Great Egret,Ardea modesta,0,10187,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
2018-02-15,Little Pied Cormorant,Microcarbo melanoleucos,2,10100,-37.8038,144.9118,Dynon Road Tidal Canal Wildlife Sanctuary Downstream Limit,,,,Dynon Road Tidal Canal Wildlife Sanctuary,,"-37.8038, 144.9118"
