date,Public Holiday?,DayOfWeekNumeric,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),BourkeStMallSouth
2015-01-01,1,5,13.3,26.9,23.6,0.0,21217.0
2015-02-01,0,6,15.4,38.8,26.8,0.0,25256.0
2015-03-01,0,7,20.0,38.2,26.5,0.0,17648.0
2015-04-01,0,1,16.3,21.4,25.2,4.2,24428.0
2015-05-01,0,2,15.0,22.0,30.7,0.0,28503.0
2015-06-01,0,3,17.7,26.0,31.6,0.0,26448.0
2015-07-01,0,4,18.9,37.4,20.7,0.0,23106.0
2015-08-01,0,5,23.1,28.2,13.5,19.4,27205.0
2015-09-01,0,6,16.5,18.0,3.1,1.2,28918.0
2015-10-01,0,7,13.6,21.7,5.6,5.2,24261.0
2015-11-01,0,1,15.6,27.5,29.9,0.0,21071.0
2015-12-01,0,2,16.1,31.3,31.6,0.0,24396.0
2015-01-13,0,3,20.2,25.6,4.2,0.0,21766.0
2015-01-14,0,4,18.3,22.7,15.2,15.8,25869.0
2015-01-15,0,5,15.8,20.0,14.6,0.0,28067.0
2015-01-16,0,6,13.1,27.3,30.3,0.0,32024.0
2015-01-17,0,7,15.9,25.0,27.5,0.0,26435.0
2015-01-18,0,1,15.3,19.5,23.4,0.0,23566.0
2015-01-19,0,2,13.5,23.6,29.0,0.0,25873.0
2015-01-20,0,3,13.0,30.4,19.6,0.0,25999.0
2015-01-21,0,4,19.7,33.1,25.8,0.0,27584.0
2015-01-22,0,5,18.7,35.8,23.1,0.0,27413.0
2015-01-23,0,6,20.2,25.0,28.6,0.0,32745.0
2015-01-24,0,7,15.8,26.3,30.3,0.0,27260.0
2015-01-25,0,1,14.7,22.0,25.4,0.0,24231.0
2015-01-26,1,2,11.6,19.8,19.9,1.0,22348.0
2015-01-27,0,3,11.7,19.1,17.7,0.6,24234.0
2015-01-28,0,4,13.3,25.4,27.0,0.0,26228.0
2015-01-29,0,5,12.8,22.2,28.9,0.0,27276.0
2015-01-30,0,6,13.1,21.0,27.6,0.0,28958.0
2015-01-31,0,7,14.3,20.2,26.2,0.0,24630.0
2015-01-02,0,1,13.2,19.0,17.3,9.2,18748.0
2015-02-02,0,2,13.5,21.1,23.9,3.8,22000.0
2015-03-02,0,3,16.1,20.0,22.7,0.0,22063.0
2015-04-02,0,4,14.8,19.0,21.2,0.0,22915.0
2015-05-02,0,5,13.3,24.2,28.8,0.0,25352.0
2015-06-02,0,6,14.5,35.7,28.4,0.0,27904.0
2015-07-02,0,7,18.8,35.0,16.1,0.0,23281.0
2015-08-02,0,1,18.9,21.5,16.6,0.0,19432.0
2015-09-02,1,2,13.6,28.3,28.6,0.0,22845.0
2015-10-02,0,3,16.4,27.8,27.7,0.0,22066.0
2015-11-02,0,4,18.1,26.8,24.1,0.0,22594.0
2015-12-02,0,5,17.8,21.9,23.8,0.0,26209.0
2015-02-13,0,6,16.1,32.4,14.9,0.0,29544.0
2015-02-14,0,7,19.0,25.1,20.8,19.6,30768.0
2015-02-15,0,1,18.2,34.4,25.7,0.4,23124.0
2015-02-16,0,2,17.4,24.6,26.3,0.0,23922.0
2015-02-17,0,3,17.6,20.6,8.3,0.0,23258.0
2015-02-18,0,4,17.7,21.2,7.8,0.0,25011.0
2015-02-19,0,5,18.2,26.9,24.7,0.0,27076.0
2015-02-20,0,6,17.4,25.3,24.7,0.0,30652.0
2015-02-21,0,7,18.1,36.1,20.0,0.0,33913.0
2015-02-22,0,1,20.3,35.3,11.7,1.6,24953.0
2015-02-23,0,2,21.1,29.3,4.7,0.0,23023.0
2015-02-24,0,3,15.9,20.1,21.4,3.2,25183.0
2015-02-25,0,4,14.0,27.0,24.1,0.0,24558.0
2015-02-26,0,5,16.0,23.2,18.5,0.0,26625.0
2015-02-27,0,6,14.8,24.3,21.7,0.0,31060.0
2015-02-28,0,7,17.9,32.3,6.9,0.0,27083.0
2015-01-03,0,1,15.2,20.8,23.3,15.8,23429.0
2015-02-03,0,2,11.6,23.0,22.0,0.0,24186.0
