pipe_id,source,failure,installation_year,material,diameter_inches,length_feet,soil_type,soil_corrosivity,soil_moisture,soil_ph,depth_feet,pressure_psi,traffic_load,num_previous_repairs,days_since_last_repair,num_joints,water_quality_index,population_density,zone,average_daily_flow_gpm,temperature_variation_f,rainfall_inches_annual,ground_movement_index,pipe_age,material_life,age_ratio
SYR-0556,Syracuse_Real_Data,1,1981,asbestos_cement,24,1455.4,loam,corrosive,51.3,5.21,5.5,81.3,light,1,50,11,61.6,8696.0,residential,420.8,19.4,48.6,4.67,43,70,0.6142857142857143
EPA-02492,EPA_DWINS_Pattern,0,2017,clay,12,1436.9,silt,mildly_corrosive,38.9,8.9,6.2,102.0,heavy,2,2717,7,91.9,10934.0,mixed,247.6,72.5,52.6,8.68,7,60,0.11666666666666667
SYR-0528,Syracuse_Real_Data,1,1920,pvc,4,445.3,silt,non_corrosive,37.4,4.57,11.8,51.4,light,5,505,14,59.8,1838.0,commercial,182.5,50.5,18.1,0.65,104,75,1.3866666666666667
EPA-02926,EPA_DWINS_Pattern,0,1967,ductile_iron,24,121.5,clay,moderately_corrosive,12.3,7.79,2.8,87.9,heavy,1,841,14,68.2,12766.0,residential,70.9,77.6,15.4,9.94,57,100,0.57
EPA-01990,EPA_DWINS_Pattern,0,1989,cast_iron,24,642.4,clay,non_corrosive,67.1,7.19,3.1,68.5,moderate,1,2115,18,69.0,5551.0,commercial,274.3,29.3,15.3,4.12,35,100,0.35
SYR-0071,Syracuse_Real_Data,1,1984,galvanized_steel,8,356.4,gravel,mildly_corrosive,62.5,4.98,6.4,89.6,moderate,3,2464,24,69.8,2950.0,commercial,336.2,22.9,37.0,8.67,40,50,0.8
EPA-00757,EPA_DWINS_Pattern,0,1960,ductile_iron,10,821.8,gravel,non_corrosive,66.8,8.68,3.7,32.9,moderate,2,150,9,53.8,2773.0,commercial,136.7,71.1,25.4,0.37,64,100,0.64
SYR-0212,Syracuse_Real_Data,1,1961,galvanized_steel,4,1959.7,peat,moderately_corrosive,90.0,5.01,8.8,58.2,heavy,2,2807,21,92.2,12108.0,residential,335.5,62.6,31.4,1.87,63,50,1.26
SYR-0197,Syracuse_Real_Data,1,1959,cast_iron,20,403.1,peat,corrosive,50.2,6.58,5.6,57.7,none,1,531,22,60.8,7222.0,commercial,236.4,24.8,68.5,5.88,65,100,0.65
SYR-0804,Syracuse_Real_Data,1,1961,steel,20,671.8,loam,corrosive,85.0,7.95,10.5,67.7,light,1,2341,21,68.3,3938.0,residential,31.4,34.6,29.4,0.15,63,70,0.9
EPA-02410,EPA_DWINS_Pattern,0,1958,ductile_iron,4,1464.0,gravel,mildly_corrosive,47.7,7.82,9.5,40.3,heavy,1,2850,28,81.9,13978.0,industrial,31.6,32.3,29.7,5.59,66,100,0.66
EPA-02837,EPA_DWINS_Pattern,0,1983,ductile_iron,16,1042.9,sandy,non_corrosive,50.6,5.6,6.7,69.3,light,0,709,8,90.2,8834.0,commercial,39.1,59.4,54.4,2.71,41,100,0.41
EPA-00147,EPA_DWINS_Pattern,0,1944,hdpe,10,135.7,silt,moderately_corrosive,63.8,8.2,10.4,78.7,moderate,0,1476,22,79.4,9551.0,commercial,213.5,25.1,66.5,5.3,80,50,1.6
EPA-00499,EPA_DWINS_Pattern,0,1990,cast_iron,12,365.3,peat,highly_corrosive,28.4,8.81,3.0,32.4,moderate,1,1894,2,68.1,3794.0,commercial,411.8,15.4,48.7,7.49,34,100,0.34
EPA-02859,EPA_DWINS_Pattern,0,1931,copper,6,1873.7,silt,highly_corrosive,28.5,6.37,7.8,57.1,heavy,2,2024,11,50.3,6057.0,mixed,167.9,67.3,56.2,6.27,93,80,1.1625
EPA-02483,EPA_DWINS_Pattern,0,2014,concrete,20,251.2,sandy,moderately_corrosive,53.3,7.26,8.1,46.0,heavy,2,2961,22,74.8,4674.0,residential,318.2,10.8,23.7,7.45,10,75,0.13333333333333333
EPA-00186,EPA_DWINS_Pattern,0,1946,hdpe,10,1288.4,sandy,non_corrosive,15.8,5.82,4.5,117.5,light,4,3485,28,78.1,3764.0,commercial,424.0,52.6,21.2,3.47,78,50,1.56
