pipe_id,installation_year,material,pipe_age,diameter_inches,length_feet,soil_corrosivity,soil_moisture,num_previous_repairs,pressure_psi,zone,failure_probability,risk_score,risk_level,priority_rank,estimated_repair_cost,expected_loss,maintenance_action,urgency_days
PIPE-03589,1944,cast_iron,80,8,1730.0,highly_corrosive,47.9,0,107.3,mixed,0.9558538035038668,95.6,CRITICAL,1,155700.0,148826.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02285,1966,cast_iron,58,8,1020.5,highly_corrosive,83.8,4,82.8,industrial,0.954597412150653,95.5,CRITICAL,2,99499.0,94981.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04400,1945,cast_iron,79,8,950.8,corrosive,81.9,2,59.8,industrial,0.9539205006983542,95.4,CRITICAL,3,92703.0,88431.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02901,1968,cast_iron,56,12,1032.9,highly_corrosive,41.4,3,62.0,commercial,0.9524895423891419,95.2,CRITICAL,4,174302.0,166021.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03873,1940,cast_iron,84,12,1057.6,mildly_corrosive,57.3,3,78.8,residential,0.9499538428431344,95.0,CRITICAL,5,118980.0,113026.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00550,1962,asbestos_cement,62,8,337.6,corrosive,70.5,3,81.1,industrial,0.9469761310422619,94.7,CRITICAL,6,43888.0,41561.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02131,1965,cast_iron,59,6,290.6,corrosive,61.5,2,91.0,industrial,0.9468596218407883,94.7,CRITICAL,7,21250.0,20121.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04639,1963,asbestos_cement,61,12,1276.1,moderately_corrosive,88.8,3,89.1,residential,0.9466991639493242,94.7,CRITICAL,8,191415.0,181212.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04313,1940,cast_iron,84,12,1848.3,corrosive,49.2,1,90.5,residential,0.9462048782580083,94.6,CRITICAL,9,207934.0,196748.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00590,1964,cast_iron,60,16,733.9,highly_corrosive,34.0,3,110.2,commercial,0.9456339214782831,94.6,CRITICAL,10,165128.0,156151.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01387,1965,asbestos_cement,59,8,644.5,mildly_corrosive,58.0,1,102.8,residential,0.945126715235075,94.5,CRITICAL,11,64450.0,60913.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04100,1961,cast_iron,63,8,452.6,mildly_corrosive,82.8,4,114.4,commercial,0.9432487811562293,94.3,CRITICAL,12,50918.0,48028.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04203,1963,cast_iron,61,12,287.9,corrosive,65.0,2,105.6,residential,0.9426408267504278,94.3,CRITICAL,13,32389.0,30531.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03222,1959,cast_iron,65,10,691.1,moderately_corrosive,53.5,3,66.0,mixed,0.9426238549532182,94.3,CRITICAL,14,77749.0,73288.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02128,1961,cast_iron,63,8,1069.0,corrosive,87.5,3,105.7,commercial,0.9414877687657764,94.1,CRITICAL,15,120262.0,113225.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02468,1936,cast_iron,88,10,417.4,moderately_corrosive,84.7,4,110.8,commercial,0.9410457731300825,94.1,CRITICAL,16,58697.0,55237.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02699,1963,asbestos_cement,61,4,563.1,highly_corrosive,72.0,2,82.1,residential,0.9386529753472793,93.9,CRITICAL,17,28155.0,26428.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00389,1969,asbestos_cement,55,8,323.1,mildly_corrosive,49.5,3,106.8,residential,0.9380283075106348,93.8,CRITICAL,18,32310.0,30308.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03579,1934,asbestos_cement,90,8,656.6,moderately_corrosive,40.8,3,107.4,commercial,0.9369342631048327,93.7,CRITICAL,19,98490.0,92279.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04005,1957,cast_iron,67,8,1352.4,highly_corrosive,63.8,1,46.0,residential,0.9364842970952566,93.6,CRITICAL,20,101430.0,94988.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00806,1964,asbestos_cement,60,6,659.2,moderately_corrosive,88.4,1,107.0,commercial,0.9363097245445539,93.6,CRITICAL,21,74160.0,69437.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-02559,1960,cast_iron,64,8,190.6,moderately_corrosive,71.1,3,90.9,mixed,0.9360533305060734,93.6,CRITICAL,22,17154.0,16057.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04729,1960,asbestos_cement,64,12,641.5,highly_corrosive,92.7,1,85.8,residential,0.9357511161771879,93.6,CRITICAL,23,96225.0,90043.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01930,1939,cast_iron,85,10,391.3,mildly_corrosive,39.2,4,52.8,commercial,0.935612892187712,93.6,CRITICAL,24,55027.0,51484.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01593,1964,cast_iron,60,6,942.2,corrosive,89.3,4,38.6,industrial,0.9348251301626596,93.5,CRITICAL,25,68898.0,64408.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04710,1964,steel,60,4,1327.5,highly_corrosive,84.0,5,75.2,residential,0.9337907024478792,93.4,CRITICAL,26,43144.0,40287.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-01292,1940,cast_iron,84,8,1960.6,corrosive,73.7,0,95.7,commercial,0.9335647604837055,93.4,CRITICAL,27,220568.0,205915.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04504,1923,cast_iron,101,12,811.2,highly_corrosive,60.9,0,83.4,residential,0.9318638804912273,93.2,CRITICAL,28,91260.0,85042.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-04104,1960,cast_iron,64,24,1645.6,highly_corrosive,73.1,0,75.4,residential,0.931860991675065,93.2,CRITICAL,29,370260.0,345031.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03761,1956,cast_iron,68,6,160.3,corrosive,37.5,0,90.6,residential,0.9312489916589902,93.1,CRITICAL,30,9017.0,8397.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-00689,1946,asbestos_cement,78,10,1717.4,mildly_corrosive,44.6,3,93.9,industrial,0.9311248824212329,93.1,CRITICAL,31,279078.0,259856.0,IMMEDIATE REPLACEMENT - within 30 days,30
PIPE-03433,1962,asbestos_cement,62,4,1417.5,corrosive,62.5,3,53.9,residential,0.9311208932556472,93.1,CRITICAL,32,70875.0,65993.0,IMMEDIATE REPLACEMENT - within 30 days,30
