Date	Total_Pedestrian_Count_per_day
2015-01-01	471563
2015-01-02	389048
2015-01-03	291761
2015-01-04	382364
2015-01-05	487220
2015-01-06	485340
2015-01-07	427142
2015-01-08	474146
2015-01-09	493430
2015-01-10	425481
2015-01-11	388144
2015-01-12	484633
2015-01-13	428901
2015-01-14	469651
2015-01-15	484780
2015-01-16	578750
2015-01-17	441219
2015-01-18	434167
2015-01-19	528505
2015-01-20	565802
2015-01-21	586215
2015-01-22	562570
2015-01-23	647374
2015-01-24	551271
2015-01-25	483016
2015-01-26	583404
2015-01-27	506995
2015-01-28	554508
2015-01-29	549153
2015-01-30	611914
2015-01-31	454552
2015-02-01	359600
2015-02-02	497991
2015-02-03	519223
2015-02-04	531553
2015-02-05	553957
2015-02-06	598130
2015-02-07	456256
2015-02-08	393458
2015-02-09	516238
2015-02-10	533244
2015-02-11	518877
2015-02-12	566425
2015-02-13	577716
2015-02-14	601566
2015-02-15	458469
2015-02-16	522039
2015-02-17	554552
2015-02-18	629421
2015-02-19	641733
2015-02-20	696494
2015-02-21	711394
2015-02-22	703631
2015-02-23	546358
2015-02-24	614174
2015-02-25	639207
2015-02-26	631904
2015-02-27	698009
2015-02-28	515919
2015-03-01	477727
2015-03-02	572045
2015-03-03	601851
2015-03-04	636763
2015-03-05	613915
2015-03-06	653812
2015-03-07	656325
2015-03-08	749645
2015-03-09	625386
2015-03-10	573615
2015-03-11	620929
2015-03-12	617938
2015-03-13	728920
2015-03-14	573160
2015-03-15	490759
2015-03-16	594026
2015-03-17	579477
2015-03-18	613218
2015-03-19	623515
2015-03-20	692880
2015-03-21	577248
2015-03-22	555312
2015-03-23	536966
2015-03-24	548713
2015-03-25	618004
2015-03-26	617469
2015-03-27	699092
2015-03-28	620811
2015-03-29	599990
2015-03-30	647490
2015-03-31	652023
2015-04-01	621352
2015-04-02	671795
2015-04-03	476397
2015-04-04	575694
2015-04-05	465305
2015-04-06	422131
2015-04-07	512383
2015-04-08	621442
2015-04-09	660311
