,date,sensor_id,sensor_name,daily_count
8,2015-01-01,10,Victoria Point,2592
41,2015-01-02,10,Victoria Point,1848
75,2015-01-03,10,Victoria Point,1451
108,2015-01-04,10,Victoria Point,1047
141,2015-01-05,10,Victoria Point,3416
174,2015-01-06,10,Victoria Point,3566
207,2015-01-07,10,Victoria Point,3437
240,2015-01-08,10,Victoria Point,3433
273,2015-01-09,10,Victoria Point,3471
306,2015-01-10,10,Victoria Point,1270
339,2015-01-11,10,Victoria Point,1084
372,2015-01-12,10,Victoria Point,4070
405,2015-01-13,10,Victoria Point,4060
438,2015-01-14,10,Victoria Point,3801
470,2015-01-15,10,Victoria Point,4050
502,2015-01-16,10,Victoria Point,4482
533,2015-01-17,10,Victoria Point,1405
564,2015-01-18,10,Victoria Point,1052
595,2015-01-19,10,Victoria Point,4560
628,2015-01-20,10,Victoria Point,4494
662,2015-01-21,10,Victoria Point,4594
697,2015-01-22,10,Victoria Point,4544
732,2015-01-23,10,Victoria Point,4407
767,2015-01-24,10,Victoria Point,1677
802,2015-01-25,10,Victoria Point,1358
837,2015-01-26,10,Victoria Point,2506
872,2015-01-27,10,Victoria Point,4135
907,2015-01-28,10,Victoria Point,4737
942,2015-01-29,10,Victoria Point,4839
977,2015-01-30,10,Victoria Point,4734
1012,2015-01-31,10,Victoria Point,1458
1047,2015-02-01,10,Victoria Point,1029
1083,2015-02-02,10,Victoria Point,4333
1119,2015-02-03,10,Victoria Point,4665
1155,2015-02-04,10,Victoria Point,4292
1191,2015-02-05,10,Victoria Point,4915
1227,2015-02-06,10,Victoria Point,4718
1263,2015-02-07,10,Victoria Point,1765
1299,2015-02-08,10,Victoria Point,1081
1335,2015-02-09,10,Victoria Point,4602
1371,2015-02-10,10,Victoria Point,5061
1407,2015-02-11,10,Victoria Point,4578
1443,2015-02-12,10,Victoria Point,4692
1479,2015-02-13,10,Victoria Point,4410
1515,2015-02-14,10,Victoria Point,3356
1551,2015-02-15,10,Victoria Point,2599
1587,2015-02-16,10,Victoria Point,4014
1624,2015-02-17,10,Victoria Point,4377
1661,2015-02-18,10,Victoria Point,4281
1698,2015-02-19,10,Victoria Point,5578
1735,2015-02-20,10,Victoria Point,4983
1772,2015-02-21,10,Victoria Point,2065
1808,2015-02-22,10,Victoria Point,1166
1844,2015-02-23,10,Victoria Point,3978
1881,2015-02-24,10,Victoria Point,4590
1918,2015-02-25,10,Victoria Point,5955
1955,2015-02-26,10,Victoria Point,4915
1991,2015-02-27,10,Victoria Point,5419
2027,2015-02-28,10,Victoria Point,4160
2063,2015-03-01,10,Victoria Point,1530
2099,2015-03-02,10,Victoria Point,4799
2135,2015-03-03,10,Victoria Point,4905
2172,2015-03-04,10,Victoria Point,5023
2209,2015-03-05,10,Victoria Point,5012
2246,2015-03-06,10,Victoria Point,4348
2283,2015-03-07,10,Victoria Point,1767
2320,2015-03-08,10,Victoria Point,1431
2357,2015-03-09,10,Victoria Point,1319
2394,2015-03-10,10,Victoria Point,4682
2431,2015-03-11,10,Victoria Point,4918
2468,2015-03-12,10,Victoria Point,4716
2505,2015-03-13,10,Victoria Point,4931
2542,2015-03-14,10,Victoria Point,2122
2579,2015-03-15,10,Victoria Point,1256
2616,2015-03-16,10,Victoria Point,5061
2653,2015-03-17,10,Victoria Point,5346
2690,2015-03-18,10,Victoria Point,5179
2727,2015-03-19,10,Victoria Point,5729
2764,2015-03-20,10,Victoria Point,5273
2801,2015-03-21,10,Victoria Point,2037
2838,2015-03-22,10,Victoria Point,2051
2875,2015-03-23,10,Victoria Point,4699
2912,2015-03-24,10,Victoria Point,4950
2949,2015-03-25,10,Victoria Point,5080
2986,2015-03-26,10,Victoria Point,5431
3023,2015-03-27,10,Victoria Point,5366
3060,2015-03-28,10,Victoria Point,1614
3097,2015-03-29,10,Victoria Point,1492
3134,2015-03-30,10,Victoria Point,4793
3171,2015-03-31,10,Victoria Point,5234
3208,2015-04-01,10,Victoria Point,5102
3244,2015-04-02,10,Victoria Point,4482
3280,2015-04-03,10,Victoria Point,1351
3316,2015-04-04,10,Victoria Point,1794
3352,2015-04-05,10,Victoria Point,1617
3388,2015-04-06,10,Victoria Point,949
3424,2015-04-07,10,Victoria Point,3982
3460,2015-04-08,10,Victoria Point,4441
3496,2015-04-09,10,Victoria Point,4737
3532,2015-04-10,10,Victoria Point,4745
3568,2015-04-11,10,Victoria Point,2025
3604,2015-04-12,10,Victoria Point,1482
3640,2015-04-13,10,Victoria Point,4706
