,date_new,Public Holiday?,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),SouthernCrossCount,VictoriaPointCount,FlindersStSparkLaneCount,CollinsPlaceNorth,BourkeStMallSouth
0,2015-01-01,1,13.3,26.9,23.6,0.0,2592.0,2813.0,4086.0,1711.0,21217.0
1,2015-01-02,0,15.4,38.8,26.8,0.0,1848.0,4648.0,1952.0,2925.0,25256.0
2,2015-01-03,0,20.0,38.2,26.5,0.0,1451.0,1428.0,1628.0,1306.0,17648.0
3,2015-01-04,0,16.3,21.4,25.2,4.2,1047.0,1347.0,2063.0,1547.0,24428.0
4,2015-01-05,0,15.0,22.0,30.7,0.0,3416.0,11483.0,2921.0,7781.0,28503.0
5,2015-01-06,0,17.7,26.0,31.6,0.0,3566.0,11513.0,3062.0,7892.0,26448.0
6,2015-01-07,0,18.9,37.4,20.7,0.0,3437.0,11059.0,2461.0,7389.0,23106.0
7,2015-01-08,0,23.1,28.2,13.5,19.4,3433.0,11577.0,2891.0,7861.0,27205.0
8,2015-01-09,0,16.5,18.0,3.1,1.2,3471.0,11315.0,2936.0,8073.0,28918.0
9,2015-01-10,0,13.6,21.7,5.6,5.2,1270.0,1703.0,2664.0,2059.0,24261.0
10,2015-01-11,0,15.6,27.5,29.9,0.0,1084.0,1484.0,2376.0,1642.0,21071.0
11,2015-01-12,0,16.1,31.3,31.6,0.0,4070.0,13499.0,3121.0,9708.0,24396.0
12,2015-01-13,0,20.2,25.6,4.2,0.0,4060.0,13676.0,2800.0,9859.0,21766.0
13,2015-01-14,0,18.3,22.7,15.2,15.8,3801.0,13583.0,3149.0,9564.0,25869.0
14,2015-01-15,0,15.8,20.0,14.6,0.0,4050.0,13381.0,3193.0,9749.0,28067.0
15,2015-01-16,0,13.1,27.3,30.3,0.0,4482.0,13490.0,3929.0,9744.0,32024.0
16,2015-01-17,0,15.9,25.0,27.5,0.0,1405.0,2334.0,3311.0,2211.0,26435.0
17,2015-01-18,0,15.3,19.5,23.4,0.0,1052.0,1477.0,3153.0,1555.0,23566.0
18,2015-01-19,0,13.5,23.6,29.0,0.0,4560.0,14149.0,4235.0,9852.0,25873.0
19,2015-01-20,0,13.0,30.4,19.6,0.0,4494.0,14837.0,4608.0,10524.0,25999.0
20,2015-01-21,0,19.7,33.1,25.8,0.0,4594.0,14399.0,5078.0,10478.0,27584.0
21,2015-01-22,0,18.7,35.8,23.1,0.0,4544.0,13918.0,4596.0,10667.0,27413.0
22,2015-01-23,0,20.2,25.0,28.6,0.0,4407.0,12833.0,4894.0,9786.0,32745.0
23,2015-01-24,0,15.8,26.3,30.3,0.0,1677.0,1717.0,5200.0,2229.0,27260.0
