,Public Holiday?,Year,Month,Day of the Year,DayOfWeekNumeric,Min,Max,Daily global solar exposure (MJ/m*m),Rainfall amount (millimetres),BourkeStMallSouth
2251,0,2021,3,60,2,13.8,21.7,17.50028801,1.672,9455.47
2252,0,2021,3,61,3,13.3,18.1,17.02347755,0.184,9661.67
2253,0,2021,3,62,4,14.2,17.7,16.96634483,0.016,9780.36
2254,0,2021,3,63,5,13.6,21.4,16.83705902,1.024,9930.92
2255,0,2021,3,64,6,15,18,16.60729599,1.464,10640
2256,0,2021,3,65,7,14.2,19.4,16.39079857,1.192,11130.28
2257,0,2021,3,66,1,11.3,28.5,16.19961929,1.136,9460.36
2258,1,2021,3,67,2,13.7,19.6,16.00971603,1.672,9386.57
2259,0,2021,3,68,3,13.5,19.6,15.81366539,0.184,9674.65
2260,0,2021,3,69,4,12.2,20.1,15.61057663,0.016,9917.1
2261,0,2021,3,70,5,11.6,24.7,15.38813972,1.04,10022.41
2262,0,2021,3,71,6,14.9,30.3,15.13615417,1.464,10119.02
2263,0,2021,3,72,7,17.7,27.2,14.85938835,1.136,10338.34
2264,0,2021,3,73,1,11,17.7,14.57345963,0.864,9741.11
2265,0,2021,3,74,2,8.9,22.2,14.28928852,1.672,9757.67
2266,0,2021,3,75,3,11.1,20.6,14.02589035,0.184,9965.21
2267,0,2021,3,76,4,13.9,26.4,13.79098988,0.016,9509.98
2268,0,2021,3,77,5,13.8,24.9,13.5878067,1.096,9853.23
2269,0,2021,3,78,6,14.2,26.1,13.41819,1.464,10406.54
2270,0,2021,3,79,7,14,26,13.27713585,1.136,10984.13
2271,0,2021,3,80,1,16.7,21.7,13.15519047,1.368,8972.65
2272,0,2021,3,81,2,17.5,24.2,13.03927994,1.672,8758.16
2273,0,2021,3,82,3,17.6,22,12.92776585,0.184,8625.26
2274,0,2021,3,83,4,17,20.3,12.82444191,0.016,8170.58
2275,0,2021,3,84,5,15.5,21.1,12.73403454,1.096,6185.55
2276,0,2021,3,85,6,11.2,22,12.65167618,1.464,4888.13
2277,0,2021,3,86,7,13.2,21.3,12.55430222,1.136,4644.4
2278,0,2021,3,87,1,12.4,20.2,12.40964699,1.368,4419.13
2279,0,2021,3,88,2,13.8,18.2,12.19632053,1.672,3812.23
2280,0,2021,3,89,3,9.8,18.9,11.93506908,0.184,3442.32
2281,0,2021,3,90,4,11.4,22.8,11.70059299,0.016,3238.24
2282,0,2021,4,91,5,12.4,29.9,11.56360722,0.232,3209.72
2283,1,2021,4,92,6,13.5,30.6,11.51297283,0.136,2439.93
2284,1,2021,4,93,7,15.1,31.6,11.50126839,1.312,2499.81
2285,1,2021,4,94,1,15.2,24.5,11.50060558,1.296,2305.62
2286,1,2021,4,95,2,16,19,11.49483395,2.848,2392.97
2287,0,2021,4,96,3,12.8,20.2,11.46395969,1.616,3083.61
2288,0,2021,4,97,4,14.9,23,11.38868809,1.792,3201.73
2289,0,2021,4,98,5,11.9,16.4,11.27811527,1.12,3049.31
2290,0,2021,4,99,6,11.7,18.6,11.14348125,0.96,3157.61
2291,0,2021,4,100,7,8.9,21.2,10.98974895,0.872,3240.25
2292,0,2021,4,101,1,12.7,22,10.81997299,1.352,2894.16
2293,0,2021,4,102,2,13,15.7,10.63897991,3.44,3009.87
2294,0,2021,4,103,3,11,15.3,10.45710754,1.976,3033.82
2295,0,2021,4,104,4,12.2,18.3,10.28784561,1.248,3096.4
2296,0,2021,4,105,5,12.1,23.4,10.14134026,0.744,3187.18
2297,0,2021,4,106,6,15.6,23.5,10.01673508,0.968,3290.76
2298,0,2021,4,107,7,15.4,21.5,9.90784359,0.744,3215.84
2299,0,2021,4,108,1,11.4,18.4,9.80524826,1.176,2918.09
2300,0,2021,4,109,2,12.9,16.4,9.702578545,2.168,3078.86
2301,0,2021,4,110,3,11.2,19.4,9.598280907,1.976,3101.49
2302,0,2021,4,111,4,12,20.8,9.494164467,1.896,3122.62
2303,0,2021,4,112,5,8.5,19.6,9.393158913,1.128,3233.04
2304,0,2021,4,113,6,12.8,18.2,9.297883034,0.792,3229.07
2305,0,2021,4,114,7,9.6,19.7,9.210002899,0.72,3207.58
2306,1,2021,4,115,1,15.1,22.3,9.130331039,1.552,2176.5
2307,0,2021,4,116,2,10.5,21.7,9.058904648,2.112,3164.25
2308,0,2021,4,117,3,15.4,17.7,8.993947983,1.96,3226.82
2309,0,2021,4,118,4,8.1,18.1,8.931713104,1.896,3445.51
2310,0,2021,4,119,5,7.1,18.9,8.866534233,1.08,3512.46
2311,0,2021,4,120,6,11.2,19.8,8.792807579,0.864,3413.73
2312,0,2021,5,121,7,7.6,22.8,8.714595795,1.192,3739.9
2313,0,2021,5,122,1,7.6,13,8.634907722,1.224,3592.95
2314,0,2021,5,123,2,8.3,14.2,8.568789482,2.672,3904.57
2315,0,2021,5,124,3,9.8,15,8.515591621,2.152,3905.92
2316,0,2021,5,125,4,9.4,14.8,8.465438843,1.944,4068.43
2317,0,2021,5,126,5,8,19.5,8.409453392,1.56,4294.17
2318,0,2021,5,127,6,10.2,20.1,8.355529785,1.216,4348.34
2319,0,2021,5,128,7,15.1,21.1,8.312355995,0.92,4377
2320,0,2021,5,129,1,12.6,19.6,8.274360657,1.2,4311.54
2321,0,2021,5,130,2,12.6,14,8.240908623,1.992,4193.11
2322,0,2021,5,131,3,7.2,14.5,8.211007118,2.04,4249.25
2323,0,2021,5,132,4,7.8,17.1,8.183589935,1.312,4454.5
2324,0,2021,5,133,5,10.3,14.8,8.158020973,1.664,4503.65
2325,0,2021,5,134,6,10.4,14.5,8.13489151,1.04,4642.15
2326,0,2021,5,135,7,6.6,14.7,8.116175652,0.968,5250.95
2327,0,2021,5,136,1,4.5,15.3,8.100535393,1.12,5395.82
2328,0,2021,5,137,2,4.5,18,8.088443756,1.784,5563.16
2329,0,2021,5,138,3,5.1,18.5,8.079332352,2.104,5551.83
2330,0,2021,5,139,4,5.5,19.4,8.072798729,1.528,5841.13
2331,0,2021,5,140,5,8.1,17.7,8.067967415,1.648,5965.84
2332,0,2021,5,141,6,10.3,15.8,8.064453125,1.408,6265.02
2333,0,2021,5,142,7,9.4,13.7,8.061865807,0.976,6733.64
2334,0,2021,5,143,1,9.1,13.6,8.059928894,0.8,5916.05
2335,0,2021,5,144,2,9.4,13.5,8.058448792,1.088,5992.55
2336,0,2021,5,145,3,10.9,13.8,8.057308197,1.488,6079.19
2337,0,2021,5,146,4,5.5,16,8.056412697,2.272,6109.07
2338,0,2021,5,147,5,5.4,18.5,8.055702209,1.192,6106.2
2339,0,2021,5,148,6,5.9,17.1,8.055120468,0.848,6518.97
2340,0,2021,5,149,7,12.1,17.6,8.054641724,1.144,7878.78
2341,0,2021,5,150,1,7.2,17.1,8.054216385,0.712,6275.59
2342,0,2021,5,151,2,8.1,17.1,8.053238869,1.192,6296.17
2343,0,2021,6,152,3,12.4,14.6,8.049744606,0.856,6569.28
2344,0,2021,6,153,4,9.3,11.2,8.049023628,0.832,6381.4
2345,0,2021,6,154,5,8.4,15.6,8.191952705,1.248,6884.95
2346,0,2021,6,155,6,10.5,14.1,8.273285866,1.064,8123.19
2347,0,2021,6,156,7,9.3,13.8,8.258850098,1.312,9193.42
