,Year,Month,Day of the Year,MinPrediction
0,6,4,98,11.9
1,6,4,99,11.7
2,6,4,100,8.9
3,6,4,101,12.7
4,6,4,102,13.0
5,6,4,103,11.0
6,6,4,104,12.2
7,6,4,105,12.1
8,6,4,106,15.6
9,6,4,107,15.4
10,6,4,108,11.4
11,6,4,109,12.9
12,6,4,110,11.2
13,6,4,111,12.0
14,6,4,112,8.5
15,6,4,113,12.8
16,6,4,114,9.6
17,6,4,115,15.1
18,6,4,116,10.5
19,6,4,117,15.4
20,6,4,118,8.1
21,6,4,119,7.1
22,6,4,120,11.2
23,6,5,121,7.6
24,6,5,122,7.6
25,6,5,123,8.3
26,6,5,124,9.8
27,6,5,125,9.4
28,6,5,126,8.0
29,6,5,127,10.2
30,6,5,128,15.1
31,6,5,129,12.6
32,6,5,130,12.6
33,6,5,131,7.2
34,6,5,132,7.8
35,6,5,133,10.3
36,6,5,134,10.4
37,6,5,135,6.6
38,6,5,136,4.5
39,6,5,137,4.5
40,6,5,138,5.1
41,6,5,139,5.5
42,6,5,140,8.1
43,6,5,141,10.3
44,6,5,142,9.4
45,6,5,143,9.1
46,6,5,144,9.4
47,6,5,145,10.9
48,6,5,146,5.5
49,6,5,147,5.4
50,6,5,148,5.9
51,6,5,149,12.1
52,6,5,150,7.2
53,6,5,151,8.1
54,6,6,152,12.4
55,6,6,153,9.3
56,6,6,154,8.4
57,6,6,155,10.5
58,6,6,156,9.3
59,6,6,157,4.1
60,6,6,158,6.0
61,6,6,159,7.9
62,6,6,160,4.5
63,6,6,161,2.0
64,6,6,162,3.9
65,6,6,163,4.5
66,6,6,164,4.2
67,6,6,165,5.7
68,6,6,166,10.4
69,6,6,167,11.6
70,6,6,168,13.0
71,6,6,169,10.2
72,6,6,170,4.6
73,6,6,171,6.4
74,6,6,172,12.8
75,6,6,173,6.9
76,6,6,174,8.1
77,6,6,175,9.0
78,6,6,176,10.1
79,6,6,177,10.2
80,6,6,178,7.9
81,6,6,179,6.2
82,6,6,180,1.7
83,6,6,181,2.2
84,6,7,182,3.0
85,6,7,183,9.8
86,6,7,184,10.2
87,6,7,185,7.7
88,6,7,186,6.5
89,6,7,187,8.9
90,6,7,188,8.1
91,6,7,189,8.9
92,6,7,190,4.9
93,6,7,191,5.7
94,6,7,192,6.4
95,6,7,193,7.3
96,6,7,194,9.0
97,6,7,195,8.7
98,6,7,196,7.7
99,6,7,197,6.2
100,6,7,198,4.2
101,6,7,199,3.1
102,6,7,200,4.0
103,6,7,201,8.2
104,6,7,202,7.6
105,6,7,203,7.2
106,6,7,204,8.1
107,6,7,205,8.1
108,6,7,206,6.1
109,6,7,207,4.3
110,6,7,208,5.0
111,6,7,209,7.4
112,6,7,210,9.6
113,6,7,211,8.6
114,6,7,212,8.0
115,6,8,213,5.7
116,6,8,214,5.7
117,6,8,215,9.0
118,6,8,216,7.5
119,6,8,217,5.1
120,6,8,218,4.7
121,6,8,219,5.5
122,6,8,220,3.3
123,6,8,221,4.7
124,6,8,222,8.9
125,6,8,223,5.7
126,6,8,224,4.3
127,6,8,225,9.4
128,6,8,226,11.4
129,6,8,227,10.7
130,6,8,228,7.4
131,6,8,229,10.7
132,6,8,230,9.5
133,6,8,231,10.0
134,6,8,232,9.7
135,6,8,233,9.6
136,6,8,234,8.5
137,6,8,235,5.8
138,6,8,236,6.8
139,6,8,237,6.3
140,6,8,238,3.6
141,6,8,239,6.1
142,6,8,240,8.8
143,6,8,241,8.5
144,6,8,242,9.2
145,6,8,243,12.0
