,Bay_id,Status,Hour,Minutes,DayOfWeek,Date,Week_Number
0,1001,Unoccupied,0,0,Wednesday,2021-08-04,1
1,1001,Unoccupied,0,15,Wednesday,2021-08-04,1
2,1001,Unoccupied,0,30,Wednesday,2021-08-04,1
3,1001,Present,0,45,Wednesday,2021-08-04,1
4,1001,Unoccupied,1,0,Wednesday,2021-08-04,1
5,1001,Present,1,15,Wednesday,2021-08-04,1
6,1001,Unoccupied,1,30,Wednesday,2021-08-04,1
7,1001,Unoccupied,1,45,Wednesday,2021-08-04,1
8,1001,Present,2,0,Wednesday,2021-08-04,1
9,1001,Present,2,15,Wednesday,2021-08-04,1
10,1001,Present,2,30,Wednesday,2021-08-04,1
11,1001,Unoccupied,2,45,Wednesday,2021-08-04,1
12,1001,Unoccupied,3,0,Wednesday,2021-08-04,1
13,1001,Present,3,15,Wednesday,2021-08-04,1
14,1001,Present,3,30,Wednesday,2021-08-04,1
15,1001,Present,3,45,Wednesday,2021-08-04,1
16,1001,Present,4,0,Wednesday,2021-08-04,1
17,1001,Unoccupied,4,15,Wednesday,2021-08-04,1
18,1001,Unoccupied,4,30,Wednesday,2021-08-04,1
19,1001,Present,4,45,Wednesday,2021-08-04,1
20,1001,Unoccupied,5,0,Wednesday,2021-08-04,1
21,1001,Unoccupied,5,15,Wednesday,2021-08-04,1
22,1001,Unoccupied,5,30,Wednesday,2021-08-04,1
23,1001,Present,5,45,Wednesday,2021-08-04,1
24,1001,Unoccupied,6,0,Wednesday,2021-08-04,1
25,1001,Unoccupied,6,15,Wednesday,2021-08-04,1
26,1001,Present,6,30,Wednesday,2021-08-04,1
27,1001,Present,6,45,Wednesday,2021-08-04,1
28,1001,Unoccupied,7,0,Wednesday,2021-08-04,1
29,1001,Unoccupied,7,15,Wednesday,2021-08-04,1
30,1001,Unoccupied,7,30,Wednesday,2021-08-04,1
31,1001,Unoccupied,7,45,Wednesday,2021-08-04,1
32,1001,Unoccupied,8,0,Wednesday,2021-08-04,1
33,1001,Unoccupied,8,15,Wednesday,2021-08-04,1
34,1001,Unoccupied,8,30,Wednesday,2021-08-04,1
35,1001,Unoccupied,8,45,Wednesday,2021-08-04,1
36,1001,Unoccupied,9,0,Wednesday,2021-08-04,1
37,1001,Unoccupied,9,15,Wednesday,2021-08-04,1
38,1001,Present,9,30,Wednesday,2021-08-04,1
39,1001,Present,9,45,Wednesday,2021-08-04,1
40,1001,Present,10,0,Wednesday,2021-08-04,1
41,1001,Unoccupied,10,15,Wednesday,2021-08-04,1
42,1001,Unoccupied,10,30,Wednesday,2021-08-04,1
43,1001,Unoccupied,10,45,Wednesday,2021-08-04,1
44,1001,Present,11,0,Wednesday,2021-08-04,1
45,1001,Present,11,15,Wednesday,2021-08-04,1
46,1001,Present,11,30,Wednesday,2021-08-04,1
47,1001,Present,11,45,Wednesday,2021-08-04,1
48,1001,Present,12,0,Wednesday,2021-08-04,1
49,1001,Unoccupied,12,15,Wednesday,2021-08-04,1
50,1001,Unoccupied,12,30,Wednesday,2021-08-04,1
51,1001,Present,12,45,Wednesday,2021-08-04,1
52,1001,Unoccupied,13,0,Wednesday,2021-08-04,1
53,1001,Unoccupied,13,15,Wednesday,2021-08-04,1
54,1001,Unoccupied,13,30,Wednesday,2021-08-04,1
55,1001,Present,13,45,Wednesday,2021-08-04,1
56,1001,Present,14,0,Wednesday,2021-08-04,1
57,1001,Present,14,15,Wednesday,2021-08-04,1
58,1001,Present,14,30,Wednesday,2021-08-04,1
59,1001,Unoccupied,14,45,Wednesday,2021-08-04,1
60,1001,Present,15,0,Wednesday,2021-08-04,1
61,1001,Unoccupied,15,15,Wednesday,2021-08-04,1
62,1001,Present,15,30,Wednesday,2021-08-04,1
63,1001,Unoccupied,15,45,Wednesday,2021-08-04,1
64,1001,Present,16,0,Wednesday,2021-08-04,1
65,1001,Unoccupied,16,15,Wednesday,2021-08-04,1
66,1001,Unoccupied,16,30,Wednesday,2021-08-04,1
67,1001,Present,16,45,Wednesday,2021-08-04,1
68,1001,Unoccupied,17,0,Wednesday,2021-08-04,1
69,1001,Present,17,15,Wednesday,2021-08-04,1
70,1001,Present,17,30,Wednesday,2021-08-04,1
71,1001,Unoccupied,17,45,Wednesday,2021-08-04,1
72,1001,Present,18,0,Wednesday,2021-08-04,1
73,1001,Present,18,15,Wednesday,2021-08-04,1
74,1001,Present,18,30,Wednesday,2021-08-04,1
75,1001,Unoccupied,18,45,Wednesday,2021-08-04,1
76,1001,Present,19,0,Wednesday,2021-08-04,1
77,1001,Present,19,15,Wednesday,2021-08-04,1
78,1001,Present,19,30,Wednesday,2021-08-04,1
79,1001,Unoccupied,19,45,Wednesday,2021-08-04,1
80,1001,Present,20,0,Wednesday,2021-08-04,1
81,1001,Unoccupied,20,15,Wednesday,2021-08-04,1
82,1001,Present,20,30,Wednesday,2021-08-04,1
83,1001,Unoccupied,20,45,Wednesday,2021-08-04,1
84,1001,Present,21,0,Wednesday,2021-08-04,1
85,1001,Unoccupied,21,15,Wednesday,2021-08-04,1
86,1001,Present,21,30,Wednesday,2021-08-04,1
87,1001,Present,21,45,Wednesday,2021-08-04,1
88,1001,Unoccupied,22,0,Wednesday,2021-08-04,1
89,1001,Unoccupied,22,15,Wednesday,2021-08-04,1
90,1001,Unoccupied,22,30,Wednesday,2021-08-04,1
91,1001,Unoccupied,22,45,Wednesday,2021-08-04,1
92,1001,Unoccupied,23,0,Wednesday,2021-08-04,1
93,1001,Present,23,15,Wednesday,2021-08-04,1
94,1001,Unoccupied,23,30,Wednesday,2021-08-04,1
95,1001,Unoccupied,23,45,Wednesday,2021-08-04,1
96,1001,Unoccupied,0,0,Thursday,2021-08-05,1
97,1001,Unoccupied,0,15,Thursday,2021-08-05,1
98,1001,Unoccupied,0,30,Thursday,2021-08-05,1
99,1001,Present,0,45,Thursday,2021-08-05,1
100,1001,Unoccupied,1,0,Thursday,2021-08-05,1
101,1001,Present,1,15,Thursday,2021-08-05,1
102,1001,Unoccupied,1,30,Thursday,2021-08-05,1
103,1001,Present,1,45,Thursday,2021-08-05,1
104,1001,Unoccupied,2,0,Thursday,2021-08-05,1
105,1001,Unoccupied,2,15,Thursday,2021-08-05,1
106,1001,Present,2,30,Thursday,2021-08-05,1
107,1001,Present,2,45,Thursday,2021-08-05,1
108,1001,Unoccupied,3,0,Thursday,2021-08-05,1
109,1001,Present,3,15,Thursday,2021-08-05,1
110,1001,Unoccupied,3,30,Thursday,2021-08-05,1
111,1001,Unoccupied,3,45,Thursday,2021-08-05,1
112,1001,Unoccupied,4,0,Thursday,2021-08-05,1
113,1001,Present,4,15,Thursday,2021-08-05,1
114,1001,Unoccupied,4,30,Thursday,2021-08-05,1
115,1001,Present,4,45,Thursday,2021-08-05,1
116,1001,Unoccupied,5,0,Thursday,2021-08-05,1
117,1001,Unoccupied,5,15,Thursday,2021-08-05,1
118,1001,Present,5,30,Thursday,2021-08-05,1
119,1001,Present,5,45,Thursday,2021-08-05,1
120,1001,Present,6,0,Thursday,2021-08-05,1
121,1001,Present,6,15,Thursday,2021-08-05,1
122,1001,Present,6,30,Thursday,2021-08-05,1
123,1001,Present,6,45,Thursday,2021-08-05,1
124,1001,Unoccupied,7,0,Thursday,2021-08-05,1
125,1001,Unoccupied,7,15,Thursday,2021-08-05,1
126,1001,Unoccupied,7,30,Thursday,2021-08-05,1
127,1001,Unoccupied,7,45,Thursday,2021-08-05,1
128,1001,Present,8,0,Thursday,2021-08-05,1
129,1001,Present,8,15,Thursday,2021-08-05,1
130,1001,Present,8,30,Thursday,2021-08-05,1
131,1001,Present,8,45,Thursday,2021-08-05,1
132,1001,Unoccupied,9,0,Thursday,2021-08-05,1
133,1001,Present,9,15,Thursday,2021-08-05,1
134,1001,Unoccupied,9,30,Thursday,2021-08-05,1
135,1001,Present,9,45,Thursday,2021-08-05,1
136,1001,Present,10,0,Thursday,2021-08-05,1
137,1001,Unoccupied,10,15,Thursday,2021-08-05,1
138,1001,Present,10,30,Thursday,2021-08-05,1
139,1001,Unoccupied,10,45,Thursday,2021-08-05,1
140,1001,Unoccupied,11,0,Thursday,2021-08-05,1
141,1001,Unoccupied,11,15,Thursday,2021-08-05,1
142,1001,Present,11,30,Thursday,2021-08-05,1
143,1001,Unoccupied,11,45,Thursday,2021-08-05,1
144,1001,Present,12,0,Thursday,2021-08-05,1
145,1001,Unoccupied,12,15,Thursday,2021-08-05,1
146,1001,Unoccupied,12,30,Thursday,2021-08-05,1
147,1001,Present,12,45,Thursday,2021-08-05,1
148,1001,Present,13,0,Thursday,2021-08-05,1
149,1001,Present,13,15,Thursday,2021-08-05,1
150,1001,Present,13,30,Thursday,2021-08-05,1
151,1001,Present,13,45,Thursday,2021-08-05,1
152,1001,Unoccupied,14,0,Thursday,2021-08-05,1
153,1001,Unoccupied,14,15,Thursday,2021-08-05,1
154,1001,Present,14,30,Thursday,2021-08-05,1
155,1001,Present,14,45,Thursday,2021-08-05,1
156,1001,Unoccupied,15,0,Thursday,2021-08-05,1
157,1001,Present,15,15,Thursday,2021-08-05,1
158,1001,Unoccupied,15,30,Thursday,2021-08-05,1
159,1001,Present,15,45,Thursday,2021-08-05,1
160,1001,Unoccupied,16,0,Thursday,2021-08-05,1
161,1001,Present,16,15,Thursday,2021-08-05,1
162,1001,Unoccupied,16,30,Thursday,2021-08-05,1
163,1001,Unoccupied,16,45,Thursday,2021-08-05,1
164,1001,Unoccupied,17,0,Thursday,2021-08-05,1
165,1001,Present,17,15,Thursday,2021-08-05,1
166,1001,Present,17,30,Thursday,2021-08-05,1
167,1001,Present,17,45,Thursday,2021-08-05,1
168,1001,Present,18,0,Thursday,2021-08-05,1
169,1001,Present,18,15,Thursday,2021-08-05,1
170,1001,Unoccupied,18,30,Thursday,2021-08-05,1
171,1001,Unoccupied,18,45,Thursday,2021-08-05,1
172,1001,Unoccupied,19,0,Thursday,2021-08-05,1
173,1001,Present,19,15,Thursday,2021-08-05,1
174,1001,Unoccupied,19,30,Thursday,2021-08-05,1
175,1001,Unoccupied,19,45,Thursday,2021-08-05,1
176,1001,Present,20,0,Thursday,2021-08-05,1
177,1001,Unoccupied,20,15,Thursday,2021-08-05,1
178,1001,Present,20,30,Thursday,2021-08-05,1
179,1001,Unoccupied,20,45,Thursday,2021-08-05,1
180,1001,Present,21,0,Thursday,2021-08-05,1
181,1001,Unoccupied,21,15,Thursday,2021-08-05,1
182,1001,Present,21,30,Thursday,2021-08-05,1
183,1001,Unoccupied,21,45,Thursday,2021-08-05,1
184,1001,Unoccupied,22,0,Thursday,2021-08-05,1
185,1001,Unoccupied,22,15,Thursday,2021-08-05,1
186,1001,Unoccupied,22,30,Thursday,2021-08-05,1
187,1001,Present,22,45,Thursday,2021-08-05,1
188,1001,Present,23,0,Thursday,2021-08-05,1
189,1001,Unoccupied,23,15,Thursday,2021-08-05,1
190,1001,Present,23,30,Thursday,2021-08-05,1
191,1001,Present,23,45,Thursday,2021-08-05,1
192,1001,Unoccupied,0,0,Friday,2021-08-06,1
193,1001,Present,0,15,Friday,2021-08-06,1
194,1001,Unoccupied,0,30,Friday,2021-08-06,1
195,1001,Unoccupied,0,45,Friday,2021-08-06,1
196,1001,Present,1,0,Friday,2021-08-06,1
197,1001,Unoccupied,1,15,Friday,2021-08-06,1
198,1001,Present,1,30,Friday,2021-08-06,1
199,1001,Present,1,45,Friday,2021-08-06,1
200,1001,Unoccupied,2,0,Friday,2021-08-06,1
201,1001,Unoccupied,2,15,Friday,2021-08-06,1
202,1001,Present,2,30,Friday,2021-08-06,1
203,1001,Unoccupied,2,45,Friday,2021-08-06,1
204,1001,Unoccupied,3,0,Friday,2021-08-06,1
205,1001,Present,3,15,Friday,2021-08-06,1
206,1001,Unoccupied,3,30,Friday,2021-08-06,1
207,1001,Present,3,45,Friday,2021-08-06,1
208,1001,Present,4,0,Friday,2021-08-06,1
209,1001,Present,4,15,Friday,2021-08-06,1
210,1001,Present,4,30,Friday,2021-08-06,1
211,1001,Unoccupied,4,45,Friday,2021-08-06,1
212,1001,Present,5,0,Friday,2021-08-06,1
213,1001,Unoccupied,5,15,Friday,2021-08-06,1
214,1001,Unoccupied,5,30,Friday,2021-08-06,1
215,1001,Unoccupied,5,45,Friday,2021-08-06,1
216,1001,Unoccupied,6,0,Friday,2021-08-06,1
217,1001,Present,6,15,Friday,2021-08-06,1
218,1001,Unoccupied,6,30,Friday,2021-08-06,1
219,1001,Unoccupied,6,45,Friday,2021-08-06,1
220,1001,Unoccupied,7,0,Friday,2021-08-06,1
221,1001,Present,7,15,Friday,2021-08-06,1
222,1001,Present,7,30,Friday,2021-08-06,1
223,1001,Unoccupied,7,45,Friday,2021-08-06,1
224,1001,Present,8,0,Friday,2021-08-06,1
225,1001,Unoccupied,8,15,Friday,2021-08-06,1
226,1001,Unoccupied,8,30,Friday,2021-08-06,1
227,1001,Unoccupied,8,45,Friday,2021-08-06,1
228,1001,Unoccupied,9,0,Friday,2021-08-06,1
229,1001,Unoccupied,9,15,Friday,2021-08-06,1
230,1001,Unoccupied,9,30,Friday,2021-08-06,1
231,1001,Unoccupied,9,45,Friday,2021-08-06,1
232,1001,Unoccupied,10,0,Friday,2021-08-06,1
233,1001,Unoccupied,10,15,Friday,2021-08-06,1
234,1001,Present,10,30,Friday,2021-08-06,1
235,1001,Unoccupied,10,45,Friday,2021-08-06,1
236,1001,Unoccupied,11,0,Friday,2021-08-06,1
237,1001,Unoccupied,11,15,Friday,2021-08-06,1
238,1001,Present,11,30,Friday,2021-08-06,1
239,1001,Unoccupied,11,45,Friday,2021-08-06,1
240,1001,Unoccupied,12,0,Friday,2021-08-06,1
241,1001,Present,12,15,Friday,2021-08-06,1
242,1001,Unoccupied,12,30,Friday,2021-08-06,1
243,1001,Present,12,45,Friday,2021-08-06,1
244,1001,Present,13,0,Friday,2021-08-06,1
245,1001,Unoccupied,13,15,Friday,2021-08-06,1
246,1001,Unoccupied,13,30,Friday,2021-08-06,1
247,1001,Unoccupied,13,45,Friday,2021-08-06,1
248,1001,Present,14,0,Friday,2021-08-06,1
249,1001,Present,14,15,Friday,2021-08-06,1
250,1001,Present,14,30,Friday,2021-08-06,1
251,1001,Present,14,45,Friday,2021-08-06,1
252,1001,Unoccupied,15,0,Friday,2021-08-06,1
253,1001,Unoccupied,15,15,Friday,2021-08-06,1
254,1001,Present,15,30,Friday,2021-08-06,1
255,1001,Present,15,45,Friday,2021-08-06,1
256,1001,Present,16,0,Friday,2021-08-06,1
257,1001,Unoccupied,16,15,Friday,2021-08-06,1
258,1001,Unoccupied,16,30,Friday,2021-08-06,1
259,1001,Unoccupied,16,45,Friday,2021-08-06,1
260,1001,Unoccupied,17,0,Friday,2021-08-06,1
261,1001,Unoccupied,17,15,Friday,2021-08-06,1
262,1001,Present,17,30,Friday,2021-08-06,1
263,1001,Unoccupied,17,45,Friday,2021-08-06,1
264,1001,Present,18,0,Friday,2021-08-06,1
265,1001,Present,18,15,Friday,2021-08-06,1
266,1001,Unoccupied,18,30,Friday,2021-08-06,1
267,1001,Unoccupied,18,45,Friday,2021-08-06,1
268,1001,Present,19,0,Friday,2021-08-06,1
269,1001,Present,19,15,Friday,2021-08-06,1
270,1001,Unoccupied,19,30,Friday,2021-08-06,1
271,1001,Present,19,45,Friday,2021-08-06,1
272,1001,Unoccupied,20,0,Friday,2021-08-06,1
273,1001,Unoccupied,20,15,Friday,2021-08-06,1
274,1001,Unoccupied,20,30,Friday,2021-08-06,1
275,1001,Present,20,45,Friday,2021-08-06,1
276,1001,Present,21,0,Friday,2021-08-06,1
277,1001,Present,21,15,Friday,2021-08-06,1
278,1001,Unoccupied,21,30,Friday,2021-08-06,1
279,1001,Present,21,45,Friday,2021-08-06,1
280,1001,Present,22,0,Friday,2021-08-06,1
281,1001,Present,22,15,Friday,2021-08-06,1
282,1001,Present,22,30,Friday,2021-08-06,1
283,1001,Unoccupied,22,45,Friday,2021-08-06,1
284,1001,Unoccupied,23,0,Friday,2021-08-06,1
285,1001,Unoccupied,23,15,Friday,2021-08-06,1
286,1001,Present,23,30,Friday,2021-08-06,1
287,1001,Present,23,45,Friday,2021-08-06,1
288,1001,Present,0,0,Saturday,2021-08-07,1
289,1001,Present,0,15,Saturday,2021-08-07,1
290,1001,Unoccupied,0,30,Saturday,2021-08-07,1
291,1001,Unoccupied,0,45,Saturday,2021-08-07,1
292,1001,Present,1,0,Saturday,2021-08-07,1
293,1001,Present,1,15,Saturday,2021-08-07,1
294,1001,Present,1,30,Saturday,2021-08-07,1
295,1001,Unoccupied,1,45,Saturday,2021-08-07,1
296,1001,Present,2,0,Saturday,2021-08-07,1
297,1001,Unoccupied,2,15,Saturday,2021-08-07,1
298,1001,Unoccupied,2,30,Saturday,2021-08-07,1
299,1001,Unoccupied,2,45,Saturday,2021-08-07,1
300,1001,Unoccupied,3,0,Saturday,2021-08-07,1
301,1001,Unoccupied,3,15,Saturday,2021-08-07,1
302,1001,Unoccupied,3,30,Saturday,2021-08-07,1
303,1001,Present,3,45,Saturday,2021-08-07,1
304,1001,Unoccupied,4,0,Saturday,2021-08-07,1
305,1001,Unoccupied,4,15,Saturday,2021-08-07,1
306,1001,Present,4,30,Saturday,2021-08-07,1
307,1001,Unoccupied,4,45,Saturday,2021-08-07,1
308,1001,Unoccupied,5,0,Saturday,2021-08-07,1
309,1001,Present,5,15,Saturday,2021-08-07,1
310,1001,Present,5,30,Saturday,2021-08-07,1
311,1001,Unoccupied,5,45,Saturday,2021-08-07,1
312,1001,Unoccupied,6,0,Saturday,2021-08-07,1
313,1001,Unoccupied,6,15,Saturday,2021-08-07,1
314,1001,Present,6,30,Saturday,2021-08-07,1
315,1001,Unoccupied,6,45,Saturday,2021-08-07,1
316,1001,Unoccupied,7,0,Saturday,2021-08-07,1
317,1001,Present,7,15,Saturday,2021-08-07,1
318,1001,Present,7,30,Saturday,2021-08-07,1
319,1001,Unoccupied,7,45,Saturday,2021-08-07,1
320,1001,Present,8,0,Saturday,2021-08-07,1
321,1001,Unoccupied,8,15,Saturday,2021-08-07,1
322,1001,Present,8,30,Saturday,2021-08-07,1
323,1001,Unoccupied,8,45,Saturday,2021-08-07,1
324,1001,Present,9,0,Saturday,2021-08-07,1
325,1001,Unoccupied,9,15,Saturday,2021-08-07,1
326,1001,Unoccupied,9,30,Saturday,2021-08-07,1
327,1001,Unoccupied,9,45,Saturday,2021-08-07,1
328,1001,Present,10,0,Saturday,2021-08-07,1
329,1001,Present,10,15,Saturday,2021-08-07,1
330,1001,Present,10,30,Saturday,2021-08-07,1
331,1001,Unoccupied,10,45,Saturday,2021-08-07,1
332,1001,Unoccupied,11,0,Saturday,2021-08-07,1
333,1001,Unoccupied,11,15,Saturday,2021-08-07,1
334,1001,Unoccupied,11,30,Saturday,2021-08-07,1
335,1001,Unoccupied,11,45,Saturday,2021-08-07,1
336,1001,Unoccupied,12,0,Saturday,2021-08-07,1
337,1001,Present,12,15,Saturday,2021-08-07,1
338,1001,Unoccupied,12,30,Saturday,2021-08-07,1
339,1001,Unoccupied,12,45,Saturday,2021-08-07,1
340,1001,Unoccupied,13,0,Saturday,2021-08-07,1
341,1001,Unoccupied,13,15,Saturday,2021-08-07,1
342,1001,Unoccupied,13,30,Saturday,2021-08-07,1
343,1001,Unoccupied,13,45,Saturday,2021-08-07,1
344,1001,Unoccupied,14,0,Saturday,2021-08-07,1
345,1001,Unoccupied,14,15,Saturday,2021-08-07,1
346,1001,Unoccupied,14,30,Saturday,2021-08-07,1
347,1001,Present,14,45,Saturday,2021-08-07,1
348,1001,Unoccupied,15,0,Saturday,2021-08-07,1
349,1001,Present,15,15,Saturday,2021-08-07,1
350,1001,Unoccupied,15,30,Saturday,2021-08-07,1
351,1001,Unoccupied,15,45,Saturday,2021-08-07,1
352,1001,Unoccupied,16,0,Saturday,2021-08-07,1
353,1001,Unoccupied,16,15,Saturday,2021-08-07,1
354,1001,Unoccupied,16,30,Saturday,2021-08-07,1
355,1001,Unoccupied,16,45,Saturday,2021-08-07,1
356,1001,Present,17,0,Saturday,2021-08-07,1
357,1001,Unoccupied,17,15,Saturday,2021-08-07,1
358,1001,Unoccupied,17,30,Saturday,2021-08-07,1
359,1001,Unoccupied,17,45,Saturday,2021-08-07,1
360,1001,Unoccupied,18,0,Saturday,2021-08-07,1
361,1001,Unoccupied,18,15,Saturday,2021-08-07,1
362,1001,Present,18,30,Saturday,2021-08-07,1
363,1001,Present,18,45,Saturday,2021-08-07,1
364,1001,Unoccupied,19,0,Saturday,2021-08-07,1
365,1001,Present,19,15,Saturday,2021-08-07,1
366,1001,Present,19,30,Saturday,2021-08-07,1
367,1001,Unoccupied,19,45,Saturday,2021-08-07,1
