deviceid,arrivaltime,departuretime,durationminutes,streetmarker,areaname,streetid,streetname,betweenstreet1id,betweenstreet1,betweenstreet2id,betweenstreet2,sideofstreet,sidename,bayid,inviolation,vehiclepresent,signplateid
17297,2018-02-21T23:39:31.000,2018-02-21T23:41:49.000,2,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,True,
17298,2018-03-06T08:19:57.000,2018-03-06T08:23:31.000,4,13256N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6183,False,False,308
17294,2018-01-04T09:37:23.000,2018-01-04T10:37:02.000,60,13252N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6181,False,False,
17297,2018-01-12T14:51:42.000,2018-01-12T14:53:21.000,2,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,False,308
17297,2018-10-29T19:54:18.000,2018-10-29T23:35:15.000,221,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,False,
17292,2018-10-19T14:17:30.000,2018-10-19T14:22:15.000,5,13250N,Docklands,123,BOURKE STREET,638,ENTERPRIZE WAY,998,MERCHANT STREET,3,North,6180,False,False,426
17293,2018-03-13T09:12:20.000,2018-03-13T09:16:18.000,4,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,True,196
17294,2018-01-03T05:55:15.000,2018-01-03T06:04:31.000,9,13252N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6181,False,True,
17297,2018-03-08T15:55:21.000,2018-03-08T16:12:45.000,17,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,False,308
17297,2018-03-28T18:30:00.000,2018-03-28T18:35:22.000,5,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,False,
17298,2018-03-13T08:09:35.000,2018-03-13T09:44:10.000,95,13256N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6183,False,False,308
17293,2018-09-25T13:37:39.000,2018-09-25T15:19:08.000,102,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,True,196
17294,2018-10-22T00:39:44.000,2018-10-22T12:24:44.000,705,13252N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6181,False,True,
17297,2018-12-18T12:13:28.000,2018-12-18T14:05:17.000,112,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,True,196
17293,2018-10-19T14:59:29.000,2018-10-19T15:03:56.000,4,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,True,196
17298,2018-07-06T00:00:00.000,2018-07-06T07:30:00.000,450,13256N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6183,False,True,
17293,2018-04-29T00:03:38.000,2018-04-29T07:30:00.000,447,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,False,
17293,2018-07-20T15:04:52.000,2018-07-20T15:11:43.000,7,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,False,196
17293,2018-02-27T14:14:38.000,2018-02-27T17:37:29.000,203,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,True,True,196
17294,2018-10-03T18:47:48.000,2018-10-03T19:13:33.000,26,13252N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6181,False,True,
17292,2018-10-23T16:54:49.000,2018-10-23T18:30:00.000,96,13250N,Docklands,123,BOURKE STREET,638,ENTERPRIZE WAY,998,MERCHANT STREET,3,North,6180,False,False,426
17292,2018-10-25T09:55:31.000,2018-10-25T09:59:01.000,4,13250N,Docklands,123,BOURKE STREET,638,ENTERPRIZE WAY,998,MERCHANT STREET,3,North,6180,False,False,426
17293,2018-02-28T15:49:12.000,2018-02-28T15:52:22.000,3,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,True,196
17298,2018-06-09T10:48:08.000,2018-06-09T10:56:02.000,8,13256N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6183,False,True,196
17298,2018-04-30T11:25:28.000,2018-04-30T11:25:56.000,0,13256N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6183,False,False,308
17297,2018-11-17T11:54:35.000,2018-11-17T12:08:51.000,14,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,False,196
17293,2018-08-04T13:08:51.000,2018-08-04T13:14:05.000,6,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,False,196
17292,2018-12-20T19:09:31.000,2018-12-20T19:12:07.000,3,13250N,Docklands,123,BOURKE STREET,638,ENTERPRIZE WAY,998,MERCHANT STREET,3,North,6180,False,True,
17293,2018-02-01T16:56:07.000,2018-02-01T17:07:38.000,11,13251S,Docklands,123,BOURKE STREET,998,MERCHANT STREET,1241,SEAFARER LANE,4,South,6092,False,True,196
17297,2018-07-07T08:01:00.000,2018-07-07T08:09:07.000,8,13254N,Docklands,123,BOURKE STREET,998,MERCHANT STREET,558,CUMBERLAND STREET,3,North,6182,False,True,196
