bay_id,st_marker_id,status,location,lat,lon
6151,C13708,Present,"{'latitude': '-37.82003923050601', 'longitude': '144.94309376899662', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.82003923050601,144.94309376899662
8130,15160N,Unoccupied,"{'latitude': '-37.81663498932373', 'longitude': '144.98116356058125', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81663498932373,144.98116356058125
7959,15006E,Unoccupied,"{'latitude': '-37.817088368703665', 'longitude': '144.98206749738844', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.817088368703665,144.98206749738844
1274,4466E,Unoccupied,"{'latitude': '-37.81360161910824', 'longitude': '144.95457224854204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81360161910824,144.95457224854204
1282,4474E,Unoccupied,"{'latitude': '-37.813033688592654', 'longitude': '144.95430777343313', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.813033688592654,144.95430777343313
6150,C13704,Present,"{'latitude': '-37.820019978880744', 'longitude': '144.94315996150792', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.820019978880744,144.94315996150792
615,72E,Present,"{'latitude': '-37.80993497807388', 'longitude': '144.97237175555972', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80993497807388,144.97237175555972
3040,5143W,Present,"{'latitude': '-37.80295473347809', 'longitude': '144.95692438957946', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80295473347809,144.95692438957946
5357,8895W,Unoccupied,"{'latitude': '-37.824542423653995', 'longitude': '144.96159306132756', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.824542423653995,144.96159306132756
5398,11762E,Present,"{'latitude': '-37.809990366890844', 'longitude': '144.97571012254173', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.809990366890844,144.97571012254173
5607,12233S,Present,"{'latitude': '-37.8095064011665', 'longitude': '144.9744578243005', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.8095064011665,144.9744578243005
5375,11724E,Present,"{'latitude': '-37.809919627877356', 'longitude': '144.97298012382748', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.809919627877356,144.97298012382748
4384,C7202,Unoccupied,"{'latitude': '-37.807619066478324', 'longitude': '144.95279678011752', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.807619066478324,144.95279678011752
3356,6044E,Unoccupied,"{'latitude': '-37.80611418666328', 'longitude': '144.95221261672373', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80611418666328,144.95221261672373
3833,C5542,Unoccupied,"{'latitude': '-37.80667854772118', 'longitude': '144.9540880143075', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80667854772118,144.9540880143075
5829,12545S,Unoccupied,"{'latitude': '-37.81596396837868', 'longitude': '144.98061896478418', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.81596396837868,144.98061896478418
8151,15195S,Unoccupied,"{'latitude': '-37.816749289206946', 'longitude': '144.98114263809254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.816749289206946,144.98114263809254
4277,C6890,Present,"{'latitude': '-37.809310495093584', 'longitude': '144.9558629671165', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.809310495093584,144.9558629671165
4180,C6628,Unoccupied,"{'latitude': '-37.80844275440215', 'longitude': '144.9594691475015', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.80844275440215,144.9594691475015
6035,13081S,Unoccupied,"{'latitude': '-37.821152904500416', 'longitude': '144.94309232883276', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",-37.821152904500416,144.94309232883276
