Asset_Type,Equipment_ID,Date_Install,Longitude,Latitude,STREET_1,STREET_2,Suburb,RMS_Region
VEH ,1,13-Oct-33,151.204856339,-33.8709528867,MARKET ST,KENT ST,SYDNEY,Sydney
VEH ,2,19-Jul-37,151.182333858,-33.8822750859,BRIDGE RD,ROSS ST,FOREST LODGE,Sydney
VEH ,3,09-Aug-37,151.186980289,-33.8798000324,BRIDGE RD,GLEBE POINT RD,GLEBE,Sydney
VEH ,4,24-May-37,151.176163263,-33.8854173965,PYRMONT BRIDGE RD,BOOTH ST,CAMPERDOWN,Sydney
VEH ,5,06-Sep-37,151.194910116,-33.8713943627,PYRMONT BRIDGE RD,HARRIS ST,PYRMONT,Sydney
VEH ,7,23-Dec-66,151.226553259,-33.7515878525,WARRINGAH RD,FOREST WAY,FRENCHS FOREST,Sydney
VEH ,8,13-Sep-65,151.151989425,-33.8472922027,VICTORIA RD,WESTBOURNE ST,DRUMMOYNE,Sydney
VEH ,9,17-Oct-66,150.929311563,-31.0901102588,PEEL ST,BRISBANE ST,TAMWORTH,Northern
VEH ,10,14-Sep-67,151.131801262,-33.992712029,ROCKY POINT RD,RUSSELL AV,SANS SOUCI,Sydney
VEH ,11,30-Oct-76,151.101343301,-33.8179577724,CHURCH ST,MORRISON RD,RYDE,Sydney
VEH ,12,20-Jul-66,150.975183858,-33.8860255592,WOODVILLE RD,KIRRANG AV,VILLAWOOD,Sydney
VEH ,13,30-May-38,151.176258184,-33.8917863653,SALISBURY RD,AUSTRALIA ST,CAMPERDOWN,Sydney
VEH ,14,25-Jul-38,151.103689017,-33.8774218502,BURWOOD RD,RAILWAY PDE,BURWOOD,Sydney
VEH ,15,31-Jan-95,151.212108052,-33.8618881892,PHILLIP ST,ALBERT ST,SYDNEY,Sydney
VEH ,16,13-Feb-39,151.149062698,-33.8898977359,PARRAMATTA RD,FLOOD ST,LEICHHARDT,Sydney
VEH ,17,18-Jul-38,151.145912611,-33.8930439368,OLD CANTERBURY RD,RAILWAY TCE,LEWISHAM,Sydney
VEH ,18,13-Feb-39,151.141776306,-33.8875407447,PARRAMATTA RD,SLOANE ST,HABERFIELD,Sydney
VEH ,19,27-Feb-39,151.171647456,-33.891421903,SALISBURY RD,CARDIGAN ST,CAMPERDOWN,Sydney
