Date,day,monthly_index,Covid Restrictions,Public_Holiday,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m),Total_Pedestrian_Count_per_day
01-01-2015,4,1,No restriction,Public Holiday,0,13.3,26.9,23.6,471563
02-01-2015,5,1,No restriction,Not a public holiday,0,15.4,38.8,26.8,389048
03-01-2015,6,1,No restriction,Not a public holiday,0,20,38.2,26.5,291761
04-01-2015,7,1,No restriction,Not a public holiday,4.6,16.3,21.4,25.2,382364
05-01-2015,1,1,No restriction,Not a public holiday,0,15,22,30.7,487220
06-01-2015,2,1,No restriction,Not a public holiday,0,17.7,26,31.6,485340
07-01-2015,3,1,No restriction,Not a public holiday,0,18.9,37.4,20.7,427142
08-01-2015,4,1,No restriction,Not a public holiday,21.6,23.1,28.2,13.5,474146
09-01-2015,5,1,No restriction,Not a public holiday,1.8,16.5,18,3.1,493430
10-01-2015,6,1,No restriction,Not a public holiday,7.4,13.6,21.7,5.6,425481
11-01-2015,7,1,No restriction,Not a public holiday,0,15.6,27.5,29.9,388144
12-01-2015,1,1,No restriction,Not a public holiday,0,16.1,31.3,31.6,484633
13-01-2015,2,1,No restriction,Not a public holiday,0,20.2,25.6,4.2,428901
14-01-2015,3,1,No restriction,Not a public holiday,17.8,18.3,22.7,15.2,469651
15-01-2015,4,1,No restriction,Not a public holiday,0,15.8,20,14.6,484780
16-01-2015,5,1,No restriction,Not a public holiday,0,13.1,27.3,30.3,578750
17-01-2015,6,1,No restriction,Not a public holiday,0,15.9,25,27.5,441219
18-01-2015,7,1,No restriction,Not a public holiday,0,15.3,19.5,23.4,434167
19-01-2015,1,1,No restriction,Not a public holiday,0,13.5,23.6,29,528505
20-01-2015,2,1,No restriction,Not a public holiday,0,13,30.4,19.6,565802
21-01-2015,3,1,No restriction,Not a public holiday,0,19.7,33.1,25.8,586215
22-01-2015,4,1,No restriction,Not a public holiday,0,18.7,35.8,23.1,562570
23-01-2015,5,1,No restriction,Not a public holiday,0,20.2,25,28.6,647374
24-01-2015,6,1,No restriction,Not a public holiday,0,15.8,26.3,30.3,551271
25-01-2015,7,1,No restriction,Not a public holiday,0,14.7,22,25.4,483016
26-01-2015,1,1,No restriction,Public Holiday,3,11.6,19.8,19.9,583404
27-01-2015,2,1,No restriction,Not a public holiday,0.6,11.7,19.1,17.7,506995
28-01-2015,3,1,No restriction,Not a public holiday,0,13.3,25.4,27,554508
29-01-2015,4,1,No restriction,Not a public holiday,0,12.8,22.2,28.9,549153
30-01-2015,5,1,No restriction,Not a public holiday,0,13.1,21,27.6,611914
31-01-2015,6,1,No restriction,Not a public holiday,0,14.3,20.2,26.2,454552
01-02-2015,7,2,No restriction,Not a public holiday,11.8,13.2,19,17.3,359600
02-02-2015,1,2,No restriction,Not a public holiday,2.6,13.5,21.1,23.9,497991
03-02-2015,2,2,No restriction,Not a public holiday,0,16.1,20,22.7,519223
04-02-2015,3,2,No restriction,Not a public holiday,0,14.8,19,21.2,531553
05-02-2015,4,2,No restriction,Not a public holiday,0,13.3,24.2,28.8,553957
06-02-2015,5,2,No restriction,Not a public holiday,0,14.5,35.7,28.4,598130
07-02-2015,6,2,No restriction,Not a public holiday,0,18.8,35,16.1,456256
08-02-2015,7,2,No restriction,Not a public holiday,0,18.9,21.5,16.6,393458
09-02-2015,1,2,No restriction,Not a public holiday,0,13.6,28.3,28.6,516238
10-02-2015,2,2,No restriction,Not a public holiday,0,16.4,27.8,27.7,533244
11-02-2015,3,2,No restriction,Not a public holiday,0,18.1,26.8,24.1,518877
12-02-2015,4,2,No restriction,Not a public holiday,0,17.8,21.9,23.8,566425
13-02-2015,5,2,No restriction,Not a public holiday,0,16.1,32.4,14.9,577716
14-02-2015,6,2,No restriction,Not a public holiday,20.8,19,25.1,20.8,601566
15-02-2015,7,2,No restriction,Not a public holiday,0.4,18.2,34.4,25.7,458469
16-02-2015,1,2,No restriction,Not a public holiday,0,17.4,24.6,26.3,522039
17-02-2015,2,2,No restriction,Not a public holiday,0,17.6,20.6,8.3,554552
18-02-2015,3,2,No restriction,Not a public holiday,0,17.7,21.2,7.8,629421
19-02-2015,4,2,No restriction,Not a public holiday,0,18.2,26.9,24.7,641733
20-02-2015,5,2,No restriction,Not a public holiday,0,17.4,25.3,24.7,696494
21-02-2015,6,2,No restriction,Not a public holiday,0,18.1,36.1,20,711394
22-02-2015,7,2,No restriction,Not a public holiday,2.2,20.3,35.3,11.7,703631
23-02-2015,1,2,No restriction,Not a public holiday,0,21.1,29.3,4.7,546358
24-02-2015,2,2,No restriction,Not a public holiday,3.6,15.9,20.1,21.4,614174
25-02-2015,3,2,No restriction,Not a public holiday,0,14,27,24.1,639207
26-02-2015,4,2,No restriction,Not a public holiday,0,16,23.2,18.5,631904
27-02-2015,5,2,No restriction,Not a public holiday,0,14.8,24.3,21.7,698009
28-02-2015,6,2,No restriction,Not a public holiday,0,17.9,32.3,6.9,515919
01-03-2015,7,3,No restriction,Not a public holiday,16.4,15.2,20.8,23.3,477727
02-03-2015,1,3,No restriction,Not a public holiday,0.4,11.6,23,22,572045
03-03-2015,2,3,No restriction,Not a public holiday,0,15.5,22.7,21.2,601851
04-03-2015,3,3,No restriction,Not a public holiday,0,15.4,23.5,23,636763
05-03-2015,4,3,No restriction,Not a public holiday,0.8,12.6,18.6,22.5,613915
06-03-2015,5,3,No restriction,Not a public holiday,0.8,14.1,21.1,10.8,653812
07-03-2015,6,3,No restriction,Not a public holiday,0.8,15.4,22.6,10.8,656325
08-03-2015,7,3,No restriction,Not a public holiday,0.2,16.2,24.4,20.4,749645
09-03-2015,1,3,No restriction,Not a public holiday,0,14.4,23.8,18.6,625386
10-03-2015,2,3,No restriction,Not a public holiday,0,16.2,21.7,22.1,573615
11-03-2015,3,3,No restriction,Not a public holiday,0,11.2,23.8,22.3,620929
12-03-2015,4,3,No restriction,Not a public holiday,0,13,19.9,18.7,617938
13-03-2015,5,3,No restriction,Not a public holiday,0,14.4,20.4,21.2,728920
14-03-2015,6,3,No restriction,Public Holiday,0,9.4,30.1,20,573160
15-03-2015,7,3,No restriction,Not a public holiday,0,13.1,18.3,17.5,490759
16-03-2015,1,3,No restriction,Not a public holiday,0,10.5,25.5,14.5,594026
17-03-2015,2,3,No restriction,Not a public holiday,0,13,26.2,4.8,579477
18-03-2015,3,3,No restriction,Not a public holiday,2.4,17.8,24.4,9.4,613218
19-03-2015,4,3,No restriction,Not a public holiday,2.4,16.5,33.5,15.1,623515
20-03-2015,5,3,No restriction,Not a public holiday,2.4,14.2,19.6,19.9,692880
21-03-2015,6,3,No restriction,Not a public holiday,2.4,11.9,22.7,20.8,577248
22-03-2015,7,3,No restriction,Not a public holiday,0,11.3,28.8,19.9,555312
23-03-2015,1,3,No restriction,Not a public holiday,0,13.6,27,3.9,536966
24-03-2015,2,3,No restriction,Not a public holiday,2.8,12.6,15.3,3.8,548713
25-03-2015,3,3,No restriction,Public Holiday,1.4,13,20.4,13.8,618004
26-03-2015,4,3,No restriction,Public Holiday,1.4,9.8,18,9.9,617469
27-03-2015,5,3,No restriction,Public Holiday,0,11.6,18.1,11.2,699092
28-03-2015,6,3,No restriction,Public Holiday,0,12.7,19.1,14.4,620811
29-03-2015,7,3,No restriction,Not a public holiday,0,8.5,22.7,18.6,599990
30-03-2015,1,3,No restriction,Not a public holiday,0,10.6,23.1,18.1,647490
31-03-2015,2,3,No restriction,Not a public holiday,0,11.2,25.3,18.1,652023
01-04-2015,3,4,No restriction,Not a public holiday,0,13.3,29,10.7,621352
02-04-2015,4,4,No restriction,Not a public holiday,0.4,12.8,17.2,17.5,671795
03-04-2015,5,4,No restriction,Not a public holiday,0,8,20.9,17.4,476397
04-04-2015,6,4,No restriction,Not a public holiday,0,8.5,23.5,16.2,575694
05-04-2015,7,4,No restriction,Not a public holiday,0,10.2,18.5,9.8,465305
06-04-2015,1,4,No restriction,Not a public holiday,0,11.2,18.4,13,422131
07-04-2015,2,4,No restriction,Not a public holiday,0,12.4,17.3,3.9,512383
08-04-2015,3,4,No restriction,Not a public holiday,6.2,13.3,17.7,12.6,621442
09-04-2015,4,4,No restriction,Not a public holiday,0,8.7,19.1,10.9,660311
10-04-2015,5,4,No restriction,Not a public holiday,0,8.6,18.7,15.9,769697
11-04-2015,6,4,No restriction,Not a public holiday,0,11.6,23.7,14.9,583589
12-04-2015,7,4,No restriction,Not a public holiday,0,12.1,18.3,13.4,458808
13-04-2015,1,4,No restriction,Not a public holiday,0,7.3,19.1,14.9,562914
14-04-2015,2,4,No restriction,Not a public holiday,1.8,10.5,24.7,8.4,576960
15-04-2015,3,4,No restriction,Not a public holiday,7,13.9,27.6,12.8,629175
16-04-2015,4,4,No restriction,Not a public holiday,7,15.6,17.8,10.9,648782
17-04-2015,5,4,No restriction,Not a public holiday,7,10.1,17.1,7.5,703342
18-04-2015,6,4,No restriction,Not a public holiday,7,13.5,21.9,9.9,558398
19-04-2015,7,4,No restriction,Not a public holiday,7.4,9.7,14.7,11,387304
20-04-2015,1,4,No restriction,Not a public holiday,2.2,7,16.2,12.7,554574
21-04-2015,2,4,No restriction,Not a public holiday,0,6.5,17.7,13.8,556354
22-04-2015,3,4,No restriction,Not a public holiday,0,9.1,19.5,7.1,570779
23-04-2015,4,4,No restriction,Not a public holiday,0,12.2,19.2,7.5,602834
24-04-2015,5,4,No restriction,Not a public holiday,0,14.4,21.1,7.8,687369
25-04-2015,6,4,No restriction,Public Holiday,0,11.6,15,3.5,617257
26-04-2015,7,4,No restriction,Not a public holiday,,10.4,15.4,5.9,402903
27-04-2015,1,4,No restriction,Not a public holiday,0,10.5,15.1,8.3,519381
28-04-2015,2,4,No restriction,Not a public holiday,1.8,10.1,16,8.9,536691
29-04-2015,3,4,No restriction,Not a public holiday,0,7.4,17.1,12.6,580872
30-04-2015,4,4,No restriction,Not a public holiday,0.2,6.4,19.6,12.3,600746
01-05-2015,5,5,No restriction,Not a public holiday,0,7.9,23.1,12.1,746219
02-05-2015,6,5,No restriction,Not a public holiday,0,11.6,22.2,6.1,557177
03-05-2015,7,5,No restriction,Not a public holiday,0,9.7,18.2,11.2,452820
04-05-2015,1,5,No restriction,Not a public holiday,0.2,7.5,22.3,11.6,544844
05-05-2015,2,5,No restriction,Not a public holiday,1.4,9.2,18.1,7.1,506962
06-05-2015,3,5,No restriction,Not a public holiday,1.6,9.5,16.2,7.6,543673
07-05-2015,4,5,No restriction,Not a public holiday,2.6,10.3,15.6,6.9,556631
08-05-2015,5,5,No restriction,Not a public holiday,0.2,10.5,15.9,5.9,662573
09-05-2015,6,5,No restriction,Not a public holiday,0,12.8,18.7,7.3,512580
10-05-2015,7,5,No restriction,Not a public holiday,10.6,12.8,16.6,5.9,394815
11-05-2015,1,5,No restriction,Not a public holiday,2.6,12.4,15.9,7.9,508168
12-05-2015,2,5,No restriction,Not a public holiday,0.2,12.8,17.4,5.9,514329
13-05-2015,3,5,No restriction,Not a public holiday,6.2,6.3,12.8,8.7,533158
14-05-2015,4,5,No restriction,Not a public holiday,4.2,7.3,14.6,6.7,567567
15-05-2015,5,5,No restriction,Not a public holiday,2,11.5,14.5,6.2,665396
16-05-2015,6,5,No restriction,Not a public holiday,0,11.3,16.2,10.4,556646
17-05-2015,7,5,No restriction,Not a public holiday,0,7.4,20.5,10.3,468310
18-05-2015,1,5,No restriction,Not a public holiday,0,7.2,20.4,10.2,566187
19-05-2015,2,5,No restriction,Not a public holiday,0,9.9,16.2,3.2,535738
20-05-2015,3,5,No restriction,Not a public holiday,3.4,13.6,18.1,6,564353
21-05-2015,4,5,No restriction,Not a public holiday,7,10.3,13.6,3.5,564108
22-05-2015,5,5,No restriction,Not a public holiday,0.4,9.1,14.1,6.7,671844
23-05-2015,6,5,No restriction,Not a public holiday,0,10.4,13.3,7.7,544407
24-05-2015,7,5,No restriction,Not a public holiday,0,6,15.6,8.6,418867
25-05-2015,1,5,No restriction,Not a public holiday,0,7.4,17.1,8.1,537110
26-05-2015,2,5,No restriction,Not a public holiday,0,5.4,15.6,6.8,554730
27-05-2015,3,5,No restriction,Not a public holiday,0.2,7.9,18.7,7.4,577867
28-05-2015,4,5,No restriction,Not a public holiday,0,13.1,19.7,8.4,598827
29-05-2015,5,5,No restriction,Not a public holiday,0,9.5,15.8,6.6,658994
30-05-2015,6,5,No restriction,Not a public holiday,0,11,17.3,8,528365
31-05-2015,7,5,No restriction,Not a public holiday,0,12.3,16.8,4.9,356804
01-06-2015,1,6,No restriction,Not a public holiday,7.4,5.2,12.2,8.1,524373
02-06-2015,2,6,No restriction,Not a public holiday,4.2,7.1,11.4,4.6,528939
03-06-2015,3,6,No restriction,Not a public holiday,0.8,8.1,13.6,8.2,579905
04-06-2015,4,6,No restriction,Not a public holiday,0,4.4,11.3,5.5,540945
05-06-2015,5,6,No restriction,Not a public holiday,4.2,7,15,7,682471
06-06-2015,6,6,No restriction,Not a public holiday,0.4,9.2,16.6,6.4,637017
07-06-2015,7,6,No restriction,Not a public holiday,0,11.2,14.5,6.9,540196
08-06-2015,1,6,No restriction,Not a public holiday,0,11.1,18.5,8.2,463457
09-06-2015,2,6,No restriction,Not a public holiday,,10.3,13.5,8.6,541621
10-06-2015,3,6,No restriction,Not a public holiday,0,7.5,13.4,7.1,565075
11-06-2015,4,6,No restriction,Not a public holiday,0,5.7,14,8.3,596107
12-06-2015,5,6,No restriction,Not a public holiday,0.2,5.2,13.1,6.9,661425
13-06-2015,6,6,No restriction,Public Holiday,0,6,18.2,8,517094
