Description,Category,Subcategory,Year,Percentage
neighbourhoodDay,AgeRange,35-44 years,2023,82.9
neighbourhoodDay,Suburb,Carlton 3053,2023,80.9
neighbourhoodDay,Suburb,City of Melbourne,2023,85.9
neighbourhoodDay,Suburb,Docklands 3008,2023,88.9
neighbourhoodDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,89.4
neighbourhoodNight,AgeRange,18-24 years,2023,46.8
neighbourhoodNight,AgeRange,25-34 years,2023,61.7
neighbourhoodNight,AgeRange,55-64 years,2023,66.0
neighbourhoodNight,Gender,Female,2023,48.9
neighbourhoodNight,Suburb,Docklands 3008,2023,61.9
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2023,74.1
neighbourhoodNight,Suburb,Melbourne 3000,2023,52.8
transportNight,AgeRange,18-24 years,2023,80.4
transportNight,AgeRange,25-34 years,2023,79.7
transportNight,AgeRange,55-64 years,2023,78.9
transportNight,AgeRange,65+ years,2023,88.4
transportNight,Gender,Female,2023,78.2
transportNight,Suburb,Docklands 3008,2023,75.1
transportNight,Suburb,Melbourne 3000,2023,77.2
transportNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,85.5
transportDay,AgeRange,35-44 years,2023,61.1
transportDay,AgeRange,55-64 years,2023,52.8
transportDay,Gender,Female,2023,41.3
transportDay,Gender,Male,2023,66.5
transportDay,Suburb,East Melbourne 3002,2023,66.7
transportDay,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,57.8
transportDay,Suburb,Parkville 3052,2023,44.2
neighbourhoodDay,AgeRange,18-24 years,2023,85.1
neighbourhoodDay,AgeRange,25-34 years,2023,86.0
neighbourhoodDay,AgeRange,65+ years,2023,87.5
neighbourhoodDay,Suburb,Kensington / Flemington 3031,2023,94.7
neighbourhoodDay,Suburb,Melbourne 3000,2023,78.7
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2023,89.6
neighbourhoodNight,AgeRange,35-44 years,2023,62.0
neighbourhoodNight,AgeRange,45-54 years,2023,73.8
neighbourhoodNight,AgeRange,65+ years,2023,74.4
neighbourhoodNight,Gender,Male,2023,72.5
neighbourhoodNight,Suburb,Carlton 3053,2023,52.9
neighbourhoodNight,Suburb,South Wharf / Southbank 3006,2023,68.1
neighbourhoodNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,68.4
transportNight,Suburb,City of Melbourne,2023,81.3
transportNight,Suburb,South Wharf / Southbank 3006,2023,83.5
transportDay,AgeRange,18-24 years,2023,42.6
transportDay,AgeRange,25-34 years,2023,52.7
transportDay,Suburb,Carlton 3053,2023,51.9
transportDay,Suburb,Kensington / Flemington 3031,2023,52.5
transportDay,Suburb,Melbourne 3000,2023,52.4
transportDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,51.5
neighbourhoodDay,AgeRange,45-54 years,2023,90.4
neighbourhoodDay,AgeRange,55-64 years,2023,86.7
neighbourhoodDay,Gender,Female,2023,84.6
neighbourhoodDay,Gender,Male,2023,87.3
neighbourhoodDay,Suburb,East Melbourne 3002,2023,95.4
neighbourhoodDay,Suburb,Parkville 3052,2023,95.8
neighbourhoodDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,90.7
neighbourhoodNight,Suburb,City of Melbourne,2023,60.7
neighbourhoodNight,Suburb,East Melbourne 3002,2023,79.5
neighbourhoodNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2023,66.4
neighbourhoodNight,Suburb,Parkville 3052,2023,51.2
transportNight,AgeRange,35-44 years,2023,80.4
transportNight,AgeRange,45-54 years,2023,89.8
transportNight,Gender,Male,2023,84.5
transportNight,Suburb,Carlton 3053,2023,83.6
transportNight,Suburb,East Melbourne 3002,2023,87.3
transportNight,Suburb,Kensington / Flemington 3031,2023,90.3
transportNight,Suburb,Parkville 3052,2023,80.8
transportNight,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,85.0
transportDay,AgeRange,45-54 years,2023,68.6
transportDay,AgeRange,65+ years,2023,66.7
transportDay,Suburb,City of Melbourne,2023,53.9
transportDay,Suburb,Docklands 3008,2023,52.2
transportDay,Suburb,South Wharf / Southbank 3006,2023,57.7
neighbourhoodDay,AgeRange,18-24 years,2022,84.1
neighbourhoodDay,AgeRange,35-44 years,2022,90.3
neighbourhoodDay,AgeRange,55-64 years,2022,94.2
neighbourhoodDay,Suburb,City of Melbourne,2022,86.3
neighbourhoodDay,Suburb,Docklands 3008,2022,90.0
neighbourhoodNight,AgeRange,65+ years,2022,82.7
neighbourhoodNight,Gender,Female,2022,47.5
neighbourhoodNight,Suburb,Carlton 3053,2022,60.0
neighbourhoodNight,Suburb,City of Melbourne,2022,58.7
neighbourhoodNight,Suburb,Melbourne 3000,2022,54.4
neighbourhoodNight,Suburb,North Melbourne 3051 / West Melbourne 3003,2022,46.5
neighbourhoodNight,Suburb,South Wharf / Southbank 3006,2022,63.4
transportNight,Suburb,Docklands 3008,2022,82.4
transportNight,Suburb,South Wharf / Southbank 3006,2022,81.4
transportDay,AgeRange,25-34 years,2022,52.4
transportDay,AgeRange,35-44 years,2022,52.6
transportDay,Gender,Female,2022,38.7
transportDay,Suburb,City of Melbourne,2022,50.6
transportDay,Suburb,Docklands 3008,2022,55.9
transportDay,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,54.9
neighbourhoodDay,Suburb,East Melbourne 3002,2022,91.7
neighbourhoodDay,Suburb,Kensington / Flemington 3031,2022,92.9
neighbourhoodDay,Suburb,Melbourne 3000,2022,81.3
neighbourhoodDay,Suburb,South Wharf / Southbank 3006,2022,92.6
neighbourhoodNight,Gender,Male,2022,71.0
neighbourhoodNight,Suburb,East Melbourne 3002,2022,76.5
neighbourhoodNight,Suburb,Kensington / Flemington 3031,2022,68.4
transportNight,AgeRange,18-24 years,2022,82.0
transportNight,AgeRange,25-34 years,2022,77.7
transportNight,AgeRange,35-44 years,2022,79.9
transportNight,AgeRange,45-54 years,2022,82.5
transportNight,AgeRange,65+ years,2022,72.0
transportNight,Gender,Female,2022,78.0
transportNight,Gender,Male,2022,83.3
transportNight,Suburb,City of Melbourne,2022,80.4
transportNight,Suburb,Kensington / Flemington 3031,2022,88.9
transportNight,Suburb,Parkville 3052,2022,79.6
transportDay,AgeRange,18-24 years,2022,42.3
transportDay,AgeRange,55-64 years,2022,62.2
transportDay,AgeRange,65+ years,2022,60.0
transportDay,Gender,Male,2022,63.7
transportDay,Suburb,Carlton 3053,2022,48.8
transportDay,Suburb,Kensington / Flemington 3031,2022,57.2
transportDay,Suburb,Parkville 3052,2022,44.3
neighbourhoodDay,AgeRange,25-34 years,2022,85.3
neighbourhoodDay,AgeRange,45-54 years,2022,79.8
neighbourhoodDay,AgeRange,65+ years,2022,93.7
neighbourhoodDay,Gender,Female,2022,87.3
neighbourhoodDay,Gender,Male,2022,86.2
neighbourhoodDay,Suburb,Carlton 3053,2022,80.2
