indicator,type,topic,description,response,respondent_group,year,sample_size,result,format,respondent_group0
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",55-64 years,2023,115,13.2,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",65+ years,2023,203,5.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Docklands 3008,2023,113,25.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",35-44 years,2023,228,19.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2023,115,6.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Female,2023,758,24.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Male,2023,572,19.4,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2023,113,14.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Wharf / Southbank 3006,2023,147,16.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",35-44 years,2023,228,16.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",45-54 years,2023,126,10.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Male,2023,571,19.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Carlton 3053,2023,191,25.9,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",City of Melbourne,2023,1369,19.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",55-64 years,2023,115,2.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2023,203,2.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2023,569,13.2,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",25-34 years,2023,421,8.4,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",35-44 years,2023,229,6.6,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",55-64 years,2023,115,4.2,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",65+ years,2023,203,2.1,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",City of Melbourne,2023,1376,7.5,Per cent,
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2023,207,9.9,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",25-34 years,2023,421,34.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Male,2023,573,28.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Carlton 3053,2023,192,46.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",East Melbourne 3002,2023,69,18.9,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Kensington / Flemington 3031,2023,89,18.1,Per cent,
