,Suburb,Postcode,Address,Price pw,Date available,Number of bedrooms,Number of bathrooms,Number of carspaces,Type of property,suburb_formatted,address_formatted,latitude,longitude
0,Box Hill,3128,"1/8 Ashted Road, Box Hill, Vic 3128",500,12/9/2025,2,1,1,Unit,boxhill,"8 Ashted Road, Box Hill, Vic",-37.8231233,145.1236049
1,Box Hill,3128,"1112/850 Whitehorse Road, Box Hill, Vic 3128",610,11/8/2025,2,1,1,Apartment,boxhill,"850 Whitehorse Road, Box Hill, Vic",-37.8176227,145.1184549
2,Box Hill,3128,"1 Elland Avenue, Box Hill, Vic 3128",450,5/8/2025,1,1,0,Apartment,boxhill,"1 Elland Avenue, Box Hill, Vic",-37.8172198,145.1233661
3,Box Hill,3128,"31/1045 Whitehorse Road, Box Hill, Vic 3128",700,6/8/2025,2,2,1,Apartment,boxhill,"1045 Whitehorse Road, Box Hill, Vic",-37.8182599,145.1281647
4,Box Hill,3128,"12/40 Barkly Street, Box Hill, Vic 3128",550,7/8/2025,3,1,2,Unit,boxhill,"40 Barkly Street, Box Hill, Vic",-37.825994,145.1304693
5,Hawthorn,3122,"3/494 Glenferrie Road, Hawthorn, Vic 3122",500,12/8/2025,2,1,1,Apartment,hawthorn,"494 Glenferrie Road, Hawthorn, Vic",-37.8318201,145.0338629
6,Hawthorn,3122,"517B/200 Burwood Road, Hawthorn, Vic 3122",1100,5/9/2025,3,2,2,Apartment,hawthorn,"200 Burwood Road, Hawthorn, Vic",-37.8221063,145.0299116
7,Hawthorn,3122,"4/27 Elphin Grove, Hawthorn, Vic 3122",650,10/9/2025,2,1,1,Apartment,hawthorn,"27 Elphin Grove, Hawthorn, Vic",-37.8181826,145.0423484
8,Hawthorn,3122,"2/111 Riversdale Road, Hawthorn, Vic 3122",525,5/9/2025,1,1,1,Apartment,hawthorn,"111 Riversdale Road, Hawthorn, Vic",-37.8287084,145.0354497
9,Hawthorn,3122,"418D/1 Drill Street, Hawthorn, Vic 3122",1200,1/9/2025,3,2,2,Apartment,hawthorn,"1 Drill Street, Hawthorn, Vic",-37.822137,145.0300486
10,Doncaster,3108,"6/77-79 Wetherby Road, Doncaster, Vic 3108",600,19/8/2025,2,1,2,House,doncaster,"77-79 Wetherby Road, Doncaster, Vic",-37.79392,145.1419781
11,Doncaster,3108,"1/21 Sargent Street, Doncaster, Vic 3108",1200,5/8/2025,4,3,2,Townhouse,doncaster,"21 Sargent Street, Doncaster, Vic",-37.7966039,145.1216103
12,Doncaster,3108,"812/101 Tram Road, Doncaster, Vic 3108",535,21/8/2025,2,1,1,Apartment,doncaster,"101 Tram Road, Doncaster, Vic",-37.7881138,145.1244993
13,Doncaster,3108,"38 Bordeaux Street, Doncaster, Vic 3108",600,5/8/2025,3,2,2,House,doncaster,"38 Bordeaux Street, Doncaster, Vic",-37.7823604,145.1191712
14,Doncaster,3108,"46 Wetherby Road, Doncaster, Vic 3108",1220,11/8/2025,5,2,2,House,doncaster,"46 Wetherby Road, Doncaster, Vic",-37.7909058,145.1432728
15,Mitcham,3132,"1A Bruce Street, Mitcham, Vic 3132",690,5/8/2025,3,2,1,House,mitcham,"1A Bruce Street, Mitcham, Vic",-37.8128985,145.1856979
16,Mitcham,3132,"12 Norman Street, Mitcham, Vic 3132",800,12/8/2025,4,2,1,House,mitcham,"12 Norman Street, Mitcham, Vic",-37.8253421,145.1977296
17,Mitcham,3132,"2/9 Mcghee Avenue, Mitcham, Vic 3132",480,5/9/2025,2,1,1,Unit,mitcham,"9 Mcghee Avenue, Mitcham, Vic",-37.8191561,145.1974361
18,Mitcham,3132,"15/20 Harrison Street, Mitcham, Vic 3132",920,5/8/2025,4,3,2,Townhouse,mitcham,"20 Harrison Street, Mitcham, Vic",-37.8140322,145.1988733
19,Mitcham,3132,"18/20 Harrison Street, Mitcham, Vic 3132",850,5/8/2025,3,2,2,Townhouse,mitcham,"20 Harrison Street, Mitcham, Vic",-37.8140322,145.1988733
20,Burwood,3125,"15 Cumming Street, Burwood, Vic 3125",590,8/8/2025,3,1,2,House,burwood,"15 Cumming Street, Burwood, Vic",-37.8514363,145.1135434
21,Burwood,3125,"G16/373 Burwood Highway, Burwood, Vic 3125",560,1/9/2025,2,2,1,Apartment,burwood,"373 Burwood Highway, Burwood, Vic",-37.8513696,145.1297299
22,Burwood,3125,"206/310 Burwood Highway, Burwood, Vic 3125",540,5/8/2025,2,1,0,Apartment,burwood,"310 Burwood Highway, Burwood, Vic",-37.8509708,145.1210496
23,Burwood,3125,"5/2D Ireland Street, Burwood, Vic 3125",700,18/8/2025,3,2,2,Townhouse,burwood,"2D Ireland Street, Burwood, Vic",-37.8500932,145.1068538
24,Burwood,3125,"2/6 Beddows Street, Burwood, Vic 3125",1095,18/8/2025,4,3,2,Townhouse,burwood,"6 Beddows Street, Burwood, Vic",-37.8536571,145.11838
25,Blackburn,3130,"1 Railway Road, Blackburn, Vic 3130",750,14/8/2025,3,2,2,House,blackburn,"1 Railway Road, Blackburn, Vic",-37.8195451,145.1456843
26,Blackburn,3130,"16/12 John Street, Blackburn, Vic 3130",490,9/8/2025,2,1,0,Unit,blackburn,"12 John Street, Blackburn, Vic",-37.8157355,145.1523943
27,Blackburn,3130,"18 Hillside Crescent, Blackburn, Vic 3130",1100,17/9/2025,4,3,2,Townhouse,blackburn,"18 Hillside Crescent, Blackburn, Vic",-37.8227382,145.1389796
28,Blackburn,3130,"5/15-17 Laburnum Street, Blackburn, Vic 3130",550,11/9/2025,2,1,1,Unit,blackburn,"15-17 Laburnum Street, Blackburn, Vic",-37.8205679,145.1423475
29,Blackburn,3130,"5/4 Lithgow Avenue, Blackburn, Vic 3130",500,5/8/2025,1,1,1,Unit,blackburn,"4 Lithgow Avenue, Blackburn, Vic",-37.8189811,145.1460425
30,Ringwood,3134,"5/1 Vine Street, Ringwood, Vic 3134",550,5/8/2025,2,1,1,Unit,ringwood,"1 Vine Street, Ringwood, Vic",-37.8228431,145.2266004
31,Ringwood,3134,"402 Maroondah Highway, Ringwood, Vic 3134",525,5/8/2025,3,1,2,House,ringwood,"402 Maroondah Highway, Ringwood, Vic",-37.7995192,145.2522882
32,Ringwood,3134,"4A Keith Grove, Ringwood, Vic 3134",670,7/10/2025,3,2,1,House,ringwood,"4A Keith Grove, Ringwood, Vic",-37.8212336,145.2225223
33,Ringwood,3134,"21 Oliver Street, Ringwood, Vic 3134",650,5/8/2025,4,1,0,House,ringwood,"21 Oliver Street, Ringwood, Vic",-37.8087679,145.2372398
34,Ringwood,3134,"303/7-9 Bardia Street, Ringwood, Vic 3134",460,5/9/2025,1,1,1,Apartment,ringwood,"7-9 Bardia Street, Ringwood, Vic",-37.812136,145.2334027
35,Nunawading,3131,"10 Tasman Avenue, Nunawading, Vic 3131",630,12/9/2025,3,1,2,House,nunawading,"10 Tasman Avenue, Nunawading, Vic",-37.8067118,145.1737738
36,Nunawading,3131,"6/26 Oxford Street, Nunawading, Vic 3131",880,5/8/2025,4,3,2,Townhouse,nunawading,"26 Oxford Street, Nunawading, Vic",-37.8031081,145.1842019
37,Nunawading,3131,"7/51 Mcculloch Street, Nunawading, Vic 3131",550,5/8/2025,2,1,1,Unit,nunawading,"51 Mcculloch Street, Nunawading, Vic",-37.8167535,145.1799277
38,Nunawading,3131,"2/29 Efron Street, Nunawading, Vic 3131",375,5/8/2025,1,1,2,Unit,nunawading,"29 Efron Street, Nunawading, Vic",-37.8091754,145.1806545
39,Nunawading,3131,"25/35-47 Burnt Street, Nunawading, Vic 3131",500,18/8/2025,2,1,1,House,nunawading,"35-47 Burnt Street, Nunawading, Vic",-37.8170696,145.1748608
40,Camberwell,3124,"111/1101 Toorak Road, Camberwell, Vic 3124",620,25/8/2025,2,2,1,Apartment,camberwell,"1101 Toorak Road, Camberwell, Vic",-37.8479358,145.075152
41,Camberwell,3124,"2/597 Burke Road, Camberwell, Vic 3124",1700,5/8/2025,4,3,2,Townhouse,camberwell,"597 Burke Road, Camberwell, Vic",-37.8404727,145.0547655
42,Camberwell,3124,"14A Judd Street, Camberwell, Vic 3124",695,5/9/2025,2,1,2,Unit,camberwell,"14A Judd Street, Camberwell, Vic",-37.8368158,145.0647903
43,Camberwell,3124,"43 Spencer Road, Camberwell, Vic 3124",890,5/8/2025,3,1,1,House,camberwell,"43 Spencer Road, Camberwell, Vic",-37.8289051,145.0707759
44,Camberwell,3124,"S1/431 Camberwell Rd, Camberwell, Vic 3124",400,5/8/2025,1,1,1,Unit,camberwell,"431 Camberwell Rd, Camberwell, Vic",-37.8372814,145.0638821
45,Glen Waverley,3150,"2/3 Owens Avenue, Glen Waverley, Vic 3150",700,30/8/2025,3,2,1,Unit,glenwaverley,"3 Owens Avenue, Glen Waverley, Vic",-37.8895557,145.1592866
46,Glen Waverley,3150,"1/18 Garrisson Drive, Glen Waverley, Vic 3150",925,27/8/2025,4,2,2,Townhouse,glenwaverley,"18 Garrisson Drive, Glen Waverley, Vic",-37.8788361,145.173969
47,Glen Waverley,3150,"18 Glen Road, Glen Waverley, Vic 3150",1380,8/8/2025,4,3,2,House,glenwaverley,"18 Glen Road, Glen Waverley, Vic",-37.8811099,145.1687042
48,Glen Waverley,3150,"410/52-54 O'Sullivan Road, Glen Waverley, Vic 3150",950,5/8/2025,3,3,2,Apartment,glenwaverley,"52-54 O'Sullivan Road, Glen Waverley, Vic",-37.8789122,145.1649082
49,Glen Waverley,3150,"802/2 Snedden Drive, Glen Waverley, Vic 3150",660,22/8/2025,1,1,1,Apartment,glenwaverley,"2 Snedden Drive, Glen Waverley, Vic",-37.878079,145.1641303
50,Brighton,3186,"210/79-81 Asling Street, Brighton, Vic 3186",640,13/8/2025,2,1,1,Apartment,brighton,"79-81 Asling Street, Brighton, Vic",-37.9024096,145.0021649
51,Brighton,3186,"56 Asling Street, Brighton, Vic 3186",1400,5/8/2025,3,2,2,House,brighton,"56 Asling Street, Brighton, Vic",-37.9010044,145.0026477
52,Brighton,3186,"2/117 Cochrane Street, Brighton, Vic 3186",680,9/8/2025,2,1,1,Villa,brighton,"117 Cochrane Street, Brighton, Vic",-37.8941254,144.9997547
