Date,Daily_Total
2021-07-01,469131
2021-07-02,469151
2021-07-03,502246
2021-07-04,390044
2021-07-05,409313
2021-07-06,454062
2021-07-07,481895
2021-07-08,83759
2021-07-09,580579
2021-07-10,546392
2021-07-11,415816
2021-07-12,373454
2021-07-13,391059
2021-07-14,377020
2021-07-15,395553
2021-07-16,138297
2021-07-17,104193
2021-07-18,133447
2021-07-19,133236
2021-07-20,99121
2021-07-21,147081
2021-07-22,145880
2021-07-23,149025
2021-07-24,161680
2021-07-25,128359
2021-07-26,142610
2021-07-27,147737
2021-07-28,250947
2021-07-29,283904
2021-07-30,338401
2021-07-31,388226
2021-08-01,308358
2021-08-02,278755
2021-08-03,274860
2021-08-04,278279
2021-08-05,297074
2021-08-06,132751
2021-08-07,134561
2021-08-08,146617
2021-08-09,143160
2021-08-10,156409
2021-08-11,137280
2021-08-12,162508
2021-08-13,175236
2021-08-14,172713
2021-08-15,162766
2021-08-16,138134
2021-08-17,140344
2021-08-18,144632
2021-08-19,157499
2021-08-20,141311
2021-08-21,171537
2021-08-22,157985
2021-08-23,117964
2021-08-24,142737
2021-08-25,145228
2021-08-26,144737
2021-08-27,154838
2021-08-28,175035
2021-08-29,111428
2021-08-30,159360
2021-08-31,151275
2021-09-01,179345
2021-09-02,176653
2021-09-03,108443
2021-09-04,146438
2021-09-05,130234
2021-09-06,161219
2021-09-07,149523
2021-09-08,174486
2021-09-09,167812
2021-09-10,168841
2021-09-11,162737
2021-09-12,137551
2021-09-13,157788
2021-09-14,165874
2021-09-15,169212
2021-09-16,168428
2021-09-17,166016
2021-09-18,139235
2021-09-19,154500
2021-09-20,135041
2021-09-21,170953
2021-09-22,185148
2021-09-23,185378
2021-09-24,149226
2021-09-25,149799
2021-09-26,175715
2021-09-27,180807
2021-09-28,185890
2021-09-29,150222
2021-09-30,120720
2021-10-01,172055
2021-10-02,179169
2021-10-03,157464
2021-10-04,151375
2021-10-05,169439
2021-10-06,187880
2021-10-07,173175
2021-10-08,191698
2021-10-09,183155
2021-10-10,175837
2021-10-11,159376
2021-10-12,187047
2021-10-13,166941
2021-10-14,177688
2021-10-15,137348
2021-10-16,166972
2021-10-17,188744
2021-10-18,156040
2021-10-19,175396
2021-10-20,199226
2021-10-21,183224
2021-10-22,295671
2021-10-23,265079
2021-10-24,256437
2021-10-25,227539
2021-10-26,254477
2021-10-27,270040
2021-10-28,213784
2021-10-29,281553
2021-10-30,418810
2021-10-31,400520
2021-11-01,373451
2021-11-02,315815
2021-11-03,209489
2021-11-04,319056
2021-11-05,402567
2021-11-06,476779
2021-11-07,320434
2021-11-08,286611
2021-11-09,321766
2021-11-10,274517
2021-11-11,328775
2021-11-12,319642
2021-11-13,503401
2021-11-14,333338
2021-11-15,299656
2021-11-16,335860
2021-11-17,388185
2021-11-18,377588
2021-11-19,461494
2021-11-20,651535
2021-11-21,425008
2021-11-22,342420
2021-11-23,369002
2021-11-24,379332
2021-11-25,377923
2021-11-26,488512
2021-11-27,638418
2021-11-28,471421
2021-11-29,381513
2021-11-30,387481
2021-12-01,342499
2021-12-02,355800
2021-12-03,522872
2021-12-04,617210
2021-12-05,490280
2021-12-06,402175
2021-12-07,389636
2021-12-08,467676
2021-12-09,461105
2021-12-10,600707
2021-12-11,677825
2021-12-12,597325
2021-12-13,420029
2021-12-14,490817
2021-12-15,534649
2021-12-16,575469
2021-12-17,619692
2021-12-18,614708
2021-12-19,451761
2021-12-20,507544
2021-12-21,527141
2021-12-22,540370
2021-12-23,556632
2021-12-24,478795
2021-12-25,296038
2021-12-26,455977
2021-12-27,452193
2021-12-28,487800
2021-12-29,456652
2021-12-30,395890
2021-12-31,418998
2022-01-01,366474
2022-01-02,328869
2022-01-03,349638
2022-01-04,332164
2022-01-05,311967
2022-01-06,293376
2022-01-07,284831
2022-01-08,317004
2022-01-09,284226
2022-01-10,272258
2022-01-11,280020
2022-01-12,297079
2022-01-13,276628
2022-01-14,316267
2022-01-15,409066
2022-01-16,336738
2022-01-17,319159
2022-01-18,340546
2022-01-19,357170
2022-01-20,366879
2022-01-21,423134
2022-01-22,480365
2022-01-23,389239
2022-01-24,314999
2022-01-25,364091
2022-01-26,327158
2022-01-27,332714
2022-01-28,311412
2022-01-29,486645
2022-01-30,384041
2022-01-31,315924
2022-02-01,324757
2022-02-02,338848
2022-02-03,334847
2022-02-04,439914
2022-02-05,538039
2022-02-06,416583
2022-02-07,331924
2022-02-08,341849
2022-02-09,351339
2022-02-10,354662
2022-02-11,433879
2022-02-12,535534
2022-02-13,370867
2022-02-14,374757
2022-02-15,352341
2022-02-16,365516
2022-02-17,390306
2022-02-18,478356
2022-02-19,573435
2022-02-20,423560
2022-02-21,361115
2022-02-22,397089
2022-02-23,399406
2022-02-24,404803
2022-02-25,496597
2022-02-26,591383
2022-02-27,443051
2022-02-28,388482
2022-03-01,394775
2022-03-02,442355
2022-03-03,468952
2022-03-04,496982
2022-03-05,508141
2022-03-06,388394
2022-03-07,416277
2022-03-08,464435
2022-03-09,467644
2022-03-10,492390
2022-03-11,583381
2022-03-12,794404
2022-03-13,778301
2022-03-14,622071
2022-03-15,441878
2022-03-16,504241
2022-03-17,528019
2022-03-18,577050
2022-03-19,649882
2022-03-20,472332
2022-03-21,408501
2022-03-22,425130
2022-03-23,494269
2022-03-24,535622
2022-03-25,560992
2022-03-26,660974
2022-03-27,471592
2022-03-28,412337
2022-03-29,463758
2022-03-30,485776
2022-03-31,527158
2022-04-01,585293
2022-04-02,615907
2022-04-03,550600
2022-04-04,434748
2022-04-05,511476
2022-04-06,547290
2022-04-07,605185
2022-04-08,717119
2022-04-09,783205
2022-04-10,632175
2022-04-11,548921
2022-04-12,603273
2022-04-13,604856
2022-04-14,623882
2022-04-15,563528
2022-04-16,719197
2022-04-17,564030
2022-04-18,397554
2022-04-19,415366
2022-04-20,545814
2022-04-21,589891
2022-04-22,666482
2022-04-23,726654
2022-04-24,626146
2022-04-25,494440
2022-04-26,449234
2022-04-27,473314
2022-04-28,503339
2022-04-29,476779
2022-04-30,580838
2022-05-01,476380
2022-05-02,440844
2022-05-03,482162
2022-05-04,463254
2022-05-05,501604
2022-05-06,516231
2022-05-07,577437
2022-05-08,462611
2022-05-09,406580
2022-05-10,481310
2022-05-11,471371
2022-05-12,495113
2022-05-13,596432
2022-05-14,663793
2022-05-15,484280
2022-05-16,393571
2022-05-17,473783
2022-05-18,478999
2022-05-19,491944
2022-05-20,576889
2022-05-21,620734
2022-05-22,448987
2022-05-23,414938
2022-05-24,484349
2022-05-25,486031
2022-05-26,476261
2022-05-27,563431
2022-05-28,616256
2022-05-29,473628
2022-05-30,317064
2022-05-31,381278
2022-06-01,353615
2022-06-02,477660
2022-06-03,563732
2022-06-04,613719
2022-06-05,424961
2022-06-06,374691
2022-06-07,388808
2022-06-08,456027
2022-06-09,457948
2022-06-10,585708
2022-06-11,646540
2022-06-12,573485
2022-06-13,420672
2022-06-14,414461
2022-06-15,429781
2022-06-16,443753
2022-06-17,558493
2022-06-18,591487
2022-06-19,460008
2022-06-20,410795
2022-06-21,458148
2022-06-22,504740
2022-06-23,517094
2022-06-24,579475
2022-06-25,685324
2022-06-26,419886
2022-06-27,444394
2022-06-28,488710
2022-06-29,544487
2022-06-30,557675
2022-07-01,661361
2022-07-02,728944
2022-07-03,588720
2022-07-04,509707
2022-07-05,530127
2022-07-06,613521
2022-07-07,569446
2022-07-08,530919
2022-07-09,646090
2022-07-10,524501
2022-07-11,440941
2022-07-12,423101
2022-07-13,501038
2022-07-14,541666
2022-07-15,670025
2022-07-16,643819
2022-07-17,469887
2022-07-18,450757
2022-07-19,555892
2022-07-20,554197
2022-07-21,521135
2022-07-22,600888
2022-07-23,504984
2022-07-24,565374
2022-07-25,397326
2022-07-26,447810
2022-07-27,472286
2022-07-28,467359
