route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"1-Ech-mjp-1","T0","1.T0.1-Ech-mjp-1.1.H","1-Ech-mjp-1.1.H","Melbourne","0"
"1-Ech-mjp-1","T0","2.T0.1-Ech-mjp-1.2.H","1-Ech-mjp-1.2.H","Melbourne","0"
"1-Ech-mjp-1","T0","3.T0.1-Ech-mjp-1.2.H","1-Ech-mjp-1.2.H","Melbourne","0"
"1-Ech-mjp-1","T0","4.T0.1-Ech-mjp-1.2.H","1-Ech-mjp-1.2.H","Melbourne","0"
"1-Ech-mjp-1","T0","5.T0.1-Ech-mjp-1.3.R","1-Ech-mjp-1.3.R","Echuca/Moama","1"
"1-Ech-mjp-1","T0","6.T0.1-Ech-mjp-1.4.R","1-Ech-mjp-1.4.R","Echuca/Moama","1"
"1-Ech-mjp-1","T0","7.T0.1-Ech-mjp-1.5.R","1-Ech-mjp-1.5.R","Echuca/Moama","1"
"1-Ech-mjp-1","T0","8.T0.1-Ech-mjp-1.6.R","1-Ech-mjp-1.6.R","Echuca/Moama","1"
"1-Ech-mjp-10","T0_6","1.T0.1-Ech-mjp-10.1.H","1-Ech-mjp-10.1.H","Melbourne","0"
"1-Ech-mjp-10","T2_2","1.T2.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T3_2","1.T3.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T0_6","2.T0.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T2_2","2.T2.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T3_2","2.T3.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T0_6","3.T0.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T2_2","3.T2.1-Ech-mjp-10.5.R","1-Ech-mjp-10.5.R","Echuca/Moama","1"
"1-Ech-mjp-10","T3_2","3.T3.1-Ech-mjp-10.5.R","1-Ech-mjp-10.5.R","Echuca/Moama","1"
"1-Ech-mjp-10","T0_6","4.T0.1-Ech-mjp-10.2.H","1-Ech-mjp-10.2.H","Melbourne","0"
"1-Ech-mjp-10","T2_2","4.T2.1-Ech-mjp-10.5.R","1-Ech-mjp-10.5.R","Echuca/Moama","1"
"1-Ech-mjp-10","T3_2","4.T3.1-Ech-mjp-10.5.R","1-Ech-mjp-10.5.R","Echuca/Moama","1"
"1-Ech-mjp-10","T0_6","5.T0.1-Ech-mjp-10.3.R","1-Ech-mjp-10.3.R","Echuca/Moama","1"
"1-Ech-mjp-10","T0_6","6.T0.1-Ech-mjp-10.4.R","1-Ech-mjp-10.4.R","Echuca/Moama","1"
"1-Ech-mjp-10","T0_6","7.T0.1-Ech-mjp-10.5.R","1-Ech-mjp-10.5.R","Echuca/Moama","1"
"1-Ech-mjp-10","T0_6","8.T0.1-Ech-mjp-10.6.R","1-Ech-mjp-10.6.R","Echuca/Moama","1"
"1-Ech-mjp-11","T0_7","1.T0.1-Ech-mjp-11.1.H","1-Ech-mjp-11.1.H","Melbourne","0"
"1-Ech-mjp-11","T2_3","1.T2.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T3_3","1.T3.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T0_7","2.T0.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T2_3","2.T2.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T3_3","2.T3.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T0_7","3.T0.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T2_3","3.T2.1-Ech-mjp-11.5.R","1-Ech-mjp-11.5.R","Echuca/Moama","1"
"1-Ech-mjp-11","T3_3","3.T3.1-Ech-mjp-11.5.R","1-Ech-mjp-11.5.R","Echuca/Moama","1"
"1-Ech-mjp-11","T0_7","4.T0.1-Ech-mjp-11.2.H","1-Ech-mjp-11.2.H","Melbourne","0"
"1-Ech-mjp-11","T2_3","4.T2.1-Ech-mjp-11.5.R","1-Ech-mjp-11.5.R","Echuca/Moama","1"
"1-Ech-mjp-11","T3_3","4.T3.1-Ech-mjp-11.5.R","1-Ech-mjp-11.5.R","Echuca/Moama","1"
"1-Ech-mjp-11","T0_7","5.T0.1-Ech-mjp-11.3.R","1-Ech-mjp-11.3.R","Echuca/Moama","1"
"1-Ech-mjp-11","T0_7","6.T0.1-Ech-mjp-11.4.R","1-Ech-mjp-11.4.R","Echuca/Moama","1"
"1-Ech-mjp-11","T0_7","7.T0.1-Ech-mjp-11.5.R","1-Ech-mjp-11.5.R","Echuca/Moama","1"
"1-Ech-mjp-11","T0_7","8.T0.1-Ech-mjp-11.6.R","1-Ech-mjp-11.6.R","Echuca/Moama","1"
"1-Ech-mjp-2","T0_1","1.T0.1-Ech-mjp-2.1.H","1-Ech-mjp-2.1.H","Melbourne","0"
"1-Ech-mjp-2","T0_1","2.T0.1-Ech-mjp-2.2.H","1-Ech-mjp-2.2.H","Melbourne","0"
"1-Ech-mjp-2","T0_1","3.T0.1-Ech-mjp-2.2.H","1-Ech-mjp-2.2.H","Melbourne","0"
"1-Ech-mjp-2","T0_1","4.T0.1-Ech-mjp-2.2.H","1-Ech-mjp-2.2.H","Melbourne","0"
"1-Ech-mjp-2","T0_1","5.T0.1-Ech-mjp-2.3.R","1-Ech-mjp-2.3.R","Echuca/Moama","1"
"1-Ech-mjp-2","T0_1","6.T0.1-Ech-mjp-2.4.R","1-Ech-mjp-2.4.R","Echuca/Moama","1"
"1-Ech-mjp-2","T0_1","7.T0.1-Ech-mjp-2.5.R","1-Ech-mjp-2.5.R","Echuca/Moama","1"
"1-Ech-mjp-2","T0_1","8.T0.1-Ech-mjp-2.6.R","1-Ech-mjp-2.6.R","Echuca/Moama","1"
"1-Ech-mjp-3","T2","1.T2.1-Ech-mjp-3.1.H","1-Ech-mjp-3.1.H","Melbourne","0"
