stop_id,stop_name,stop_lat,stop_lon
"15351","Sunbury Railway Station (Sunbury)","-37.5790909705886","144.727318781329"
"15353","Diggers Rest Railway Station (Diggers Rest)","-37.6270165149458","144.719922441113"
"19827","Stony Point Railway Station (Crib Point)","-38.3742345364979","145.221837462187"
"19828","Crib Point Railway Station (Crib Point)","-38.3661233827905","145.204043321601"
"19829","Morradoo Railway Station (Crib Point)","-38.3540333365888","145.189602487712"
"19830","Bittern Railway Station (Bittern)","-38.3373903202451","145.178026527511"
"19831","Hastings Railway Station (Hastings)","-38.3056585273766","145.185979882012"
"19832","Tyabb Railway Station (Tyabb)","-38.259815004696","145.186400708984"
"19833","Somerville Railway Station (Somerville)","-38.2253419593158","145.1762449189"
"19834","Baxter Railway Station (Baxter)","-38.1940430573097","145.160526087615"
"19835","Glen Iris Railway Station (Glen Iris)","-37.859308416591","145.058224898221"
"19836","Leawarra Railway Station (Frankston)","-38.1520339975268","145.139533963382"
"19837","Darling Railway Station (Malvern East)","-37.8689568446144","145.062950826245"
"19838","East Malvern Railway Station (Malvern East)","-37.8769300156779","145.069393002301"
"19839","Holmesglen Railway Station (Malvern East)","-37.8744022200547","145.090662027436"
"19840","Jordanville Railway Station (Mount Waverley)","-37.8736033933235","145.112090156436"
"19841","Flagstaff Railway Station (Melbourne City)","-37.811981307387","144.955653760429"
"19842","Melbourne Central Railway Station (Melbourne City)","-37.8099387667448","144.962593535096"
"19843","Parliament Railway Station (Melbourne City)","-37.8110540555366","144.972910916416"
"19844","Belgrave Railway Station (Belgrave)","-37.9091020974745","145.355291282858"
"19845","Tecoma Railway Station (Tecoma)","-37.9081184864054","145.342994577662"
"19846","Upwey Railway Station (Upwey)","-37.9036909717488","145.331333355214"
"19847","Alamein Railway Station (Ashburton)","-37.8683203919916","145.079655668512"
"19848","Ashburton Railway Station (Ashburton)","-37.8619675331742","145.081343759057"
"19849","Burwood Railway Station (Glen Iris)","-37.8515632823222","145.080511068965"
"19850","Hartwell Railway Station (Camberwell)","-37.8439845657224","145.075559591232"
"19851","Willison Railway Station (Camberwell)","-37.835715650541","145.070297555358"
"19852","Riversdale Railway Station (Camberwell)","-37.8315054341774","145.069645982205"
"19853","Camberwell Railway Station (Camberwell)","-37.8265671441721","145.058697177155"
"19854","Flinders Street Railway Station (Melbourne City)","-37.8183051340647","144.966964346167"
"19855","Frankston Railway Station (Frankston)","-38.1429900671701","145.126162282251"
"19856","Kananook Railway Station (Seaford)","-38.1217420335437","145.13529534058"
"19857","Seaford Railway Station (Seaford)","-38.1040210396727","145.128230402217"
"19858","Carrum Railway Station (Carrum)","-38.0765036140107","145.122833083083"
"19859","Bonbeach Railway Station (Bonbeach)","-38.0650770377183","145.120024795424"
"19860","Chelsea Railway Station (Chelsea)","-38.0533256255294","145.116633007481"
"19861","Edithvale Railway Station (Edithvale)","-38.036062562284","145.107299317274"
"19862","Aspendale Railway Station (Aspendale)","-38.0272201944572","145.102149616841"
"19863","Mordialloc Railway Station (Mordialloc)","-38.0065829507669","145.08765935746"
"19864","Parkdale Railway Station (Parkdale)","-37.993078820781","145.076326823728"
"19865","Mentone Railway Station (Mentone)","-37.9829693855521","145.065990823813"
"19866","Cheltenham Railway Station (Cheltenham)","-37.9666498944395","145.054557933027"
"19867","Upper Ferntree Gully Railway Station (Upper Ferntree Gully)","-37.8926717009423","145.307530188155"
"19868","Ferntree Gully Railway Station (Ferntree Gully)","-37.8816979923612","145.295251256598"
"19869","Boronia Railway Station (Boronia)","-37.860451799848","145.28438514597"
"19870","Bayswater Railway Station (Bayswater)","-37.8417300411029","145.268136389217"
"19871","Heathmont Railway Station (Heathmont)","-37.8283222725421","145.244555375848"
"19872","Highett Railway Station (Highett)","-37.9484250041895","145.041871797791"
"19873","Glen Waverley Railway Station (Glen Waverley)","-37.8795040720133","145.162057549621"
"19874","Syndal Railway Station (Glen Waverley)","-37.8762296254939","145.149780487779"
"19875","Mount Waverley Railway Station (Mount Waverley)","-37.8752552557065","145.128055695744"
"19876","Lilydale Railway Station (Lilydale)","-37.7572214858098","145.34581071753"
"19877","Mooroolbark Railway Station (Mooroolbark)","-37.7847488250842","145.312402399118"
"19878","Croydon Railway Station (Croydon)","-37.795436970066","145.280597770769"
"19879","Ringwood East Railway Station (Ringwood East)","-37.8119680427798","145.250190905265"
"19880","Pakenham Railway Station (Pakenham)","-38.0806139738095","145.486379074704"
"19881","Officer Railway Station (Officer)","-38.0661457168679","145.41098723091"
"19882","Beaconsfield Railway Station (Beaconsfield)","-38.0508313517859","145.366073739227"
"19883","Berwick Railway Station (Berwick)","-38.0404082905026","145.345726085505"
"19884","Narre Warren Railway Station (Narre Warren)","-38.0278093151715","145.303969385674"
"19885","Hallam Railway Station (Hallam)","-38.0177403817842","145.269776796453"
"19886","Cranbourne Railway Station (Cranbourne)","-38.0995373065886","145.280598975647"
"19887","Merinda Park Railway Station (Cranbourne North)","-38.0790004761535","145.263511372935"
"19888","Dandenong Railway Station (Dandenong)","-37.9899679153852","145.209725368166"
"19889","Yarraman Railway Station (Noble Park)","-37.9782545359294","145.191600276299"
"19890","Noble Park Railway Station (Noble Park)","-37.966627676743","145.176324599832"
"19891","Sandown Park Railway Station (Springvale)","-37.9565045698599","145.162825890396"
"19892","East Camberwell Railway Station (Camberwell)","-37.8258941905382","145.06819024741"
