route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-ain-mjp-2","T2","1.T2.2-ain-mjp-2.2.R","2-ain-mjp-2.2.R","Flinders Street","1"
"2-ain-mjp-2","T3","1.T3.2-ain-mjp-2.1.R","2-ain-mjp-2.1.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","1.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T3_1","1.T3.2-ain-mjp-4.3.R","2-ain-mjp-4.3.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","10.T2.2-ain-mjp-4.2.H","2-ain-mjp-4.2.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","11.T2.2-ain-mjp-4.2.H","2-ain-mjp-4.2.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","12.T2.2-ain-mjp-4.2.H","2-ain-mjp-4.2.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","13.T2.2-ain-mjp-4.2.H","2-ain-mjp-4.2.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","14.T2.2-ain-mjp-4.2.H","2-ain-mjp-4.2.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","15.T2.2-ain-mjp-4.4.R","2-ain-mjp-4.4.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","16.T2.2-ain-mjp-4.4.R","2-ain-mjp-4.4.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","17.T2.2-ain-mjp-4.4.R","2-ain-mjp-4.4.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","18.T2.2-ain-mjp-4.4.R","2-ain-mjp-4.4.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","19.T2.2-ain-mjp-4.4.R","2-ain-mjp-4.4.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","2.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","20.T2.2-ain-mjp-4.4.R","2-ain-mjp-4.4.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","21.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","22.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","23.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","24.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","25.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","26.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","27.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","28.T2.2-ain-mjp-4.5.R","2-ain-mjp-4.5.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","29.T2.2-ain-mjp-4.6.R","2-ain-mjp-4.6.R","Flinders Street","1"
"2-ain-mjp-4","T2_1","3.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","4.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","5.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","6.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","7.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","8.T2.2-ain-mjp-4.1.H","2-ain-mjp-4.1.H","Showgrounds/Flemington","0"
"2-ain-mjp-4","T2_1","9.T2.2-ain-mjp-4.2.H","2-ain-mjp-4.2.H","Showgrounds/Flemington","0"
"2-ain-mjp-5","T2_3","1.T2.2-ain-mjp-5.2.R","2-ain-mjp-5.2.R","Flinders Street","1"
"2-ain-mjp-5","T3_3","1.T3.2-ain-mjp-5.1.R","2-ain-mjp-5.1.R","Flinders Street","1"
"2-ALM-mjp-10","T0_5","1.T0.2-ALM-mjp-10.1.H","2-ALM-mjp-10.1.H","Alamein","0"
"2-ALM-mjp-10","T0_5","10.T0.2-ALM-mjp-10.1.H","2-ALM-mjp-10.1.H","Alamein","0"
"2-ALM-mjp-10","T0_5","100.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","101.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","102.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","103.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","104.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","105.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","106.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","107.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","108.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","109.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","11.T0.2-ALM-mjp-10.1.H","2-ALM-mjp-10.1.H","Alamein","0"
"2-ALM-mjp-10","T0_5","110.T0.2-ALM-mjp-10.10.R","2-ALM-mjp-10.10.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","111.T0.2-ALM-mjp-10.11.R","2-ALM-mjp-10.11.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","112.T0.2-ALM-mjp-10.12.R","2-ALM-mjp-10.12.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","113.T0.2-ALM-mjp-10.13.R","2-ALM-mjp-10.13.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","114.T0.2-ALM-mjp-10.13.R","2-ALM-mjp-10.13.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","115.T0.2-ALM-mjp-10.13.R","2-ALM-mjp-10.13.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","116.T0.2-ALM-mjp-10.14.R","2-ALM-mjp-10.14.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","117.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","118.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","119.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","12.T0.2-ALM-mjp-10.1.H","2-ALM-mjp-10.1.H","Alamein","0"
"2-ALM-mjp-10","T0_5","120.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","121.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","122.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","123.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","124.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","125.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","126.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","127.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","128.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","129.T0.2-ALM-mjp-10.15.R","2-ALM-mjp-10.15.R","City (Flinders Street)","1"
"2-ALM-mjp-10","T0_5","13.T0.2-ALM-mjp-10.1.H","2-ALM-mjp-10.1.H","Alamein","0"
"2-ALM-mjp-10","T0_5","14.T0.2-ALM-mjp-10.1.H","2-ALM-mjp-10.1.H","Alamein","0"
