,trip_id,start_time,start_date,lat,lon,bearing,timestamp,vehicle_id,occupancy_stat,,
0,100.UJ.2-WMN-B-mjp-1.2.H,15:16:00,15/05/2022,-37.8420105,144.8835449,-1.062983274,2022-05-15 15:42:46+10:00,2543T-2557T-785M-786M-813M-814M,1,,100.UJ.2-WMN-B-mjp-1.2.H
1,105.UJ.2-WMN-B-mjp-1.4.R,16:16:00,15/05/2022,-37.80970383,144.9438019,-32.91853714,2022-05-15 15:42:22+10:00,1322T-1632T-43M-44M-863M-864M,1,,
2,107.UJ.2-WMN-B-mjp-1.2.H,15:36:00,15/05/2022,-37.80970383,144.9438019,-32.91853714,2022-05-15 15:42:22+10:00,1322T-1632T-43M-44M-863M-864M,1,,
3,1127.UJ.2-SYM-C-mjp-1.21.R,15:27:00,15/05/2022,-37.79848862,144.8556671,95.39497375,2022-05-15 15:43:08+10:00,2552T-2558T-803M-804M-815M-816M,1,,
4,1129.UJ.2-SYM-C-mjp-1.21.R,16:07:00,15/05/2022,-37.79063797,144.8345337,-32.29707336,2022-05-15 15:43:13+10:00,1137T-1183T-573M-574M-665M-666M,1,,
5,117.UJ.2-WMN-B-mjp-1.2.H,15:56:00,15/05/2022,-37.81816483,144.9675598,248.9087677,2022-05-15 15:42:32+10:00,2542T-2571T-783M-784M-841M-842M,1,,
6,125.UJ.2-WMN-B-mjp-1.2.H,16:16:00,15/05/2022,-37.94661331,145.0405884,-30.10647774,2022-05-15 15:43:13+10:00,1027T-1093T-353M-354M-485M-486M,1,,
7,133.UJ.2-WMN-B-mjp-1.2.H,16:36:00,15/05/2022,-38.03710175,145.1079102,-26.18483925,2022-05-15 15:43:07+10:00,train35304,1,,
8,2667.UJ.2-MER-B-mjp-1.4.R,14:51:00,15/05/2022,-37.64217377,145.093811,14.70151043,2022-05-15 15:43:18+10:00,1371T-141M-142M-1444T-287M-288M,1,,
9,2674.UJ.2-MER-B-mjp-1.4.R,15:11:00,15/05/2022,-37.72769165,145.0028992,8.601486206,2022-05-15 15:43:10+10:00,1374T-147M-148M-1673T-945M-946M,1,,
