Geo Point,Suburb,Latitude,Longitude,Geo Shape,total_2011,p_com_2011,p_res_2026,p_com_2026,total_2026,p_com_2021,property_id,p_res_2011,total_2016,total_2021,p_res_2021,floor_area,p_res_2016,p_com_2016
"-37.83363154012436, 144.98420174077557",Richmond,-37.833632,144.984202,"{""coordinates"": [[[[144.98447264054937, -37.83375259679469], [144.9844157551476, -37.83374538044929], [144.9844137099671, -37.833755522417], [144.98420575485446, -37.833729129715834], [144.9838970207708, -37.83368994621196], [144.98393381075903, -37.833502610721744], [144.98442593470477, -37.833563115215824], [144.98450840033505, -37.83357325312721], [144.98447264054937, -37.83375259679469]]]], ""type"": ""MultiPolygon""}",15.8365558889,0.0,57.617929303,0.0,57.617929303,0.0,100431.0,15.8365558889,43.8732526033,50.7455907661,50.7455907661,762.96,43.8732526033,0.0
"-37.79900382289352, 144.93494112057527",West Melbourne,-37.799004,144.934941,"{""coordinates"": [[[[144.93552203684675, -37.798916806363444], [144.93505122536482, -37.799200578890506], [144.93454361420743, -37.79914412824401], [144.93459687220357, -37.79881351597378], [144.93552203684675, -37.798916806363444]]]], ""type"": ""MultiPolygon""}",338.761382998,338.76137,0.0,426.318301,426.318301,398.468416,100508.0,0.0,369.652139,398.468416,0.0,0.0,0.0,369.652139
"-37.800632838889626, 144.9488946131469",North Melbourne,-37.800633,144.948895,"{""coordinates"": [[[[144.94882546176322, -37.800716786490206], [144.94885746235843, -37.80053729889455], [144.94896376441747, -37.800548891200286], [144.94893176407203, -37.80072837883184], [144.94882546176322, -37.800716786490206]]]], ""type"": ""MultiPolygon""}",19.0075852598,0.0,97.0701937932,0.0,97.0701937932,0.0,100521.0,19.0075852598,75.6535000871,86.3618477586,86.3618477586,286.4,75.6535000871,0.0
"-37.801031454537835, 144.95223929995998",North Melbourne,-37.801031,144.952239,"{""coordinates"": [[[[144.95222140005745, -37.80096513430115], [144.95227965847428, -37.80098847129108], [144.952273977308, -37.800997401385565], [144.95227007514157, -37.801019844909746], [144.95227250117696, -37.80102012951204], [144.9522593026852, -37.80108880302567], [144.95220009954113, -37.80108186271633], [144.952213495952, -37.8010130980281], [144.95221477973266, -37.801013248319194], [144.95222084114798, -37.80098388977143], [144.95222140005745, -37.80096513430115]]]], ""type"": ""MultiPolygon""}",2.37692330886,0.0,15.5382602546,0.0,15.5382602546,0.0,100547.0,2.37692330886,11.9476430187,13.7125227165,13.7125227165,99.8,11.9476430187,0.0
"-37.8004776165655, 144.94154189092782",West Melbourne,-37.800478,144.941542,"{""coordinates"": [[[[144.9418606474646, -37.800221652313525], [144.94175826245143, -37.800792788256445], [144.9412234948631, -37.80073381531099], [144.94126205042213, -37.80051602842342], [144.94126283729744, -37.800516116977334], [144.94132273362587, -37.80017342815524], [144.94132194672912, -37.800173340502575], [144.94132386051538, -37.80016245712939], [144.9418606474646, -37.800221652313525]]]], ""type"": ""MultiPolygon""}",531.05895,531.05895,0.0,575.525885,575.525885,561.621182,100550.0,0.0,547.101597,561.621182,0.0,0.0,0.0,547.101597
"-37.80374975806637, 144.96581335187042",Melbourne CBD,-37.80375,144.965813,"{""coordinates"": [[[[144.96591263872227, -37.803621048084935], [144.96586568216185, -37.80389449056162], [144.96571406471026, -37.80387846734804], [144.9657610217898, -37.80360502584771], [144.96591263872227, -37.803621048084935]]]], ""type"": ""MultiPolygon""}",142.485049698,142.485033,0.0,157.848273,157.848273,152.993155,100563.0,0.0,147.975358,152.993155,0.0,0.0,0.0,147.975358
"-37.80125964806423, 144.9473311723781",North Melbourne,-37.80126,144.947331,"{""coordinates"": [[[[144.94737206173863, -37.80114612579054], [144.9473613616104, -37.80120894225301], [144.94736901807215, -37.80120888646266], [144.94736327139574, -37.801241246630994], [144.94735672817956, -37.80124092530838], [144.94733463365174, -37.80137764319762], [144.94728834973486, -37.8013723909225], [144.94732783321993, -37.801141299567966], [144.94737206173863, -37.80114612579054]]]], ""type"": ""MultiPolygon""}",21.5039781502,21.503967,0.0,23.822601,23.822601,23.089862,100664.0,0.0,22.332572,23.089862,0.0,0.0,0.0,22.332572
"-37.80126423316158, 144.94737706021928",North Melbourne,-37.801264,144.947377,"{""coordinates"": [[[[144.94738008991487, -37.801382802625916], [144.9473346336268, -37.80137764409834], [144.94735672815463, -37.80124092620911], [144.9473632713708, -37.80124124753172], [144.9473690180472, -37.80120888736339], [144.94736136158548, -37.801208943153746], [144.94737206171368, -37.80114612669127], [144.94741976530196, -37.80115133338538], [144.94738008991487, -37.801382802625916]]]], ""type"": ""MultiPolygon""}",2.11056462428,0.0,11.969530501,0.0,11.969530501,0.0,100665.0,2.11056462428,9.21028512381,10.5716066568,10.5716066568,65.8,9.21028512381,0.0
"-37.80126868046739, 144.9474269559035",North Melbourne,-37.801269,144.947427,"{""coordinates"": [[[[144.94738008991487, -37.801382802625916], [144.94741976530196, -37.80115133338538], [144.9474774571501, -37.801157628845075], [144.94746700975503, -37.801196960587156], [144.94743218198312, -37.801388713928986], [144.94738008991487, -37.801382802625916]]]], ""type"": ""MultiPolygon""}",3.25244414616,0.0,18.4454466991,0.0,18.4454466991,0.0,100666.0,3.25244414616,14.1933573184,16.291199316,16.291199316,101.4,14.1933573184,0.0
"-37.79409812102058, 144.92489970008228",Kensington,-37.794098,144.9249,"{""coordinates"": [[[[144.92493950167164, -37.79425898739658], [144.9247216927634, -37.79401752986864], [144.92486145705902, -37.793937334395814], [144.92507718652908, -37.7941797373117], [144.92493950167164, -37.79425898739658]]]], ""type"": ""MultiPolygon""}",5.99739228283,0.0,42.0011946949,0.0,42.0011946949,0.0,100685.0,5.99739228283,31.7444370299,36.5919886587,36.5919886587,260.5,31.7444370299,0.0
