name,emergency,addr:suburb,addr:postcode,longitude,latitude
Waverley Private Hospital,no,,,145.1455722,-37.8843792
Peter James Centre,no,,,145.1649491,-37.8526149
Jessie McPherson Private Hospital,,,,145.1224428,-37.9208228
Emergency,,,,145.2127203,-37.9380359
Mercy Hospital for Women,no,Heidelberg,3084,145.0609462,-37.7558954
Delmont Private Hospital,no,,,145.0940058,-37.8568969
Boardwalk Health MedicalCentre,no,,,144.7324904,-37.8843032
Monash Surgical Private,no,,,145.1206698,-37.9219043
Brunswick Private Hospital,,,,144.9717135,-37.7568145
The Valley Private Hospital,,,,145.2131512,-37.9386663
Chandler Road Medical Centre,no,,,145.1859273,-37.9752194
Victorian Comprehensive Cancer Centre,no,,,144.9562153,-37.7999274
Peter MacCallum Cancer Centre,no,Melbourne,3000,144.9567852,-37.8003879
Davell Lodge,,,,145.1773168,-37.9523063
The Bays Hospital,,,,145.0419,-38.2238248
Orthodontist,,,,145.0241358,-37.8774755
Epworth Richmond Emergency Department,yes,Richmond,3121,144.9940109,-37.8168201
Yarra Ranges Health,no,Lilydale,3140,145.351376,-37.7565429
Monash House,,Clayton,3168,145.1202487,-37.9208967
Doncaster Private Hospital,,,,145.1328204,-37.7873942
Calvary Kooyong Bethlehem Hospital,,,,145.013902,-37.8969491
Epworth Freemasons,,,,144.9841921459996,-37.8110346
Noble Manor Aged Care,,,,145.17327007155416,-37.9679456
"Monash Medical Centre, Clayton Campus",yes,,,145.12357350382788,-37.9200086
Maroondah Hospital,yes,Ringwood East,3135,145.25441860171537,-37.80710005
The Royal Melbourne Hospital,yes,,,144.9564243844652,-37.7986604
Epworth Eastern,no,Box Hill,3128,145.11926703310692,-37.81473165
Box Hill Hospital,yes,,,145.11840534149448,-37.81361455
John Fawkner Private Hospital,,Coburg,3058,144.95884419905076,-37.75427195
Werribee Mercy Hospital,yes,,,144.69771401814748,-37.887128149999995
Royal Dental Hospital of Melbourne,,Carlton,3053,144.96471255540865,-37.799436799999995
St Vincent's Hospital,yes,Fitzroy,3065,144.97468554842237,-37.8070939
Austin Hospital,yes,,,145.05865657809136,-37.75656125
Sunshine Hospital,yes,St Albans,3021,144.81739023508078,-37.7588363
Rosebud Hospital,yes,,,144.88489698094384,-38.3629259
Royal Children's Hospital,yes,Parkville,3052,144.9492429674741,-37.79385055
Essendon Private Hospital,,,,144.88539914702392,-37.748565600000006
Thomas Embling Hospital,no,Fairfield,3078,145.01231119985292,-37.7892818
St Vincent's Private Hospital East Melbourne,yes,,,144.98434632276377,-37.8120737
Frankston Hospital,yes,,,145.12815209622897,-38.15078965
Angliss Hospital,yes,,,145.3144114057218,-37.8989873
St George's Health Service,no,Kew,3101,145.0528030586433,-37.808436650000004
Kingston Centre,no,,,145.07869247527856,-37.9560005
Eastern Health Blackburn,no,,,145.1558545441092,-37.83319525
Epworth Richmond Hospital,yes,,,144.99306110094744,-37.816988800000004
Dandenong Hospital,,,,145.21782415905625,-37.97611205
Heidelberg Repatriation Hospital,,,,145.04754975109972,-37.7554226
Caritas Christi Hospice,no,,,145.01565601073128,-37.80463435
The Avenue Hospital,,,,144.99871315699735,-37.854889650000004
Caulfield Hospital,no,,,145.01750757393194,-37.882606550000006
Cabrini Hospital,yes,Malvern,3144,145.03350376898152,-37.86180335
The Northern Hospital,yes,Epping,3076,145.0145607009015,-37.6530652
Wantirna Health,no,Wantirna,3152,145.22559279817125,-37.8486179
Masada Private Hospital,,,,145.00329635184505,-37.869627
The Victorian Rehabilitation Centre,no,,,145.16044466909696,-37.8980856
The Melbourne Clinic,,Richmond,3121,144.99894545,-37.8148469
Royal Melbourne Hospital - Royal Park Campus,no,Parkville,3052,144.94785742297802,-37.77798185
Orygen Youth Health,,Parkville,3052,144.94767754103174,-37.78084955
Knox Private Hospital,yes,Wantirna,3152,145.227845328417,-37.849506250000005
St Vincents Private Hospital Fitzroy,no,Fitzroy,3065,144.9760992549542,-37.8074947
Northpark Private Hospital,private,,,145.06195959039462,-37.6914319
Epworth Cliveden,no,East Melbourne,3002,144.98748312208699,-37.8156872
Mulgrave Private Hospital,yes,,,145.2130311391025,-37.938602700000004
North Eastern Rehabilitation Centre,no,Ivanhoe,3079,145.03103621024218,-37.763529899999995
Melbourne Private Hospital,no,Parkville,3052,144.9571248413036,-37.79829325
Brighton Cabrini,no,Brighton,3186,144.9911786063696,-37.911688549999994
Royal Women's Hospital,,,,144.95499976404727,-37.79886275
Monash Health Casey Hospital,yes,,,145.34766600133037,-38.04496465
Ringwood Private Hospital,no,Ringwood East,3135,145.24370989142884,-37.8114079
Royal Talbot Rehabilitation Centre,no,Kew,,145.02321131252853,-37.789659
Monash Medical Centre Moorabbin,no,,,145.0639081505676,-37.92097205
Warringal Private Hospital,no,Heidelberg,,145.0609845665413,-37.754636149999996
Olivia Newton-John Cancer and Wellness Centre,,,,145.0592936994758,-37.7568811
Malvern Private Hospital,,,,145.0606496283237,-37.866892899999996
The Melbourne Eastern Private Hospital,,Boronia,3155,145.2688590540606,-37.8555688
Peninsula Private Hospital,yes,,,145.16938629197915,-38.15735585
The Bays Hospital,,,,145.18963002279293,-38.30349975
Peter James Centre,,,,145.16458480791175,-37.85279145
Golf Links Road Rehabilitation Centre,,,3199,145.14958225677694,-38.17321225
The Mornington Centre,no,,,145.04122124543113,-38.23047045
Koo Wee Rup Hospital,no,,,145.4842591405455,-38.200675849999996
Sandringham & District Memorial Hospital,yes,Sandringham,3191,145.0180093152024,-37.960830900000005
Healesville & District Hospital,no,Healesville,3777,145.52897743399316,-37.64673455
Cranbourne Integrated Care Centre,,,,145.28106858848082,-38.113480749999994
East Melbourne Specialist Day Hospital,no,East Melbourne,3002,144.98324481633898,-37.809647999999996
Dorset Rehabilitation Centre,,,,144.94771227149477,-37.72324985
Broadmeadows Hospital,no,,,144.91253117694868,-37.68460915
