Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,204,St Monica's School,Primary,O,47,34,58,55,39,46,37,0,316,0,0,0,0,0,0,0,0,316,2022,F
Catholic,2,205,St Joseph's School,Primary,O,52,55,42,66,46,46,44,0,351,0,0,0,0,0,0,0,0,351,2022,F
Catholic,2,212,St Brendan's Primary School,Primary,O,1,2,3,3,0,3,3,0,15,0,0,0,0,0,0,0,0,15,2022,F
Catholic,2,219,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,237,239,260,235,249,243,0,1463,1463,2022,F
Catholic,2,227,St Patrick's School,Primary,O,17,23,21,11,14,10,14,0,110,0,0,0,0,0,0,0,0,110,2022,F
Catholic,2,236,St Joseph's College Mildura,Secondary,O,0,0,0,0,0,0,0,0,0,162,145,162,151,109,71,0,800,800,2022,F
Catholic,2,250,Star of the Sea College,Secondary,O,0,0,0,0,0,0,0,0,0,203,206,198,201,207,194,0,1209,1209,2022,F
Catholic,2,251,St James' School,Primary,O,24,22,24,27,36,26,20,0,179,0,0,0,0,0,0,0,0,179,2022,F
Catholic,2,252,St Peter's School,Primary,O,87,90,87,79,94,79,72,0,588,0,0,0,0,0,0,0,0,588,2022,F
Catholic,2,262,St Liborius' School,Primary,O,36,31,37,40,44,39,29,0,256,0,0,0,0,0,0,0,0,256,2022,F
Catholic,2,265,Damascus College,Secondary,O,0,0,0,0,0,0,0,0,0,208,206,202,203,185,153,0,1157,1157,2022,F
Catholic,2,285,St Mary's School,Primary,O,16,15,15,10,12,15,11,0,94,0,0,0,0,0,0,0,0,94,2022,F
Catholic,2,286,Sacred Heart College,Secondary,O,0,0,0,0,0,0,0,0,0,153,157,143,126,134,87,0,800,800,2022,F
Catholic,2,289,St Ambrose's School,Primary,O,35,32,39,44,29,36,27,0,242,0,0,0,0,0,0,0,0,242,2022,F
Catholic,2,299,St Joseph's School,Primary,O,4,2,4,3,5,6,1,0,25,0,0,0,0,0,0,0,0,25,2022,F
Catholic,2,324,Sacred Heart School,Primary,O,27,36,35,44,32,29,26,0,229,0,0,0,0,0,0,0,0,229,2022,F
Catholic,2,336,St Paul's School,Primary,O,24,30,36,31,33,36,39,0,229,0,0,0,0,0,0,0,0,229,2022,F
Catholic,2,338,St Andrew's School,Primary,O,28,33,37,42,47,38,43,0,268,0,0,0,0,0,0,0,0,268,2022,F
Catholic,2,353,St Brigid's School,Primary,O,39,30,38,21,32,18,22,0,200,0,0,0,0,0,0,0,0,200,2022,F
Catholic,2,355,Our Lady of Mount Carmel School,Primary,O,32,36,35,36.2,42,44,49,0,274.2,0,0,0,0,0,0,0,0,274.2,2022,F
Catholic,2,367,St Joseph's School,Primary,O,2,6,4,6,6,6,4,0,34,0,0,0,0,0,0,0,0,34,2022,F
Catholic,2,368,St Mary's School,Primary,O,4,15,14,16,10,9,19,0,87,0,0,0,0,0,0,0,0,87,2022,F
Catholic,2,379,St Mary's School,Primary,O,1,1,8,6,2,5,3,0,26,0,0,0,0,0,0,0,0,26,2022,F
Catholic,2,384,FCJ College,Secondary,O,0,0,0,0,0,0,0,0,0,79,68,68,81,49,40,0,385,385,2022,F
Catholic,2,386,St Patrick's School,Primary,O,50.4,56,59,58,76,61,73,0,433.4,0,0,0,0,0,0,0,0,433.4,2022,F
Catholic,2,401,Sacred Heart Primary School,Primary,O,55,62,51,77,64,68,58,0,435,0,0,0,0,0,0,0,0,435,2022,F
Catholic,2,404,Xavier College,Pri/Sec,O,29,18,22,23,40,81,80,0,293,162,229,227,232,251,253,0,1354,1647,2022,F
Catholic,2,409,St Joseph's School,Primary,O,1,6,5,2,3,4,4,0,25,0,0,0,0,0,0,0,0,25,2022,F
Catholic,2,411,Marian College,Secondary,O,0,0,0,0,0,0,0,0,0,69,87,80,76,73,47,0,432,432,2022,F
Catholic,2,413,Sacred Heart School,Primary,O,6,2,3,8,5,2,7,0,33,0,0,0,0,0,0,0,0,33,2022,F
Catholic,2,414,St Bernard's School,Primary,O,57,41,50,46,47,45,42.4,0,328.4,0,0,0,0,0,0,0,0,328.4,2022,F
Catholic,2,445,St Patrick's School,Primary,O,18,12,13,9,15,18,12,0,97,0,0,0,0,0,0,0,0,97,2022,F
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,0,0,0,0,0,0,0,0,0,103,128,130,98,117,98,0,674,674,2022,F
Catholic,2,468,Sacred Heart School,Primary,O,13,11,10,19,8,15,17.4,0,93.4,0,0,0,0,0,0,0,0,93.4,2022,F
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,0,0,0,0,0,0,0,0,0,286,255,282,255,242,207,0,1527,1527,2022,F
Catholic,2,477,St Monica's School,Primary,O,10,16,15,20,14,20,18,0,113,0,0,0,0,0,0,0,0,113,2022,F
Catholic,2,478,St Augustine's School,Primary,O,15,23,16,24.6,18,14,26,0,136.6,0,0,0,0,0,0,0,0,136.6,2022,F
Catholic,2,486,Ss Michael and John's Primary School,Primary,O,38,40,41,40,27,32,35,0,253,0,0,0,0,0,0,0,0,253,2022,F
Catholic,2,495,Trinity College Colac Inc,Secondary,O,0,0,0,0,0,0,0,0,0,140,152,116,150,114,93,0,765,765,2022,F
Catholic,2,496,St Mary's School,Primary,O,32,44,38,36,52.2,35.4,47,0,284.6,0,0,0,0,0,0,0,0,284.6,2022,F
Catholic,2,500,Kilbreda College,Secondary,O,0,0,0,0,0,0,0,0,0,156,164,144,148,136,136,0,884,884,2022,F
Catholic,2,501,Padua College,Secondary,O,0,0,0,0,0,0,0,0,0,476,468,432,430,408.5,348.7,0,2563.2,2563.2,2022,F
