Geo Point,Geo Shape,prop_id,name,addresspt1,xorg,ext_id,asset_clas,label,asset_type,easting,northing,str_id,addresspt_,asset_subt,xsource,profile,xdate,xdrawing,mcc_id,roadseg_id
"-37.81373899955726, 144.9421289998664","{""coordinates"": [144.9421289998664, -37.81373899955726], ""type"": ""Point""}",0,,0.0,ESG,210,,6.549,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.813802999768036, 144.94222000027733","{""coordinates"": [144.94222000027733, -37.813802999768036], ""type"": ""Point""}",0,,0.0,ESG,251,,54.448,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81351900001735, 144.94179300024945","{""coordinates"": [144.94179300024945, -37.81351900001735], ""type"": ""Point""}",0,,0.0,ESG,77,,18.28,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.813650000163264, 144.94197300048748","{""coordinates"": [144.94197300048748, -37.813650000163264], ""type"": ""Point""}",0,,0.0,ESG,153,,9.58,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81365800034834, 144.94198700021394","{""coordinates"": [144.94198700021394, -37.81365800034834], ""type"": ""Point""}",0,,0.0,ESG,159,,27.37,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8136659998139, 144.94199899958275","{""coordinates"": [144.94199899958275, -37.8136659998139], ""type"": ""Point""}",0,,0.0,ESG,164,,36.461,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81373000036544, 144.9421109998234","{""coordinates"": [144.9421109998234, -37.81373000036544], ""type"": ""Point""}",0,,0.0,ESG,202,,6.843,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81392800038721, 144.9424160001063","{""coordinates"": [144.9424160001063, -37.81392800038721], ""type"": ""Point""}",0,,0.0,ESG,331,,59.726,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81348999998738, 144.94176199958193","{""coordinates"": [144.94176199958193, -37.81348999998738], ""type"": ""Point""}",0,,0.0,ESG,60,,35.484,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.814075000165516, 144.9427949999232","{""coordinates"": [144.9427949999232, -37.814075000165516], ""type"": ""Point""}",0,,0.0,ESG,496,,99.316,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80229200016158, 144.96591900022665","{""coordinates"": [144.96591900022665, -37.80229200016158], ""type"": ""Point""}",0,,0.0,ESG,530,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80229199970486, 144.96592199979264","{""coordinates"": [144.96592199979264, -37.80229199970486], ""type"": ""Point""}",0,,0.0,ESG,532,,0.489,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80249399949262, 144.9657189999638","{""coordinates"": [144.9657189999638, -37.80249399949262], ""type"": ""Point""}",0,,0.0,ESG,831,,9.677,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80230699982072, 144.9659879998051","{""coordinates"": [144.9659879998051, -37.80230699982072], ""type"": ""Point""}",0,,0.0,ESG,563,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80233399982649, 144.9660710001362","{""coordinates"": [144.9660710001362, -37.80233399982649], ""type"": ""Point""}",0,,0.0,ESG,594,,19.355,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80245799960016, 144.9661099998738","{""coordinates"": [144.9661099998738, -37.80245799960016], ""type"": ""Point""}",0,,0.0,ESG,657,,4.888,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80254899969757, 144.96604400031478","{""coordinates"": [144.96604400031478, -37.80254899969757], ""type"": ""Point""}",0,,0.0,ESG,704,,17.009,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80255600005935, 144.9660260005494","{""coordinates"": [144.9660260005494, -37.80255600005935], ""type"": ""Point""}",0,,0.0,ESG,711,,17.595,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8025610001009, 144.96599200043758","{""coordinates"": [144.96599200043758, -37.8025610001009], ""type"": ""Point""}",0,,0.0,ESG,721,,8.309,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80306199966928, 144.96580500040074","{""coordinates"": [144.96580500040074, -37.80306199966928], ""type"": ""Point""}",0,,0.0,ESG,1241,,8.993,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80301699985445, 144.96574899999942","{""coordinates"": [144.96574899999942, -37.80301699985445], ""type"": ""Point""}",0,,0.0,ESG,1269,,8.504,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80299000003619, 144.96571000008774","{""coordinates"": [144.96571000008774, -37.80299000003619], ""type"": ""Point""}",0,,0.0,ESG,1287,,5.67,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80290700030292, 144.9655839998888","{""coordinates"": [144.9655839998888, -37.80290700030292], ""type"": ""Point""}",0,,0.0,ESG,1342,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80290100022922, 144.9655720004041","{""coordinates"": [144.9655720004041, -37.80290100022922], ""type"": ""Point""}",0,,0.0,ESG,1346,,0.587,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.803234000067924, 144.96606700040576","{""coordinates"": [144.96606700040576, -37.803234000067924], ""type"": ""Point""}",0,,0.0,ESG,1115,,0.196,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80231899973038, 144.96587900061775","{""coordinates"": [144.96587900061775, -37.80231899973038], ""type"": ""Point""}",0,,0.0,ESG,967,,4.301,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80229099984281, 144.96590699992805","{""coordinates"": [144.96590699992805, -37.80229099984281], ""type"": ""Point""}",0,,0.0,ESG,988,,0.684,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80312600005824, 144.96589799993018","{""coordinates"": [144.96589799993018, -37.80312600005824], ""type"": ""Point""}",0,,0.0,ESG,1185,,25.318,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80264899977519, 144.9653240000812","{""coordinates"": [144.9653240000812, -37.80264899977519], ""type"": ""Point""}",0,,0.0,ESG,1523,,30.303,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.80266500042837, 144.9653140000384","{""coordinates"": [144.9653140000384, -37.80266500042837], ""type"": ""Point""}",0,,0.0,ESG,1568,,29.619,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.820003000357424, 144.95079800046798","{""coordinates"": [144.95079800046798, -37.820003000357424], ""type"": ""Point""}",0,,0.0,ESG,2270,,1.955,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82006100037548, 144.95085099978482","{""coordinates"": [144.95085099978482, -37.82006100037548], ""type"": ""Point""}",0,,0.0,ESG,2285,,2.053,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.82045699991013, 144.95118100034207","{""coordinates"": [144.95118100034207, -37.82045699991013], ""type"": ""Point""}",0,,0.0,ESG,2376,,4.594,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81880800021692, 144.94952399982122","{""coordinates"": [144.94952399982122, -37.81880800021692], ""type"": ""Point""}",0,,0.0,ESG,1910,,3.128,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819674999514255, 144.9505120002669","{""coordinates"": [144.9505120002669, -37.819674999514255], ""type"": ""Point""}",0,,0.0,ESG,2176,,7.038,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81990200017496, 144.95067899995968","{""coordinates"": [144.95067899995968, -37.81990200017496], ""type"": ""Point""}",0,,0.0,ESG,2236,,3.226,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8192480003014, 144.96444200024118","{""coordinates"": [144.96444200024118, -37.8192480003014], ""type"": ""Point""}",0,,0.0,ESG,2804,,20.919,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81925100002815, 144.9643860004451","{""coordinates"": [144.9643860004451, -37.81925100002815], ""type"": ""Point""}",0,,0.0,ESG,2822,,20.528,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81925600022121, 144.96429699984276","{""coordinates"": [144.96429699984276, -37.81925600022121], ""type"": ""Point""}",0,,0.0,ESG,2850,,20.528,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81926900027098, 144.96413400031548","{""coordinates"": [144.96413400031548, -37.81926900027098], ""type"": ""Point""}",0,,0.0,ESG,2900,,27.175,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81926999961744, 144.9641229999959","{""coordinates"": [144.9641229999959, -37.81926999961744], ""type"": ""Point""}",0,,0.0,ESG,2903,,25.611,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81927499997248, 144.96408400033596","{""coordinates"": [144.96408400033596, -37.81927499997248], ""type"": ""Point""}",0,,0.0,ESG,2915,,18.671,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81920100002116, 144.9649349999418","{""coordinates"": [144.9649349999418, -37.81920100002116], ""type"": ""Point""}",0,,0.0,ESG,2639,,22.092,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81913500006913, 144.95000499976115","{""coordinates"": [144.95000499976115, -37.81913500006913], ""type"": ""Point""}",0,,0.0,ESG,2041,,30.108,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81922900015017, 144.9646729999001","{""coordinates"": [144.9646729999001, -37.81922900015017], ""type"": ""Point""}",0,,0.0,ESG,2730,,23.949,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81923199958184, 144.9646529995977","{""coordinates"": [144.9646529995977, -37.81923199958184], ""type"": ""Point""}",0,,0.0,ESG,2738,,18.964,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819483999969265, 144.96349200011826","{""coordinates"": [144.96349200011826, -37.819483999969265], ""type"": ""Point""}",0,,0.0,ESG,3120,,30.987,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819645000201746, 144.96288900059943","{""coordinates"": [144.96288900059943, -37.819645000201746], ""type"": ""Point""}",0,,0.0,ESG,3383,,10.557,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819523999816276, 144.96334399973074","{""coordinates"": [144.96334399973074, -37.819523999816276], ""type"": ""Point""}",0,,0.0,ESG,3172,,9.775,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81941900013266, 144.9637219996936","{""coordinates"": [144.9637219996936, -37.81941900013266], ""type"": ""Point""}",0,,0.0,ESG,3046,,6.843,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819578000111115, 144.9631550001374","{""coordinates"": [144.9631550001374, -37.819578000111115], ""type"": ""Point""}",0,,0.0,ESG,3257,,4.008,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81834400035458, 144.9746179996825","{""coordinates"": [144.9746179996825, -37.81834400035458], ""type"": ""Point""}",0,,0.0,ESG,3564,,9.091,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.819075000232864, 144.9735070003087","{""coordinates"": [144.9735070003087, -37.819075000232864], ""type"": ""Point""}",0,,0.0,ESG,5431,,36.266,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81860800029915, 144.9720329995705","{""coordinates"": [144.9720329995705, -37.81860800029915], ""type"": ""Point""}",0,,0.0,ESG,4959,,11.144,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81864899999083, 144.97232800052603","{""coordinates"": [144.97232800052603, -37.81864899999083], ""type"": ""Point""}",0,,0.0,ESG,5041,,7.82,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.8188469996032, 144.9730960000366","{""coordinates"": [144.9730960000366, -37.8188469996032], ""type"": ""Point""}",0,,0.0,ESG,5276,,3.91,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.818859000376364, 144.97313300021963","{""coordinates"": [144.97313300021963, -37.818859000376364], ""type"": ""Point""}",0,,0.0,ESG,5286,,6.354,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81930300033946, 144.9739709999031","{""coordinates"": [144.9739709999031, -37.81930300033946], ""type"": ""Point""}",0,,0.0,ESG,5589,,28.152,,0.0,0.0,0,0,,,,20140916,,0,0
"-37.81930499958459, 144.97397600055405","{""coordinates"": [144.97397600055405, -37.81930499958459], ""type"": ""Point""}",0,,0.0,ESG,5591,,25.806,,0.0,0.0,0,0,,,,20140916,,0,0
