service_id,date,exception_type
"T2_2","20250419","2"
"T3_2","20250420","2"
"T5_3","20250421","2"
"T5_3","20250609","2"
"T6_2","20250418","2"
"T6_2","20250425","2"
"UC","20250412","2"
"UC","20250426","2"
"UC","20250503","2"
"UC","20250510","2"
"UC","20250517","2"
"UC","20250524","2"
"UC","20250531","2"
"UC","20250607","2"
"UC","20250614","2"
"UC","20250621","2"
"UC","20250628","2"
"UG","20250411","2"
"UG","20250418","2"
"UG","20250502","2"
"UG","20250509","2"
"UG","20250516","2"
"UG","20250523","2"
"UG","20250530","2"
"UG","20250606","2"
"UG","20250613","2"
"UG","20250620","2"
"UG","20250627","2"
"UK","20250413","2"
"UK","20250427","2"
"UK","20250504","2"
"UK","20250511","2"
"UK","20250518","2"
"UK","20250525","2"
"UK","20250601","2"
"UK","20250608","2"
"UK","20250615","2"
"UK","20250622","2"
"UK","20250629","2"
"UM","20250414","2"
"UM","20250428","2"
"UM","20250505","2"
"UM","20250512","2"
"UM","20250519","2"
"UM","20250526","2"
"UM","20250602","2"
"UM","20250609","2"
"UM","20250616","2"
"UM","20250623","2"
"US","20250411","2"
"US","20250425","2"
"US","20250502","2"
"US","20250509","2"
"US","20250516","2"
"US","20250523","2"
"US","20250530","2"
"US","20250606","2"
"US","20250613","2"
"US","20250620","2"
"US","20250627","2"
