stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station,platform_code
"10117","Jordanville Station","-37.87376273","145.11247263","","Parentvic:rail:JOR","1"
"10920","Flagstaff Station","-37.81187992","144.95604277","","Parentvic:rail:FGS","1"
"10921","Flagstaff Station","-37.81172541","144.95596751","","Parentvic:rail:FGS","2"
"10922","Melbourne Central Station","-37.80997401","144.96254713","","Parentvic:rail:MCE","1"
"10923","Melbourne Central Station","-37.80986533","144.96251604","","Parentvic:rail:MCE","2"
"10924","Parliament Station","-37.81100921","144.97292350","","Parentvic:rail:PAR","1"
"11119","Belgrave Station","-37.90913670","145.35518814","","Parentvic:rail:BEG","1"
"11120","Belgrave Station","-37.90909987","145.35513209","","Parentvic:rail:BEG","2"
"11121","Tecoma Station","-37.90809018","145.34290422","","Parentvic:rail:TCM","1"
"11122","Upwey Station","-37.90371012","145.33141254","","Parentvic:rail:UPW","1"
"11123","Upwey Station","-37.90361053","145.33138067","","Parentvic:rail:UPW","2"
"11197","Alamein Station","-37.86820440","145.07972689","","Parentvic:rail:ALM","1"
"11198","Ashburton Station","-37.86193224","145.08139014","","Parentvic:rail:ASH","1"
"11199","Burwood Station","-37.85162801","145.08061168","","Parentvic:rail:BWD","2"
"11200","Burwood Station","-37.85174400","145.08054048","","Parentvic:rail:BWD","1"
"11201","Hartwell Station","-37.84384815","145.07548359","","Parentvic:rail:HWL","2"
"11202","Hartwell Station","-37.84388325","145.07542585","","Parentvic:rail:HWL","1"
"11203","Willison Station","-37.83543231","145.07005495","","Parentvic:rail:WSN","1"
"11204","Willison Station","-37.83535272","145.07014793","","Parentvic:rail:WSN","2"
"11205","Riversdale Station","-37.83129769","145.06961731","","Parentvic:rail:RIV","1"
"11206","Riversdale Station","-37.83116499","145.06976848","","Parentvic:rail:RIV","2"
"11207","Camberwell Station","-37.82669176","145.05860302","","Parentvic:rail:CAM","1"
"11208","Camberwell Station","-37.82661913","145.05857084","","Parentvic:rail:CAM","2"
"11209","Camberwell Station","-37.82651179","145.05861910","","Parentvic:rail:CAM","3"
"11210","Parliament Station","-37.81091306","144.97309652","","Parentvic:rail:PAR","2"
"11212","Flinders Street Station","-37.81851165","144.96483434","","Parentvic:rail:FSS","1"
"11213","Flinders Street Station","-37.81830668","144.96601006","","Parentvic:rail:FSS","2"
"11214","Flinders Street Station","-37.81822445","144.96646672","","Parentvic:rail:FSS","3"
"11215","Flinders Street Station","-37.81828907","144.96655582","","Parentvic:rail:FSS","4"
"11216","Flinders Street Station","-37.81832588","144.96660025","","Parentvic:rail:FSS","5"
"11217","Flinders Street Station","-37.81837661","144.96692830","","Parentvic:rail:FSS","6"
"11218","Flinders Street Station","-37.81849057","144.96674342","","Parentvic:rail:FSS","7"
"11219","Jordanville Station","-37.87370850","145.11246265","","Parentvic:rail:JOR","2"
"11220","Frankston Station","-38.14268180","145.12604465","","Parentvic:rail:FKN","1"
"11221","Frankston Station","-38.14270218","145.12619247","","Parentvic:rail:FKN","2"
"11222","Kananook Station","-38.12171555","145.13533024","","Parentvic:rail:KAN","1"
"11223","Kananook Station","-38.12171646","145.13538725","","Parentvic:rail:KAN","2"
"11224","Seaford Station","-38.10434442","145.12816513","","Parentvic:rail:SEA","1"
"11225","Seaford Station","-38.10441830","145.12827729","","Parentvic:rail:SEA","2"
"11226","Carrum Station","-38.07760641","145.12304429","","Parentvic:rail:CAR","1"
"11227","Carrum Station","-38.07759831","145.12310150","","Parentvic:rail:CAR","2"
"11228","Bonbeach Station","-38.06588002","145.12008403","","Parentvic:rail:BON","1"
