route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"aus:vic:vic-02-ALM:","T5+z2","02-ALM--16-T5_z2-2201","2-ALM-vpt-16.6.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2203","2-ALM-vpt-16.7.H","Alamein","0","12795"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2205","2-ALM-vpt-16.7.H","Alamein","0","6445"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2207","2-ALM-vpt-16.5.H","Alamein","0","6446"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2209","2-ALM-vpt-16.6.H","Alamein","0","6448"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2211","2-ALM-vpt-16.6.H","Alamein","0","12793"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2212","2-ALM-vpt-16.8.R","Flinders Street","1","12796"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2213","2-ALM-vpt-16.5.H","Alamein","0","12792"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2214","2-ALM-vpt-16.9.R","Flinders Street","1","12798"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2215","2-ALM-vpt-16.6.H","Alamein","0","4973"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2217","2-ALM-vpt-16.6.H","Alamein","0","4974"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2218","2-ALM-vpt-16.8.R","Flinders Street","1","12797"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2219","2-ALM-vpt-16.10.H","Riversdale","0","4962"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2220","2-ALM-vpt-16.11.R","Flinders Street","1","12800"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2221","2-ALM-vpt-16.12.H","Alamein","0","4964"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2222","2-ALM-vpt-16.9.R","Flinders Street","1","6452"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2223","2-ALM-vpt-16.13.H","Alamein","0","12801"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2225","2-ALM-vpt-16.14.H","Riversdale","0","6453"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2226","2-ALM-vpt-16.15.R","Flinders Street","1","12802"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2230","2-ALM-vpt-16.16.R","Flinders Street","1","6454"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2232","2-ALM-vpt-16.16.R","Flinders Street","1","5025"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2234","2-ALM-vpt-16.17.R","Flinders Street","1","6421"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2235","2-ALM-vpt-16.5.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2236","2-ALM-vpt-16.18.R","Flinders Street","1","5024"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2237","2-ALM-vpt-16.6.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2238","2-ALM-vpt-16.19.R","Flinders Street","1","12794"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2239","2-ALM-vpt-16.6.H","Alamein","0","4975"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2240","2-ALM-vpt-16.9.R","Flinders Street","1","12799"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2241","2-ALM-vpt-16.6.H","Alamein","0","4976"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2242","2-ALM-vpt-16.9.R","Flinders Street","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2243","2-ALM-vpt-16.6.H","Alamein","0","4961"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2244","2-ALM-vpt-16.11.R","Flinders Street","1","5007"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2245","2-ALM-vpt-16.6.H","Alamein","0","4967"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2246","2-ALM-vpt-16.20.R","Flinders Street","1","12803"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2247","2-ALM-vpt-16.6.H","Alamein","0","4965"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2249","2-ALM-vpt-16.6.H","Alamein","0","12794"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2251","2-ALM-vpt-16.6.H","Alamein","0","4966"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2252","2-ALM-vpt-16.8.R","Flinders Street","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2254","2-ALM-vpt-16.21.R","Flinders Street","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2255","2-ALM-vpt-16.6.H","Alamein","0","6430"
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2300","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2303","2-ALM-vpt-16.22.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2307","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2308","2-ALM-vpt-16.1.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2309","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2310","2-ALM-vpt-16.1.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2311","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2312","2-ALM-vpt-16.1.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2313","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2314","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2315","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2316","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2317","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2318","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2319","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2320","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2321","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2322","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2323","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2324","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2325","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2326","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2327","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2328","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2329","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2330","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2331","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2332","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2333","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2334","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2335","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2337","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2338","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2339","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2340","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2341","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2342","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2343","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2344","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2345","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2346","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2347","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2348","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2350","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2351","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2352","2-ALM-vpt-16.3.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2353","2-ALM-vpt-16.2.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2354","2-ALM-vpt-16.1.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2355","2-ALM-vpt-16.2.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2356","2-ALM-vpt-16.1.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2357","2-ALM-vpt-16.4.H","Alamein","0",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2358","2-ALM-vpt-16.1.R","Camberwell","1",""
"aus:vic:vic-02-ALM:","T5","02-ALM--16-T5-2359","2-ALM-vpt-16.4.H","Alamein","0",""
