stop_id,stop_name,stop_lat,stop_lon
"1000","Dole Ave/Cheddar Rd (Reservoir)","-37.70077481","145.01895105"
"10001","Rex St/Taylors Rd (Kings Park)","-37.72697521","144.77615243"
"10002","Yuille St/Centenary Ave (Melton)","-37.67615950","144.59578941"
"10009","Gum Rd/Main Rd West (Albanvale)","-37.74149711","144.77589939"
"1001","Lloyd Ave/Cheddar Rd (Reservoir)","-37.69918301","145.01968529"
"10010","Kings Rd/Main Rd West (St Albans)","-37.74194553","144.78008474"
"10011","Moffat St/Main Rd West (St Albans)","-37.74232460","144.78346650"
"10012","Washington St/Main Rd West (St Albans)","-37.74279566","144.78791229"
"10013","Kate St/Main Rd West (St Albans)","-37.74356938","144.79457342"
"10014","Raleighs Rd/Centenary Ave (Melton)","-37.67530436","144.58877643"
"10016","Melton Cemetery/O'Neills Rd (Melton)","-37.67498051","144.57825444"
"10017","Swan St/O'Neills Rd (Melton)","-37.67875895","144.57750796"
"10018","Reservoir Shopping Centre/Broadway (Reservoir)","-37.71703287","145.00988475"
"10019","Northumberland Rd/Pascoe St (Pascoe Vale)","-37.71628650","144.93404411"
"1002","Liston Ave/Cheddar Rd (Reservoir)","-37.69744778","145.02100173"
"10020","Westbreen Primary School/Pascoe St (Pascoe Vale)","-37.71655281","144.93638502"
"10021","Joffre Rd/Boundary Rd (Pascoe Vale)","-37.71691492","144.94008463"
"10022","Kent Rd/Cumberland Rd (Pascoe Vale)","-37.72071084","144.94019503"
"10023","Warwick Rd/Cumberland Rd (Pascoe Vale)","-37.72220292","144.93997217"
"10025","Daley St/Cumberland Rd (Pascoe Vale)","-37.72501492","144.93947446"
"10026","Pleasant St/Cumberland Rd (Pascoe Vale)","-37.72711752","144.93912119"
"10027","Olive Gr/Cumberland Rd (Pascoe Vale)","-37.72922911","144.93876764"
"10028","Gaffney St/Cumberland Rd (Pascoe Vale)","-37.73216543","144.93816426"
"10029","Pardy St/Cumberland Rd (Pascoe Vale)","-37.73392851","144.93797918"
"1003","Keon Pde/Dalton Rd (Thomastown)","-37.69505944","145.02314070"
"10030","Eastgate St/Cumberland Rd (Pascoe Vale South)","-37.73550025","144.93767458"
"10031","Bell St/Cumberland Rd (Pascoe Vale South)","-37.73761144","144.93729826"
"10032","Balmoral Ave/Bell St (Pascoe Vale South)","-37.73879226","144.94195215"
"10033","Royal Pde/Bell St (Pascoe Vale South)","-37.73940394","144.94705314"
"10034","Davis St/Bell St (Coburg)","-37.73979317","144.95077590"
"10035","Linsey St/Bell St (Coburg)","-37.74008605","144.95362754"
"10036","Kelson St/Bell St (Coburg)","-37.74032576","144.95601539"
"10037","Nelson St/Bell St (Coburg)","-37.74071785","144.95991974"
"10038","Coburg Cemetery/Bell St (Preston)","-37.74310506","144.98236979"
"10039","Tasman St/Bell St (Preston)","-37.74354790","144.98560348"
"1004","Wood St/Dalton Rd (Thomastown)","-37.69201671","145.02548969"
"10040","Gilbert Rd/Bell St (Preston)","-37.74397544","144.98952991"
"10041","Erin St/Bell St (Preston)","-37.74427667","144.99292640"
"10042","Penola St/Bell St (Preston)","-37.74455323","144.99593772"
"10043","High St/Bell St (Preston)","-37.74516150","145.00203840"
"10044","Plenty Rd/Bell St (Preston)","-37.74548267","145.00503725"
"10045","Panch Health Centre/Bell St (Preston)","-37.74582045","145.00848964"
"10047","O'Keefe St/Bell St (Preston)","-37.74650014","145.01458863"
"10048","Liberty Pde/Bell St (Bellfield (3081))","-37.74941940","145.03714180"
"10049","Oriel Rd/Bell St (Bellfield (3081))","-37.74972949","145.03952840"
"1005","Settlement Rd/Dalton Rd (Thomastown)","-37.68827471","145.02806113"
"10050","Plunkett St/Bell St (Bellfield (3081))","-37.75031340","145.04266824"
"10051","Waterdale Rd/Bell St (Bellfield (3081))","-37.75103120","145.04519170"
"10052","Gotha St/Bell St (Heidelberg Heights)","-37.75189457","145.04780220"
"10053","Austin Repat MC/Bell St (Heidelberg Heights)","-37.75267606","145.04982469"
"10054","Myrtle St/Bell St (Heidelberg Heights)","-37.75384072","145.05267710"
"10055","Warringal SC/Cape St (Heidelberg)","-37.75559602","145.06733017"
"10056","Heidelberg Primary School/Darebin St (Heidelberg)","-37.75455865","145.06946836"
"10057","Brown St/Rosanna Rd (Heidelberg)","-37.75210398","145.07036072"
"10058","Reid St/Rosanna Rd (Heidelberg)","-37.75001084","145.07076694"
