,ID,Date_Time,Year,Month,Mdate,Day,Time,Sensor_ID,Sensor_Name,Hourly_Counts
2349486,2210438,04/25/2018 06:00:00 PM,2018,April,25,Wednesday,18,7,Birrarung Marr,6231
2360176,2324346,08/01/2018 05:00:00 PM,2018,August,1,Wednesday,17,24,Spencer St-Collins St (North),5272
2545770,2509940,12/31/2018 10:00:00 PM,2018,December,31,Monday,22,35,Southbank,9382
2272850,2133802,02/17/2018 10:00:00 PM,2018,February,17,Saturday,22,35,Southbank,8476
2236333,2097285,01/16/2018 05:00:00 PM,2018,January,16,Tuesday,17,6,Flinders Street Station Underpass,5763
2356227,2320397,07/29/2018 11:00:00 AM,2018,July,29,Sunday,11,7,Birrarung Marr,6268
2164213,2258600,06/06/2018 10:00:00 PM,2018,June,6,Wednesday,22,7,Birrarung Marr,7321
2305389,2166341,03/18/2018 09:00:00 AM,2018,March,18,Sunday,9,14,Sandridge Bridge,7304
2132101,2226488,05/09/2018 07:00:00 PM,2018,May,9,Wednesday,19,7,Birrarung Marr,10060
2507935,2472105,11/30/2018 05:00:00 PM,2018,November,30,Friday,17,35,Southbank,5859
2465914,2430084,10/26/2018 06:00:00 PM,2018,October,26,Friday,18,57,Bourke St Bridge,12289
2432908,2397078,09/29/2018 06:00:00 PM,2018,September,29,Saturday,18,7,Birrarung Marr,7351
2687134,2646959,04/25/2019 06:00:00 PM,2019,April,25,Thursday,18,7,Birrarung Marr,7998
2879531,2798995,08/23/2019 10:00:00 PM,2019,August,23,Friday,22,7,Birrarung Marr,11742
2823353,2949080,12/18/2019 05:00:00 PM,2019,December,18,Wednesday,17,57,Bourke St Bridge,11612
2606282,2566107,02/17/2019 06:00:00 PM,2019,February,17,Sunday,18,57,Bourke St Bridge,8129
2568123,2532293,01/19/2019 06:00:00 PM,2019,January,19,Saturday,18,57,Bourke St Bridge,7264
2794640,2754465,07/20/2019 01:00:00 PM,2019,July,20,Saturday,13,57,Bourke St Bridge,7933
2768150,2727975,06/29/2019 06:00:00 PM,2019,June,29,Saturday,18,57,Bourke St Bridge,9136
2647212,2607037,03/23/2019 06:00:00 PM,2019,March,23,Saturday,18,57,Bourke St Bridge,5864
2732046,2691871,05/31/2019 10:00:00 PM,2019,May,31,Friday,22,57,Bourke St Bridge,8630
18545,2906147,11/15/2019 11:00:00 PM,2019,November,15,Friday,23,57,Bourke St Bridge,15979
2934236,2853907,10/06/2019 03:00:00 PM,2019,October,6,Sunday,15,57,Bourke St Bridge,7331
2897292,2816825,09/06/2019 10:00:00 PM,2019,September,6,Friday,22,7,Birrarung Marr,6239
3102908,3102905,04/09/2020 12:00:00 PM,2020,April,9,Thursday,12,48,QVM-Queen St (East),1795
3046936,3046937,02/28/2020 10:00:00 PM,2020,February,28,Friday,22,57,Bourke St Bridge,14437
2980287,2980288,01/10/2020 10:00:00 PM,2020,January,10,Friday,22,57,Bourke St Bridge,7173
3231363,3231364,07/10/2020 10:00:00 AM,2020,July,10,Friday,10,35,Southbank,3159
3184402,3184403,06/06/2020 04:00:00 PM,2020,June,6,Saturday,16,65,Swanston St - City Square,4816
3058916,3058917,03/08/2020 04:00:00 PM,2020,March,8,Sunday,16,7,Birrarung Marr,6395
3174477,3174478,05/30/2020 03:00:00 PM,2020,May,30,Saturday,15,1,Bourke Street Mall (North),2330
