date,demand,RRP
1/01/2015,99635.03,25.63
1/02/2015,129606.01,33.14
1/03/2015,142300.54,34.56
1/04/2015,104330.72,25.01
1/05/2015,118132.20,26.72
1/06/2015,130672.49,31.28
1/07/2015,153514.82,48.31
1/08/2015,142015.66,49.12
1/09/2015,121801.16,34.49
1/10/2015,103043.66,20.23
1/11/2015,99865.76,18.23
1/12/2015,131261.13,33.69
1/13/2015,126527.36,27.54
1/14/2015,119741.62,29.02
1/15/2015,118411.22,30.94
1/16/2015,116690.77,23.02
1/17/2015,99371.31,18.99
1/18/2015,97728.75,17.01
1/19/2015,116883.15,26.93
1/20/2015,128968.13,23.08
1/21/2015,148702.51,34.44
1/22/2015,153232.10,35.23
1/23/2015,138095.20,40.60
1/24/2015,116310.59,20.92
1/25/2015,97959.46,16.54
1/26/2015,103769.48,16.94
1/27/2015,118393.31,21.21
1/28/2015,116763.73,17.02
1/29/2015,119313.73,19.62
1/30/2015,121018.15,21.03
1/31/2015,103822.97,16.54
2/01/2015,100178.84,14.58
2/02/2015,118694.16,22.27
2/03/2015,122880.13,27.00
2/04/2015,117398.03,27.81
2/05/2015,122279.43,31.38
2/06/2015,141837.01,38.84
2/07/2015,132138.37,28.76
2/08/2015,112108.22,23.97
2/09/2015,126813.08,28.91
2/10/2015,145948.57,37.52
2/11/2015,149322.85,32.66
2/12/2015,131376.78,26.58
2/13/2015,136070.62,18.74
2/14/2015,119692.03,20.24
2/15/2015,125287.71,24.58
2/16/2015,131832.63,31.95
2/17/2015,127666.01,30.25
2/18/2015,125972.77,30.24
2/19/2015,139399.69,33.60
2/20/2015,139465.68,33.54
2/21/2015,136283.03,31.25
2/22/2015,138016.35,32.41
2/23/2015,135255.82,28.42
2/24/2015,120263.52,26.56
2/25/2015,130062.76,33.32
2/26/2015,131525.86,39.09
2/27/2015,131069.40,36.34
2/28/2015,116275.73,25.14
3/01/2015,103462.78,24.59
3/02/2015,123301.84,33.17
3/03/2015,126750.29,43.74
3/04/2015,120764.19,37.25
3/05/2015,114967.35,25.32
3/06/2015,117053.75,27.75
3/07/2015,108344.58,22.11
3/08/2015,106348.78,20.57
3/09/2015,108282.48,23.81
3/10/2015,125828.53,31.76
3/11/2015,124418.42,33.60
3/12/2015,121683.65,26.04
3/13/2015,120929.82,24.20
3/14/2015,108738.82,17.39
3/15/2015,100170.30,14.37
3/16/2015,123787.08,22.66
3/17/2015,125600.86,21.39
3/18/2015,127975.82,24.44
3/19/2015,128319.45,24.57
3/20/2015,119491.32,24.07
3/21/2015,106754.80,20.47
3/22/2015,106555.03,18.92
3/23/2015,122810.05,26.69
3/24/2015,123234.94,34.06
3/25/2015,122268.86,28.55
3/26/2015,121998.20,21.97
3/27/2015,122346.34,25.77
3/28/2015,112187.72,29.27
3/29/2015,106418.67,24.67
3/30/2015,123061.87,33.75
3/31/2015,125795.33,31.84
4/01/2015,122042.27,26.17
4/02/2015,113838.41,23.46
4/03/2015,98891.06,20.94
4/04/2015,103999.17,23.19
4/05/2015,103685.45,20.51
4/06/2015,107383.37,17.05
4/07/2015,120235.51,21.36
4/08/2015,122129.78,25.21
4/09/2015,123990.76,25.21
4/10/2015,121753.12,25.68
4/11/2015,110034.17,23.06
4/12/2015,103760.23,22.05
4/13/2015,125107.78,29.41
4/14/2015,127793.38,31.00
4/15/2015,126673.94,31.09
4/16/2015,126937.94,40.68
4/17/2015,131031.42,33.99
4/18/2015,109763.99,26.14
4/19/2015,107160.54,24.54
4/20/2015,126696.19,33.68
4/21/2015,127973.59,30.47
4/22/2015,128598.50,36.70
4/23/2015,126483.81,35.42
4/24/2015,126230.79,36.50
4/25/2015,111803.63,25.98
4/26/2015,108217.82,28.96
4/27/2015,127855.22,48.67
4/28/2015,132642.14,46.27
4/29/2015,132814.62,39.83
4/30/2015,132669.58,39.09
5/01/2015,126304.45,47.47
5/02/2015,108487.98,25.85
5/03/2015,109233.34,30.63
5/04/2015,122375.47,28.80
5/05/2015,123734.87,27.38
5/06/2015,129121.86,26.02
5/07/2015,131237.19,29.08
5/08/2015,131138.73,29.08
5/09/2015,108377.05,19.60
5/10/2015,103811.28,13.28
5/11/2015,123740.25,28.48
5/12/2015,129312.58,28.36
5/13/2015,136903.27,33.60
5/14/2015,135217.65,36.08
5/15/2015,135172.41,32.89
5/16/2015,117136.63,35.12
5/17/2015,111897.09,30.55
5/18/2015,127524.80,39.33
5/19/2015,133235.48,34.04
5/20/2015,127522.71,30.98
5/21/2015,135361.20,35.62
5/22/2015,133422.46,34.61
5/23/2015,119331.85,31.23
5/24/2015,118783.09,31.49
5/25/2015,136690.92,51.61
5/26/2015,140887.00,46.40
5/27/2015,133103.37,29.88
5/28/2015,127900.24,26.10
5/29/2015,132338.94,29.80
5/30/2015,114669.79,19.05
5/31/2015,113261.26,18.57
6/01/2015,140920.00,36.93
6/02/2015,148534.51,59.86
6/03/2015,146902.95,50.56
6/04/2015,147155.27,33.05
6/05/2015,142625.04,37.97
6/06/2015,120128.30,30.18
6/07/2015,109609.69,23.38
6/08/2015,110715.82,24.36
6/09/2015,132854.14,36.71
6/10/2015,144125.53,39.77
6/11/2015,143465.45,37.48
6/12/2015,145005.62,37.54
6/13/2015,123754.55,29.87
6/14/2015,119125.62,31.60
6/15/2015,136054.15,36.01
6/16/2015,139073.79,36.94
6/17/2015,134290.46,39.28
6/18/2015,137073.78,37.46
6/19/2015,139781.25,38.55
6/20/2015,129576.36,41.10
6/21/2015,124910.57,33.90
6/22/2015,140431.36,30.48
6/23/2015,133171.40,30.24
6/24/2015,135407.57,32.22
6/25/2015,137379.23,33.05
6/26/2015,135562.08,31.93
6/27/2015,124587.43,28.29
6/28/2015,119277.48,31.00
6/29/2015,139468.16,35.78
6/30/2015,143170.06,37.63
7/01/2015,138931.00,29.52
7/02/2015,138972.43,35.62
7/03/2015,145713.81,42.63
7/04/2015,130073.27,29.13
7/05/2015,117312.93,24.00
7/06/2015,143176.34,36.04
7/07/2015,143984.39,37.30
7/08/2015,141696.30,40.58
7/09/2015,141994.38,38.52
7/10/2015,136884.10,32.29
7/11/2015,123971.71,30.62
7/12/2015,124790.70,33.15
7/13/2015,138680.34,47.53
7/14/2015,150671.11,45.26
7/15/2015,151270.54,50.50
7/16/2015,144797.98,40.47
7/17/2015,142965.48,49.22
7/18/2015,130187.45,44.10
7/19/2015,131141.36,43.57
7/20/2015,146154.37,41.80
7/21/2015,138931.81,28.90
7/22/2015,138418.84,33.71
7/23/2015,142316.30,33.98
7/24/2015,136837.16,27.67
7/25/2015,121021.43,22.24
7/26/2015,120396.74,22.38
7/27/2015,142470.43,35.18
7/28/2015,144008.37,40.75
7/29/2015,142637.76,37.24
7/30/2015,143544.11,29.12
7/31/2015,139584.96,35.06
8/01/2015,125032.57,29.88
8/02/2015,117638.07,23.37
8/03/2015,141451.73,38.13
8/04/2015,147550.19,44.67
8/05/2015,142325.99,42.60
8/06/2015,143642.36,48.95
8/07/2015,143060.33,42.78
8/08/2015,125830.54,39.12
8/09/2015,120008.46,29.44
8/10/2015,130978.10,30.09
8/11/2015,135616.13,31.94
8/12/2015,138900.50,37.34
8/13/2015,140905.85,36.73
8/14/2015,137838.93,35.44
8/15/2015,122088.76,34.09
8/16/2015,116648.77,25.32
8/17/2015,137008.71,31.79
8/18/2015,148093.96,45.29
8/19/2015,144024.66,39.24
8/20/2015,131575.79,30.55
8/21/2015,126570.47,38.89
8/22/2015,112275.15,32.24
8/23/2015,111793.02,29.44
8/24/2015,128868.26,26.61
8/25/2015,135051.55,28.80
8/26/2015,135914.68,37.13
8/27/2015,141159.77,41.61
8/28/2015,134755.51,38.18
8/29/2015,124448.50,35.47
8/30/2015,116744.22,42.41
8/31/2015,137724.90,50.27
9/01/2015,134116.77,50.15
9/02/2015,132794.72,49.04
9/03/2015,132096.34,45.55
9/04/2015,131384.88,65.74
9/05/2015,115799.32,57.18
9/06/2015,109641.38,40.58
9/07/2015,131619.37,38.53
9/08/2015,136340.70,41.71
9/09/2015,132977.45,48.13
9/10/2015,133541.98,48.92
9/11/2015,123968.90,36.09
9/12/2015,108790.01,37.65
9/13/2015,99161.77,30.36
9/14/2015,116574.17,32.35
9/15/2015,123750.50,34.51
9/16/2015,131795.49,38.97
9/17/2015,131050.68,40.64
9/18/2015,130764.59,40.63
9/19/2015,112377.19,47.83
9/20/2015,103708.93,32.86
9/21/2015,120096.71,44.96
9/22/2015,127755.10,99.48
9/23/2015,131866.73,49.77
9/24/2015,130937.63,54.98
9/25/2015,124278.93,51.08
9/26/2015,111064.49,48.79
9/27/2015,106431.82,43.93
9/28/2015,121796.72,42.03
9/29/2015,126691.80,37.64
9/30/2015,129641.25,41.98
10/01/2015,124356.42,34.81
10/02/2015,107544.15,38.31
10/03/2015,100598.55,30.78
10/04/2015,103828.88,36.56
10/05/2015,125194.87,38.97
10/06/2015,127225.25,36.24
10/07/2015,117282.77,31.60
10/08/2015,122121.33,36.14
10/09/2015,126989.91,41.42
10/10/2015,112604.83,34.80
10/11/2015,105376.34,29.90
10/12/2015,120916.22,36.35
10/13/2015,122830.38,41.50
10/14/2015,126919.20,45.56
10/15/2015,130260.37,39.07
10/16/2015,123985.97,43.80
10/17/2015,104916.35,29.67
10/18/2015,100812.04,29.12
10/19/2015,120795.00,43.51
10/20/2015,126655.49,43.33
10/21/2015,122368.89,39.68
10/22/2015,121471.64,44.03
10/23/2015,120420.70,48.17
10/24/2015,106813.03,32.19
10/25/2015,102279.75,17.47
10/26/2015,115297.34,29.40
10/27/2015,116619.57,31.33
10/28/2015,122887.41,39.51
10/29/2015,124222.94,62.32
10/30/2015,121256.97,35.88
10/31/2015,106353.44,18.37
11/01/2015,103629.65,14.68
11/02/2015,113791.75,25.02
11/03/2015,101793.04,14.16
11/04/2015,120177.95,29.24
11/05/2015,125985.47,34.58
11/06/2015,120505.59,30.64
11/07/2015,104269.79,18.27
11/08/2015,103793.09,21.10
11/09/2015,127234.72,35.05
11/10/2015,121617.28,32.07
11/11/2015,121566.65,35.22
11/12/2015,123775.16,38.49
11/13/2015,117078.59,32.82
11/14/2015,103646.64,33.56
11/15/2015,99761.81,28.30
11/16/2015,124557.23,39.13
11/17/2015,131442.20,36.02
11/18/2015,132353.76,60.68
11/19/2015,138118.71,78.29
11/20/2015,123412.69,38.03
11/21/2015,102647.91,27.41
11/22/2015,98621.62,32.35
11/23/2015,114406.83,41.37
11/24/2015,118894.31,48.52
11/25/2015,124728.88,60.69
11/26/2015,112907.15,30.49
11/27/2015,117492.82,40.37
11/28/2015,105011.20,43.33
11/29/2015,102162.53,39.12
11/30/2015,122452.42,45.58
12/01/2015,117115.62,37.92
12/02/2015,115230.13,37.47
12/03/2015,121699.43,43.34
12/04/2015,129148.52,66.53
12/05/2015,115606.01,36.91
12/06/2015,112025.29,36.79
12/07/2015,129059.65,53.37
12/08/2015,136800.91,57.53
12/09/2015,125965.02,49.74
12/10/2015,125807.50,50.81
12/11/2015,116597.81,32.02
12/12/2015,106139.41,34.14
12/13/2015,105218.52,40.31
12/14/2015,125784.96,51.75
12/15/2015,129077.41,51.66
12/16/2015,135930.08,78.65
12/17/2015,152366.30,188.09
12/18/2015,158052.89,81.19
12/19/2015,154924.89,69.33
12/20/2015,133421.03,54.65
12/21/2015,113802.21,49.62
12/22/2015,119477.52,37.53
12/23/2015,126553.12,39.14
12/24/2015,134583.25,50.82
12/25/2015,119950.37,22.12
12/26/2015,95093.30,14.97
12/27/2015,96394.94,19.82
12/28/2015,100048.44,20.10
12/29/2015,111647.54,27.33
12/30/2015,128552.14,43.83
12/31/2015,146473.84,101.99
1/01/2016,116040.93,32.53
1/02/2016,99622.64,21.89
1/03/2016,97656.45,19.90
1/04/2016,110932.51,25.44
1/05/2016,117873.58,29.92
1/06/2016,115064.27,31.79
1/07/2016,112392.70,34.45
1/08/2016,111879.54,36.89
1/09/2016,105482.70,41.99
1/10/2016,113049.15,44.48
1/11/2016,141133.09,88.12
1/12/2016,135006.11,62.54
1/13/2016,160011.08,545.74
1/14/2016,120396.34,36.37
1/15/2016,113244.79,30.20
1/16/2016,103046.17,23.67
1/17/2016,114097.07,29.15
1/18/2016,147817.59,43.41
1/19/2016,148612.37,49.26
1/20/2016,142471.51,53.30
1/21/2016,139450.62,55.47
1/22/2016,129135.19,42.34
1/23/2016,108097.85,26.98
1/24/2016,103396.30,26.41
1/25/2016,112649.60,27.60
1/26/2016,110152.82,25.28
