date,Rainfall amount (millimetres),Minimum temperature (Degree C),Maximum temperature (Degree C),Daily global solar exposure (MJ/m*m)
2015-01-01,0.0,13.3,26.9,23.6
2015-01-02,0.0,15.4,38.8,26.8
2015-01-03,0.0,20.0,38.2,26.5
2015-01-04,4.6,16.3,21.4,25.2
2015-01-05,0.0,15.0,22.0,30.7
2015-01-06,0.0,17.7,26.0,31.6
2015-01-07,0.0,18.9,37.4,20.7
2015-01-08,21.6,23.1,28.2,13.5
2015-01-09,1.8,16.5,18.0,3.1
2015-01-10,7.4,13.6,21.7,5.6
2015-01-11,0.0,15.6,27.5,29.9
2015-01-12,0.0,16.1,31.3,31.6
2015-01-13,0.0,20.2,25.6,4.2
2015-01-14,17.8,18.3,22.7,15.2
2015-01-15,0.0,15.8,20.0,14.6
2015-01-16,0.0,13.1,27.3,30.3
2015-01-17,0.0,15.9,25.0,27.5
2015-01-18,0.0,15.3,19.5,23.4
2015-01-19,0.0,13.5,23.6,29.0
2015-01-20,0.0,13.0,30.4,19.6
2015-01-21,0.0,19.7,33.1,25.8
2015-01-22,0.0,18.7,35.8,23.1
2015-01-23,0.0,20.2,25.0,28.6
2015-01-24,0.0,15.8,26.3,30.3
2015-01-25,0.0,14.7,22.0,25.4
2015-01-26,3.0,11.6,19.8,19.9
2015-01-27,0.6,11.7,19.1,17.7
2015-01-28,0.0,13.3,25.4,27.0
2015-01-29,0.0,12.8,22.2,28.9
2015-01-30,0.0,13.1,21.0,27.6
2015-01-31,0.0,14.3,20.2,26.2
2015-02-01,11.8,13.2,19.0,17.3
2015-02-02,2.6,13.5,21.1,23.9
2015-02-03,0.0,16.1,20.0,22.7
2015-02-04,0.0,14.8,19.0,21.2
2015-02-05,0.0,13.3,24.2,28.8
2015-02-06,0.0,14.5,35.7,28.4
2015-02-07,0.0,18.8,35.0,16.1
2015-02-08,0.0,18.9,21.5,16.6
2015-02-09,0.0,13.6,28.3,28.6
2015-02-10,0.0,16.4,27.8,27.7
2015-02-11,0.0,18.1,26.8,24.1
2015-02-12,0.0,17.8,21.9,23.8
2015-02-13,0.0,16.1,32.4,14.9
2015-02-14,20.8,19.0,25.1,20.8
2015-02-15,0.4,18.2,34.4,25.7
2015-02-16,0.0,17.4,24.6,26.3
2015-02-17,0.0,17.6,20.6,8.3
2015-02-18,0.0,17.7,21.2,7.8
2015-02-19,0.0,18.2,26.9,24.7
2015-02-20,0.0,17.4,25.3,24.7
2015-02-21,0.0,18.1,36.1,20.0
2015-02-22,2.2,20.3,35.3,11.7
2015-02-23,0.0,21.1,29.3,4.7
2015-02-24,3.6,15.9,20.1,21.4
2015-02-25,0.0,14.0,27.0,24.1
2015-02-26,0.0,16.0,23.2,18.5
2015-02-27,0.0,14.8,24.3,21.7
2015-02-28,0.0,17.9,32.3,6.9
2015-03-01,16.4,15.2,20.8,23.3
2015-03-02,0.4,11.6,23.0,22.0
2015-03-03,0.0,15.5,22.7,21.2
2015-03-04,0.0,15.4,23.5,23.0
2015-03-05,0.8,12.6,18.6,22.5
2015-03-06,0.8,14.1,21.1,10.8
2015-03-07,0.8,15.4,22.6,10.8
2015-03-08,0.2,16.2,24.4,20.4
2015-03-09,0.0,14.4,23.8,18.6
2015-03-10,0.0,16.2,21.7,22.1
2015-03-11,0.0,11.2,23.8,22.3
2015-03-12,0.0,13.0,19.9,18.7
2015-03-13,0.0,14.4,20.4,21.2
2015-03-14,0.0,9.4,30.1,20.0
2015-03-15,0.0,13.1,18.3,17.5
2015-03-16,0.0,10.5,25.5,14.5
2015-03-17,0.0,13.0,26.2,4.8
2015-03-18,2.4,17.8,24.4,9.4
2015-03-19,2.4,16.5,33.5,15.1
2015-03-20,2.4,14.2,19.6,19.9
2015-03-21,2.4,11.9,22.7,20.8
2015-03-22,0.0,11.3,28.8,19.9
2015-03-23,0.0,13.6,27.0,3.9
2015-03-24,2.8,12.6,15.3,3.8
2015-03-25,1.4,13.0,20.4,13.8
2015-03-26,1.4,9.8,18.0,9.9
2015-03-27,0.0,11.6,18.1,11.2
2015-03-28,0.0,12.7,19.1,14.4
2015-03-29,0.0,8.5,22.7,18.6
2015-03-30,0.0,10.6,23.1,18.1
2015-03-31,0.0,11.2,25.3,18.1
2015-04-01,0.0,13.3,29.0,10.7
2015-04-02,0.4,12.8,17.2,17.5
2015-04-03,0.0,8.0,20.9,17.4
2015-04-04,0.0,8.5,23.5,16.2
2015-04-05,0.0,10.2,18.5,9.8
2015-04-06,0.0,11.2,18.4,13.0
2015-04-07,0.0,12.4,17.3,3.9
2015-04-08,6.2,13.3,17.7,12.6
2015-04-09,0.0,8.7,19.1,10.9
2015-04-10,0.0,8.6,18.7,15.9
2015-04-11,0.0,11.6,23.7,14.9
2015-04-12,0.0,12.1,18.3,13.4
2015-04-13,0.0,7.3,19.1,14.9
2015-04-14,1.8,10.5,24.7,8.4
2015-04-15,7.0,13.9,27.6,12.8
2015-04-16,7.0,15.6,17.8,10.9
2015-04-17,7.0,10.1,17.1,7.5
2015-04-18,7.0,13.5,21.9,9.9
2015-04-19,7.4,9.7,14.7,11.0
2015-04-20,2.2,7.0,16.2,12.7
2015-04-21,0.0,6.5,17.7,13.8
2015-04-22,0.0,9.1,19.5,7.1
2015-04-23,0.0,12.2,19.2,7.5
2015-04-24,0.0,14.4,21.1,7.8
2015-04-25,0.0,11.6,15.0,3.5
2015-04-26,,10.4,15.4,5.9
2015-04-27,0.0,10.5,15.1,8.3
2015-04-28,1.8,10.1,16.0,8.9
2015-04-29,0.0,7.4,17.1,12.6
2015-04-30,0.2,6.4,19.6,12.3
2015-05-01,0.0,7.9,23.1,12.1
2015-05-02,0.0,11.6,22.2,6.1
2015-05-03,0.0,9.7,18.2,11.2
2015-05-04,0.2,7.5,22.3,11.6
2015-05-05,1.4,9.2,18.1,7.1
2015-05-06,1.6,9.5,16.2,7.6
2015-05-07,2.6,10.3,15.6,6.9
2015-05-08,0.2,10.5,15.9,5.9
2015-05-09,0.0,12.8,18.7,7.3
2015-05-10,10.6,12.8,16.6,5.9
2015-05-11,2.6,12.4,15.9,7.9
2015-05-12,0.2,12.8,17.4,5.9
2015-05-13,6.2,6.3,12.8,8.7
2015-05-14,4.2,7.3,14.6,6.7
2015-05-15,2.0,11.5,14.5,6.2
2015-05-16,0.0,11.3,16.2,10.4
2015-05-17,0.0,7.4,20.5,10.3
2015-05-18,0.0,7.2,20.4,10.2
2015-05-19,0.0,9.9,16.2,3.2
2015-05-20,3.4,13.6,18.1,6.0
2015-05-21,7.0,10.3,13.6,3.5
2015-05-22,0.4,9.1,14.1,6.7
