,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
231 Bourke St,21.528301886792452,11.943396226415095,9.735849056603774,9.452830188679245,9.962264150943396,25.30188679245283,31.150943396226417,70.05660377358491,92.9245283018868,130.1320754716981,172.52830188679246,218.79245283018867,326.35849056603774,332.1320754716981,287.35849056603774,275.4339622641509,256.92452830188677,221.71698113207546,157.33962264150944,110.86792452830188,72.39622641509433,54.867924528301884,46.867924528301884,24.58490566037736,"(-37.81333081, 144.96675572)",144.96675572,-37.81333081
Alfred Place,1.320754716981132,1.4150943396226414,1.4339622641509433,1.9433962264150944,0.9433962264150944,7.566037735849057,35.943396226415096,37.943396226415096,69.16981132075472,75.9622641509434,84.35849056603773,89.75471698113208,142.45283018867926,153.20754716981133,101.32075471698113,76.24528301886792,69.30188679245283,66.37735849056604,37.679245283018865,19.71698113207547,22.547169811320753,13.660377358490566,10.339622641509434,5.30188679245283,"(-37.81379749, 144.96995745)",144.96995745,-37.81379749
Birrarung Marr,5.584905660377358,2.509433962264151,2.8867924528301887,5.433962264150943,4.452830188679245,15.132075471698114,66.26415094339623,158.11320754716982,174.30188679245282,122.0,121.37735849056604,141.96226415094338,174.64150943396226,184.43396226415095,165.45283018867926,182.50943396226415,218.18867924528303,261.35849056603774,162.9433962264151,71.52830188679245,40.113207547169814,26.60377358490566,14.641509433962264,8.150943396226415,"(-37.81862929, 144.97169395)",144.97169395,-37.81862929
Bourke St - Spencer St (North),19.88679245283019,14.622641509433961,11.169811320754716,8.39622641509434,10.679245283018869,48.0377358490566,117.60377358490567,224.22641509433961,303.9622641509434,204.56603773584905,189.43396226415095,200.0188679245283,273.3018867924528,291.52830188679246,269.47169811320754,306.41509433962267,360.5660377358491,401.188679245283,215.9811320754717,137.62264150943398,100.11320754716981,82.35849056603773,67.32075471698113,41.20754716981132,"(-37.81686074, 144.95358075)",144.95358075,-37.81686074
Bourke St Bridge,20.088050314465406,8.075471698113208,3.213836477987422,2.088050314465409,2.1132075471698113,16.68553459119497,52.283018867924525,128.40880503144655,198.874213836478,130.6918238993711,98.27044025157232,103.34591194968553,162.9245283018868,160.35849056603774,112.68553459119497,123.62264150943396,160.47798742138366,199.8616352201258,106.9937106918239,52.43396226415094,35.10062893081761,30.842767295597486,23.138364779874216,10.308176100628929,"(-37.8176735, 144.95025595)",144.95025595,-37.8176735
Bourke St-Russell St (West),41.081761006289305,31.20125786163522,19.138364779874216,19.056603773584907,12.937106918238996,28.9433962264151,31.60377358490566,41.26415094339622,69.8805031446541,98.40880503144653,158.62893081761007,219.49685534591194,318.2075471698114,340.85534591194966,319.1132075471698,319.17610062893084,329.66666666666663,339.0817610062893,286.07547169811323,194.72327044025158,149.81132075471697,103.05660377358491,66.52201257861635,41.91194968553459,"(-37.81244703, 144.96778757)",144.96778757,-37.81244703
Bourke Street Mall (North),18.79245283018868,13.132075471698114,9.11320754716981,7.0754716981132075,8.641509433962264,13.150943396226415,56.83018867924528,86.39622641509433,151.43396226415095,272.6981132075472,382.54716981132077,531.7735849056604,748.0566037735849,863.3962264150944,873.0188679245283,885.3018867924528,873.433962264151,740.8490566037735,429.07547169811323,256.20754716981133,133.1320754716981,73.79245283018868,51.64150943396226,32.9811320754717,"(-37.8134944, 144.96515324)",144.96515324,-37.813494399999996
Bourke Street Mall (South),16.39622641509434,11.20754716981132,10.88679245283019,8.81132075471698,6.490566037735849,9.69811320754717,23.471698113207548,64.84905660377359,117.22641509433963,184.16981132075472,275.50943396226415,385.3018867924528,556.9811320754717,616.2830188679245,574.6037735849056,568.7358490566038,512.1698113207547,371.8301886792453,198.37735849056602,104.9622641509434,74.18867924528301,39.0188679245283,34.39622641509434,23.528301886792452,"(-37.81380667, 144.96516719)",144.96516719,-37.81380667
Building 80 RMIT,0.03773584905660377,0.0,0.018867924528301886,0.03773584905660377,0.0,0.07547169811320754,4.3899371069182385,15.534591194968554,26.968553459119494,36.80503144654088,51.257861635220124,65.9496855345912,75.25157232704403,77.03144654088051,82.34591194968554,81.51572327044026,56.37735849056604,26.817610062893085,3.69811320754717,0.4716981132075472,0.13836477987421383,0.15723270440251574,0.1509433962264151,0.06918238993710692,"(-37.80825648, 144.96304859)",144.96304859,-37.80825648
Chinatown-Lt Bourke St (South),8.415094339622641,4.773584905660377,3.9245283018867925,3.0754716981132075,2.2264150943396226,3.207547169811321,7.39622641509434,14.90566037735849,27.867924528301888,36.37735849056604,53.62264150943396,77.15094339622641,106.66037735849056,113.77358490566037,99.90566037735849,108.9245283018868,100.49056603773585,98.0,85.98113207547169,70.39622641509433,52.698113207547166,38.62264150943396,23.81132075471698,14.547169811320755,"(-37.81172913, 144.9682466)",144.96824660000001,-37.81172913
Chinatown-Swanston St (North),10.641509433962264,7.943396226415095,5.660377358490566,5.113207547169812,3.9622641509433962,6.7924528301886795,7.037735849056604,17.452830188679247,38.528301886792455,56.679245283018865,100.52830188679245,163.0,240.24528301886792,264.0188679245283,262.07547169811323,267.0943396226415,274.5660377358491,269.50943396226415,239.56603773584905,184.50943396226415,125.71698113207547,73.43396226415095,38.75471698113208,22.37735849056604,"(-37.81237202, 144.96550671)",144.96550671,-37.81237202
Collins Place (North),2.3962264150943398,2.188679245283019,3.3207547169811322,2.2641509433962264,2.2830188679245285,8.679245283018869,31.37735849056604,79.77358490566037,144.56603773584905,113.05660377358491,110.98113207547169,117.0754716981132,143.26415094339623,136.0,122.35849056603773,115.94339622641509,128.03773584905662,134.64150943396226,66.98113207547169,31.50943396226415,18.79245283018868,13.320754716981131,15.30188679245283,4.547169811320755,"(-37.81344861, 144.97305354)",144.97305354,-37.81344861
Collins Place (South),10.377358490566039,5.773584905660377,5.566037735849057,4.716981132075472,4.490566037735849,38.62264150943396,86.0377358490566,146.58490566037736,227.0754716981132,186.8679245283019,187.49056603773585,196.33962264150944,276.811320754717,257.92452830188677,190.1509433962264,159.9056603773585,156.0754716981132,170.24528301886792,83.88679245283019,45.660377358490564,33.679245283018865,27.735849056603772,26.452830188679247,11.018867924528301,"(-37.81362542, 144.97323592)",144.97323592,-37.81362542
