,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,location,longitude,latitude
231 Bourke St,8.0,6.0,7.0,11.0,10.0,16.0,16.0,51.0,100.0,102.0,117.0,257.0,264.0,213.0,176.0,219.0,222.0,161.0,123.0,99.0,68.0,35.0,40.0,14.0,"(-37.81333081, 144.96675572)",144.96675572,-37.81333081
Alfred Place,2.0,0.0,1.0,0.0,0.0,4.0,13.0,14.0,30.0,47.0,44.0,29.0,58.0,67.0,44.0,37.0,28.0,32.0,12.0,5.0,3.0,7.0,6.0,3.0,"(-37.81379749, 144.96995745)",144.96995745,-37.81379749
Birrarung Marr,2.0,3.0,13.0,5.0,9.0,32.0,68.0,108.0,130.0,85.0,95.0,99.0,148.0,164.0,141.0,195.0,183.0,196.0,143.0,47.0,33.0,35.0,18.0,11.0,"(-37.81862929, 144.97169395)",144.97169395,-37.81862929
Bourke St - Spencer St (North),13.0,4.0,12.0,8.0,12.0,49.0,113.0,156.0,246.0,210.0,116.0,181.0,220.0,248.0,245.0,263.0,297.0,310.0,167.0,99.0,92.0,88.0,67.0,34.0,"(-37.81686074, 144.95358075)",144.95358075,-37.81686074
Bourke St Bridge,4.0,1.0,4.0,0.0,3.0,17.0,35.0,53.0,85.0,67.0,82.0,70.0,104.0,107.0,110.0,133.0,92.0,100.0,72.0,46.0,31.0,27.0,24.0,8.0,"(-37.8176735, 144.95025595)",144.95025595,-37.8176735
Bourke Street Mall (North),13.0,6.0,1.0,3.0,2.0,14.0,51.0,77.0,161.0,209.0,275.0,363.0,524.0,698.0,617.0,654.0,701.0,592.0,296.0,153.0,76.0,35.0,49.0,23.0,"(-37.8134944, 144.96515324)",144.96515324,-37.813494399999996
Bourke Street Mall (South),4.0,4.0,1.0,61.0,6.0,5.0,13.0,49.0,89.0,143.0,224.0,298.0,379.0,384.0,382.0,419.0,353.0,249.0,112.0,64.0,71.0,16.0,32.0,14.0,"(-37.81380667, 144.96516719)",144.96516719,-37.81380667
Building 80 RMIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,27.0,37.0,48.0,44.0,77.0,62.0,69.0,75.0,84.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-37.80825648, 144.96304859)",144.96304859,-37.80825648
Chinatown-Lt Bourke St (South),2.0,0.0,4.0,4.0,0.0,8.0,13.0,17.0,35.0,35.0,49.0,80.0,81.0,103.0,95.0,89.0,85.0,73.0,52.0,50.0,43.0,38.0,15.0,9.0,"(-37.81172913, 144.9682466)",144.96824660000001,-37.81172913
Chinatown-Swanston St (North),17.0,5.0,6.0,1.0,5.0,6.0,6.0,19.0,46.0,55.0,71.0,133.0,184.0,169.0,200.0,197.0,205.0,165.0,214.0,156.0,81.0,83.0,33.0,18.0,"(-37.81237202, 144.96550671)",144.96550671,-37.81237202
Collins Place (North),1.0,1.0,4.0,0.0,3.0,8.0,30.0,88.0,129.0,106.0,76.0,87.0,122.0,131.0,135.0,100.0,123.0,116.0,69.0,12.0,15.0,8.0,11.0,2.0,"(-37.81344861, 144.97305354)",144.97305354,-37.81344861
Collins Place (South),5.0,5.0,1.0,0.0,1.0,39.0,66.0,122.0,166.0,179.0,168.0,175.0,209.0,218.0,194.0,132.0,134.0,130.0,52.0,36.0,34.0,16.0,20.0,14.0,"(-37.81362542, 144.97323592)",144.97323592,-37.81362542
