KEYAccidentNumber,DATAccidentDate_accident,TIMAccidentTime_accident,CATAccidentTypeDesc_accident,CATDayOfWeek_accident,CATDCADesc_accident,CATMelwaysPage_accident,CATMelwaysGridRef_X_accident,CATMelwaysGridRef_Y_accident,CATLightConditionDesc_accident,NUMVehiclesInvolved_accident,NUMPersonsInvolved_accident,NUMPersonsInjured_accident,KEYPersonID_person,CATRoadUserTypeDesc_person,CATTakenHospital_person,CATInjuryLevelDesc_person,CATAgeGroup_person,CATPostcode_person,CATGender_person,CATLGAName_node,CATDEGUrbanName_node,NUMLatitude_node,NUMLongitude_node,CATPostcode_node,CATSurfaceConditionDesc_surface,CATSubDCACodeDesc_subdca,CATAtmosphericConditionDesc_atmosphere,CATRoadName_acclocation,CATRoadNameInt_acclocation,CATRoadType_acclocation,CATRoadTypeInt_acclocation,CATEventTypeDesc_accevent,CATObjectTypeDesc_accevent
T20080000929,2008-01-09,08:10:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,P,10,Day,1,2,0,01,Pedestrians,N,Other injury,26-29,3004.0,F,MELBOURNE,MELB_URBAN,-37.81714723,144.9684887,3000,Dry,Not Required,Clear,FLINDERS,CHAPTER HOUSE,STREET,LANE,Collision,Not Applicable
T20080001163,2008-01-11,15:35:00                      ,Collision with vehicle,Friday,REAR END(VEHICLES IN SAME LANE)               ,2E,B,1,Day,2,3,1,01,Pedestrians,Y,Serious injury,40-49,3064.0,M,MELBOURNE,MELB_URBAN,-37.80932549,144.9340209,3003,Dry,Mid-block,Clear,FOOTSCRAY,CITYLINK,ROAD,,Collision,Not Applicable
T20080001766,2008-01-16,14:24:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,V,3,Day,1,6,0,05,Pedestrians,N,Other injury,30-39,,F,MELBOURNE,MELB_URBAN,-37.80940402,144.97214,3000,Dry,Vehicle leaving intersection,Clear,LONSDALE,SPRING,STREET,STREET,Collision,Not Applicable
T20080002335,2008-01-19,20:00:00                      ,Struck Pedestrian,Saturday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2F,H,8,Dusk/Dawn,1,4,0,04,Pedestrians,N,Other injury,26-29,3193.0,F,MELBOURNE,MELB_URBAN,-37.82306974,144.9710399,3004,Dry,Not Required,Clear,LINLITHGOW,LINLITHGOW ALT,AVENUE,AVENUE,Collision,Not Applicable
T20080002388,2008-01-21,14:45:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2A,F,9,Day,1,2,1,01,Pedestrians,Y,Serious injury,64-69,3636.0,M,MELBOURNE,MELB_URBAN,-37.80238625,144.9436061,3051,Dry,Vehicle leaving intersection,Clear,DRYBURGH,QUEENSBERRY,STREET,STREET,Collision,Not Applicable
T20080002641,2008-01-23,13:10:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,J,3,Day,1,2,1,01,Pedestrians,Y,Serious injury,40-49,,M,MELBOURNE,MELBOURNE_CBD,-37.81276983,144.9605799,3000,Dry,Not Required,Clear,LONSDALE,GOLDIE,STREET,PLACE,Collision,Not Applicable
T20080003608,2008-01-31,18:30:00                      ,Struck Pedestrian,Thursday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1C,H,6,Day,1,2,1,01,Pedestrians,Y,Other injury,64-69,3056.0,F,MELBOURNE,MELB_URBAN,-37.82572113,144.9572161,3006,Dry,,Clear,CLARENDON,WHITEMAN,STREET,STREET,Collision,Not Applicable
T20080004017,2008-02-03,13:55:00                      ,Struck Pedestrian,Sunday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,1B,L,10,Day,1,2,0,01,Pedestrians, ,Other injury,50-59,3175.0,F,MELBOURNE,MELB_URBAN,-37.81817138,144.9649699,3000,Unknown,Alighting,Not known,ELIZABETH,FLINDERS,STREET,STREET,Collision,Not Applicable
T20080004172,2008-02-05,08:52:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,N,1,Day,1,2,0,01,Pedestrians,N,Other injury,17-21,3000.0,M,MELBOURNE,MELB_URBAN,-37.80959426,144.9638262,3000,Dry,Vehicle entering intersection,Clear,LA TROBE,SWANSTON,STREET,STREET,Collision,Not Applicable
T20080004496,2008-02-07,10:45:00                      ,Struck Pedestrian,Thursday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1A,K,9,Day,1,2,0,01,Pedestrians, ,Other injury,50-59,,M,MELBOURNE,MELBOURNE_CBD,-37.81751281,144.9634313,3000,Dry,Not Required,Clear,FLINDERS,COMMERCE,LANE,WAY,Collision,Not Applicable
T20080005360,2008-02-14,07:10:00                      ,Struck Pedestrian,Thursday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2B,A,8,Day,1,2,1,01,Pedestrians,Y,Serious injury,50-59,3021.0,M,MELBOURNE,MELB_URBAN,-37.8003421,144.9541575,3051,Dry,Pedestrian emerged from behind car etc,Clear,OXFORD,WRECKYN,STREET,STREET,Collision,Not Applicable
