postcode,avg_solar_irradiance_kwh_m2_day,peak_sun_hours
3000,4.23,4.2
3001,4.19,4.2
3002,4.24,4.2
3003,4.3,4.3
3004,4.16,4.2
3005,4.14,4.1
3006,4.16,4.2
3007,4.29,4.3
3008,4.19,4.2
3009,4.15,4.1
3010,4.29,4.3
3011,4.13,4.1
3012,4.12,4.1
3013,4.27,4.3
3014,4.19,4.2
3015,4.26,4.3
3016,4.21,4.2
3017,4.2,4.2
3018,4.14,4.1
3019,4.27,4.3
3020,4.2,4.2
3021,4.23,4.2
3022,4.22,4.2
3023,4.21,4.2
3024,4.18,4.2
3025,4.2,4.2
3026,4.18,4.2
3027,4.2,4.2
3028,4.18,4.2
3029,4.24,4.2
3030,4.23,4.2
3031,4.19,4.2
3032,4.23,4.2
3033,4.24,4.2
3034,4.19,4.2
3035,4.24,4.2
3036,4.17,4.2
3037,4.22,4.2
3038,4.22,4.2
3039,4.15,4.2
3040,4.21,4.2
3041,4.25,4.2
3042,4.17,4.2
3043,4.2,4.2
3044,4.21,4.2
3045,4.18,4.2
3046,4.21,4.2
3047,4.21,4.2
3048,4.22,4.2
3049,4.23,4.2
3050,4.21,4.2
3051,4.26,4.3
3052,4.26,4.3
3053,4.3,4.3
3054,4.15,4.2
3055,4.23,4.2
3056,4.16,4.2
3057,4.29,4.3
3058,4.27,4.3
3059,4.13,4.1
3060,4.29,4.3
3061,4.18,4.2
3062,4.29,4.3
3063,4.18,4.2
3064,4.26,4.3
3065,4.17,4.2
3066,4.11,4.1
3067,4.2,4.2
3068,4.23,4.2
3069,4.21,4.2
3070,4.37,4.4
3071,4.39,4.4
3072,4.35,4.3
3073,4.39,4.4
3074,4.33,4.3
3075,4.32,4.3
3076,4.34,4.3
3077,4.35,4.3
3078,4.39,4.4
3079,4.31,4.3
3080,4.34,4.3
3081,4.34,4.3
3082,4.38,4.4
3083,4.37,4.4
3084,4.32,4.3
3085,4.36,4.4
3086,4.34,4.3
3087,4.34,4.3
3088,4.3,4.3
3089,4.31,4.3
3090,4.37,4.4
3091,4.33,4.3
3092,4.32,4.3
3093,4.39,4.4
3094,4.39,4.4
3095,4.33,4.3
3096,4.27,4.3
3097,4.28,4.3
3098,4.14,4.1
3099,4.16,4.2
3100,4.29,4.3
3101,4.25,4.2
3102,4.26,4.3
3103,4.13,4.1
3104,4.22,4.2
3105,4.21,4.2
3106,4.19,4.2
3107,4.28,4.3
3108,4.19,4.2
3109,4.23,4.2
3110,4.16,4.2
3111,4.14,4.1
3112,4.14,4.1
3113,4.2,4.2
3114,4.27,4.3
3115,4.11,4.1
3116,4.28,4.3
3117,4.13,4.1
3118,4.18,4.2
3119,4.13,4.1
3120,4.28,4.3
3121,4.22,4.2
3122,4.24,4.2
3123,4.24,4.2
3124,4.14,4.1
3125,4.17,4.2
3126,4.15,4.2
3127,4.19,4.2
3128,4.3,4.3
3129,4.12,4.1
3130,4.25,4.3
3131,4.18,4.2
3132,4.14,4.1
3133,4.23,4.2
3134,4.22,4.2
3135,4.1,4.1
3136,4.18,4.2
3137,4.22,4.2
3138,4.22,4.2
3139,4.12,4.1
3140,4.26,4.3
3141,4.22,4.2
3142,4.13,4.1
3143,4.14,4.1
3144,4.2,4.2
3145,4.29,4.3
3146,4.24,4.2
3147,4.16,4.2
3148,4.12,4.1
3149,4.16,4.2
3150,4.22,4.2
3151,4.23,4.2
3152,4.19,4.2
3153,4.12,4.1
3154,4.22,4.2
3155,4.24,4.2
3156,4.3,4.3
3157,4.18,4.2
3158,4.27,4.3
3159,4.17,4.2
3160,4.19,4.2
3161,4.23,4.2
3162,4.27,4.3
3163,4.24,4.2
3164,4.13,4.1
3165,4.25,4.2
3166,4.18,4.2
3167,4.26,4.3
3168,4.28,4.3
3169,4.23,4.2
3170,4.14,4.1
3171,4.29,4.3
3172,4.16,4.2
