building_address,latitude,longitude
13 Heffernan Lane MELBOURNE 3000,-37.811798,144.966599
143-175 Harbour Esplanade DOCKLANDS 3008,-37.81741,144.94591
25-27 Rankins Road KENSINGTON 3031,-37.78929,144.93211
265-271 Racecourse Road KENSINGTON 3031,-37.78858,144.93225
27-45 Whiteman Street SOUTHBANK 3006,-37.8251819,144.9582948
353 Little Collins Street MELBOURNE 3000,-37.8155378,144.9629855
42-44 Lonsdale Street MELBOURNE 3000,-37.8097472,144.9710871
4-6 Goldie Place MELBOURNE 3000,-37.8132486,144.9605705
524 Macaulay Road KENSINGTON 3031,-37.794177,144.9286062
607-623 Collins Street MELBOURNE 3000,-37.8190018,144.9541476
717-731 Collins Street DOCKLANDS 3008,-37.8149,144.9505
816 Lorimer Street PORT MELBOURNE 3207,-37.8221281,144.9309547
Evan Walker Bridge SOUTHBANK 3006,-37.8196329,144.9651296
