Education_Sector,Entity_Type,School_No,School_Name,School_Type,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,Region_Name,AREA_Name,LGA_ID,LGA_Name,X,Y
Catholic,2,20,Parade College,Secondary,1436 Plenty Road,,BUNDOORA,VIC,3083,1436 Plenty Road,,BUNDOORA,VIC,3083,03 9468 3300,NORTH-WESTERN VICTORIA,North Eastern Melbourne,66,Banyule (C),145.06698,-37.69018
Catholic,2,25,Simonds Catholic College,Secondary,273 Victoria Street,,WEST MELBOURNE,VIC,3003,273 Victoria Street,,WEST MELBOURNE,VIC,3003,03 9321 9200,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne (C),144.95288,-37.80597
Catholic,2,26,St Mary’s College Melbourne,Secondary,11 Westbury Street,,ST KILDA EAST,VIC,3183,PO Box 258,,ST KILDA,VIC,3182,03 9529 6611,SOUTH-EASTERN VICTORIA,Bayside Peninsula,590,Port Phillip (C),144.99700,-37.85936
Catholic,2,28,St Patrick's College Ballarat,Secondary,1431 Sturt Street,,BALLARAT,VIC,3350,Locked Bag 31,,BALLARAT,VIC,3350,03 5331 1688,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),143.83156,-37.55971
Catholic,2,29,St Patrick's School,Primary,119 Drummond Street South,,BALLARAT,VIC,3350,PO Box 82W,,BALLARAT WEST,VIC,3350,03 5332 7680,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),143.84715,-37.56440
Catholic,2,30,St Alipius' Parish School,Primary,106-108 Victoria Street,,BALLARAT EAST,VIC,3350,106-108 Victoria Street,,BALLARAT EAST,VIC,3350,03 5331 1816,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),143.87401,-37.56170
Catholic,2,33,Emmanuel College Warrnambool,Secondary,140 Botanic Road,,WARRNAMBOOL,VIC,3280,PO Box 486,,WARRNAMBOOL,VIC,3280,03 5560 0888,SOUTH-WESTERN VICTORIA,Wimmera South West,673,Warrnambool (C),142.47736,-38.37099
Catholic,2,35,Loreto College,Secondary,1600 Sturt Street,,BALLARAT,VIC,3350,1600 Sturt Street,,BALLARAT,VIC,3350,03 5329 6100,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),143.82347,-37.55686
Catholic,2,60,St Mary's School,Primary,39 Malcolm Street,,MANSFIELD,VIC,3722,PO Box 140,,MANSFIELD,VIC,3724,03 5775 2670,NORTH-EASTERN VICTORIA,Ovens Murray,425,Mansfield (S),146.08901,-37.05835
Catholic,2,77,Sacred Heart School,Primary,20 Newcastle St,,NEWPORT,VIC,3015,20 Newcastle St,,NEWPORT,VIC,3015,03 9391 6262,SOUTH-WESTERN VICTORIA,Western Melbourne,311,Hobsons Bay (C),144.88140,-37.84003
Catholic,2,78,St Mary's School,Primary,118 Cecil Street,,WILLIAMSTOWN,VIC,3016,PO Box 283,,WILLIAMSTOWN,VIC,3016,03 9397 7926,SOUTH-WESTERN VICTORIA,Western Melbourne,311,Hobsons Bay (C),144.90089,-37.86350
Catholic,2,98,St Michael’s Primary School,Primary,8-14 Brougham Street,,NORTH MELBOURNE,VIC,3051,8-14 Brougham Street,,NORTH MELBOURNE,VIC,3051,03 9329 9206,SOUTH-WESTERN VICTORIA,Western Melbourne,460,Melbourne (C),144.94625,-37.79330
Catholic,2,104,St Patrick's School,Primary,Ovens Street,,WANGARATTA,VIC,3677,Ovens Street,,WANGARATTA,VIC,3677,03 5721 5795,NORTH-EASTERN VICTORIA,Ovens Murray,670,Wangaratta (RC),146.32195,-36.35616
Catholic,2,107,St Mary's School,Primary,214 Dandenong Road,,ST KILDA EAST,VIC,3183,214 Dandenong Road,,ST KILDA EAST,VIC,3183,03 9510 7420,SOUTH-EASTERN VICTORIA,Bayside Peninsula,590,Port Phillip (C),144.99759,-37.85902
Catholic,2,111,Assumption College,Secondary,Sutherland Street,,KILMORE,VIC,3764,PO Box 111,,KILMORE,VIC,3764,03 5783 5000,NORTH-EASTERN VICTORIA,Goulburn,485,Mitchell (S),144.94763,-37.30101
Catholic,2,113,St Brendan's School,Primary,103 Wellington Street,,FLEMINGTON,VIC,3031,103 Wellington Street,,FLEMINGTON,VIC,3031,03 9376 0249,SOUTH-WESTERN VICTORIA,Western Melbourne,506,Moonee Valley (C),144.93173,-37.78470
Catholic,2,130,Catherine McAuley College,Secondary,164 Barkly Street,,BENDIGO,VIC,3550,164 Barkly Street,,BENDIGO,VIC,3550,03 5445 9100,NORTH-WESTERN VICTORIA,Loddon Campaspe,262,Greater Bendigo (C),144.27336,-36.75344
Catholic,2,132,St Augustine's School,Primary,58 Burke Street,,MARYBOROUGH,VIC,3465,58 Burke Street,,MARYBOROUGH,VIC,3465,03 5460 4440,NORTH-WESTERN VICTORIA,Loddon Campaspe,167,Central Goldfields (S),143.73680,-37.05183
Catholic,2,139,St Mary's School,Primary,5 Hope Avenue,,BAIRNSDALE,VIC,3875,PO Box 1190,,BAIRNSDALE,VIC,3875,03 5152 3706,SOUTH-EASTERN VICTORIA,Outer Gippsland,211,East Gippsland (S),147.58563,-37.84140
Catholic,2,140,St Aloysius' School,Primary,800 Ripon Street South,,REDAN,VIC,3350,PO Box 48R,,REDAN,VIC,3350,03 5335 8177,SOUTH-WESTERN VICTORIA,Central Highlands,57,Ballarat (C),143.83767,-37.57811
Catholic,2,148,St Joseph's School,Primary,571 Glenferrie Road,,HAWTHORN,VIC,3122,571 Glenferrie Road,,HAWTHORN,VIC,3122,03 9818 7570,NORTH-EASTERN VICTORIA,Inner Eastern Melbourne,111,Boroondara (C),145.03432,-37.82646
