ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Address,Latitude,Longitude
Imagine Childcare and Kindergarten Coburg,Imagine Education Early Learning Centres No. 19 Pty Ltd ATF Imagine Education Early Learning Centres No. 19 Unit Trust,Centre-Based Care,311-321 Sydney Rd,COBURG,VIC,3058,393845004,"311-321 Sydney Rd, COBURG, VIC, 3058, Australia",-37.741081,144.9665673
INSPIRE EARLY LEARNING JOURNEY CHADSTONE,INSPIRE O2 EDUCATION HOLDING GROUP PTY LTD,Centre-Based Care,1210 Dandenong Rd,MURRUMBEENA,VIC,3163,395698999,"1210 Dandenong Rd, MURRUMBEENA, VIC, 3163, Australia",-37.8849484,145.0689241
Riverbend PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,1 Communal Rd,WYNDHAM VALE,VIC,3024,1300072410,"1 Communal Rd, WYNDHAM VALE, VIC, 3024, Australia",-37.8754074,144.6266529
In 2 Learn Traralgon South,Tilly's Dream PTY LTD,Centre-Based Care,13-19 Keith Morgan Dr,TRARALGON SOUTH,VIC,3844,490089123,"13-19 Keith Morgan Dr, TRARALGON SOUTH, VIC, 3844, Australia",-38.2981132,146.5416019
Beachwood Frankston South Pty Ltd,BEACHWOOD FRANKSTON SOUTH PTY LTD,Centre-Based Care,105 Humphries Rd,FRANKSTON SOUTH,VIC,3199,387409205,"105 Humphries Rd, FRANKSTON SOUTH, VIC, 3199, Australia",-38.1769223,145.110933
Melton South Early School PTY LTD,AL ZAKARIYAH EARLY LEARNING CENTRE PTY LTD,Centre-Based Care,98 Rees Rd,MELTON SOUTH,VIC,3338,390878600,"98 Rees Rd, MELTON SOUTH, VIC, 3338, Australia",-37.7123718,144.5631355
YMCA Siena OSHC,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,150 Eleanor Dr,LUCAS,VIC,3350,447710398,"150 Eleanor Dr, LUCAS, VIC, 3350, Australia",-37.5462501,143.780934
Mansfield Community Cubby House OSHC,MACE Inc,Centre-Based Care,39 Malcolm St,MANSFIELD,VIC,3722,357751111,"39 Malcolm St, MANSFIELD, VIC, 3722, Australia",-37.0581576,146.087982
Gaayip-Yagila PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,115 Blackmore Rd,MICKLEHAM,VIC,3064,448200063,"115 Blackmore Rd, MICKLEHAM, VIC, 3064, Australia",-37.5277535,144.9090862
Where We Grow ELC Narre Warren,S & E EDUCATION PTY LTD,Centre-Based Care,36 Tinks Rd,NARRE WARREN,VIC,3805,387259959,"36 Tinks Rd, NARRE WARREN, VIC, 3805, Australia",-38.0090214,145.2919016
TeamKids - Brunswick North Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,Pearson St,BRUNSWICK WEST,VIC,3055,1300035000,"Pearson St, BRUNSWICK WEST, VIC, 3055, Australia",-37.7671671,144.9490229
TeamKids - Courtenay Gardens Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,35 Rosebank Dr,CRANBOURNE NORTH,VIC,3977,1300035000,"35 Rosebank Dr, CRANBOURNE NORTH, VIC, 3977, Australia",-38.076057,145.2878915
Kelly Club OSHC Eynesbury Primary School,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Centre-Based Care,750 Eynesbury Rd,EYNESBURY,VIC,3338,401021581,"750 Eynesbury Rd, EYNESBURY, VIC, 3338, Australia",-37.7905976,144.5473224
South Geelong PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"South Geelong Primary School, 200 Yarra St",GEELONG,VIC,3220,447056756,"South Geelong Primary School, 200 Yarra St, GEELONG, VIC, 3220, Australia",-38.1565785,144.3585678
Mickleham North Community Centre,Hume City Council,Centre-Based Care,82-90 St Georges Bvd,MICKLEHAM,VIC,3064,(03) 9356 6440,"82-90 St Georges Bvd, MICKLEHAM, VIC, 3064, Australia",-37.5280657,144.9072032
Happy Feet Drysdale,Four Star Management PTY LTD,Centre-Based Care,118-120 High St,DRYSDALE,VIC,3222,352424999,"118-120 High St, DRYSDALE, VIC, 3222, Australia",-38.1786268,144.5602437
Ferny Creek PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Ferny Creek Primary School, 34 School Rd",FERNY CREEK,VIC,3786,419958268,"Ferny Creek Primary School, 34 School Rd, FERNY CREEK, VIC, 3786, Australia",-37.8841091,145.3349964
Community Kids Haven Ardeer,Al-ishraaq Pty Ltd ATF Ahsan's Family Trust,Centre-Based Care,697-703 Ballarat Rd,ARDEER,VIC,3022,370360105,"697-703 Ballarat Rd, ARDEER, VIC, 3022, Australia",-37.7737262,144.8023253
