School_Name,School_Type,LGA_Name,nearest_stop_name,nearest_stop_distance_m
Warrandyte Primary School,Primary,Manningham (C),Warrandyte Community Church/Yarra St,200.09095258985064
Bacchus Marsh Primary School,Primary,Moorabool (S),Rotary Park/Lerderderg St,229.7395461131378
Berwick Primary School,Primary,Casey (C),Piermont Dr/Fairholme Bvd,163.23712438720767
Cheltenham Primary School,Primary,Bayside (C),Cheltenham Railway Station/Charman Rd,68.09961346919285
Newport Lakes Primary School,Primary,Hobsons Bay (C),Ross St/Melbourne Rd,362.32551893040545
St Andrews Primary School,Primary,Nillumbik (S),Hurstbridge Station/Heidelberg-Kinglake Rd,7814.978676742899
Dromana Primary School,Primary,Mornington Peninsula (S),Visitor Information/Point Nepean Rd,438.07199902729417
Doncaster Primary School,Primary,Manningham (C),Council St/Doncaster Rd,104.29625204284909
Eltham Primary School,Primary,Nillumbik (S),Dalton St/Main Rd,186.02060415487196
Hallam Primary School,Primary,Casey (C),Marshall Pl/Frawley Rd,238.23838933623864
Flemington Primary School,Primary,Moonee Valley (C),Wellington St/Mt Alexander Rd #26,124.48586796612125
Footscray Primary School,Primary,Maribyrnong (C),Barkly St/Victoria St,60.59906304265123
Gisborne Primary School,Primary,Macedon Ranges (S),Fisher St/Aitken St ,184.5960516040891
Sandringham Primary School,Primary,Bayside (C),Sandringham College/Bluff Rd,190.45722608120624
Hawthorn West Primary School,Primary,Boroondara (C),Hawthorn Bridge/Bridge Rd #23,177.5294822289414
Heidelberg Primary School,Primary,Banyule (C),Warringal SC/Cape St,107.17440309744234
Mount Macedon Primary School,Primary,Macedon Ranges (S),Macedon Station/Victoria St ,2844.3762007469695
Melton Primary School,Primary,Melton (C),Melton Civic Centre/High St,268.60093565233586
Fitzroy Primary School,Primary,Yarra (C),Napier St/Johnston St,121.89697803773916
Burwood East Primary School,Primary,Whitehorse (C),Burwood East PS/Highbury Rd,11.13141116252104
New Gisborne Primary School,Primary,Macedon Ranges (S),Argyle St/Station Rd ,86.11450099416895
Essendon Primary School,Primary,Moonee Valley (C),Penleigh & Essendon Grammar Junior School/Raleigh St,139.80054761163728
Coburg Primary School,Primary,Moreland (C),Coburg PS/Bell St,66.75087049797887
Mernda Primary School,Primary,Whittlesea (C),Mernda Village Medical/Mernda Village Dr,145.4571927568918
Riddells Creek Primary School,Primary,Macedon Ranges (S),Riddells Creek Station/Hamilton St ,370.9491841176878
South Yarra Primary School,Primary,Melbourne (C),Lang St/Punt Rd,33.636436191985844
Thomastown Primary School,Primary,Whittlesea (C),Clarke St/Spring St,35.48297617140577
Werribee Primary School,Primary,Wyndham (C),Werribee PS/Wedge St,151.3329551588709
Wallan Primary School,Primary,Mitchell (S),Wallan PS/Dudley St,208.34031314578996
Coimadai Primary School,Primary,Moorabool (S),Grantleigh Dr/Cairns Dr,5123.635867480637
Clayton North Primary School,Primary,Monash (C),Clayton North Primary School/Princes Hwy,26.686930663932905
Preston South Primary School,Primary,Darebin (C),Osborne Gr/Plenty Rd #44,209.75159681963976
Mordialloc Beach Primary School,Primary,Kingston (C),Mordialloc Station/Albert St,92.05981084008299
St Leonards Primary School,Primary,Greater Geelong (C),Wattletree Ave/Murradoc Rd,63.72540157915633
Lilydale Primary School,Primary,Yarra Ranges (S),Castella St/Maroondah Hwy,427.0356510369313
Darraweit Guim Primary School,Primary,Macedon Ranges (S),Poa Pl/Roulston Way,6038.192018992697
Camberwell Primary School,Primary,Boroondara (C),Burke Rd/Camberwell Rd #41,72.43676827743028
Greenvale Primary School,Primary,Hume (C),Heversham Gr/Greenvale Dr,250.8297241239612
Rockbank Primary School,Primary,Melton (C),Rockbank Caravan Park/Westcott Pde,166.4624552469805
Doreen Primary School,Primary,Nillumbik (S),Doctors Gully Rd/Yan Yean Rd,657.9670009867431
Yarra Glen Primary School,Primary,Yarra Ranges (S),Melba Hwy/Armstrong Gr,546.5357826459093
Westmeadows Primary School,Primary,Hume (C),Riddell St/Raleigh St,166.8931429828402
Sunbury Primary School,Primary,Hume (C),Sunbury PS/Circular Dr,208.4252783982155
Diamond Creek Primary School,Primary,Nillumbik (S),Clyde St/Collins St,172.7341241004306
Vermont Primary School,Primary,Whitehorse (C),Mitcham Rd/Canterbury Rd,145.60511027196796
Balwyn Primary School,Primary,Boroondara (C),Whitehorse Rd/Balwyn Rd,87.47762818208778
Scoresby Primary School,Primary,Knox (C),Hilary St/Borg Cres,343.6635457600871
Wandin Yallock Primary School,Primary,Yarra Ranges (S),Wandin Fire Brigade/Warburton Hwy,1091.1371333416816
Yering Primary School,Primary,Yarra Ranges (S),Killara Rd/Maroondah Hwy,2147.9996166106016
Mickleham Primary School,Primary,Hume (C),Trillium Bvd/Mt Ridley Rd,1455.4378737821846
Bolinda Primary School,Primary,Macedon Ranges (S),Monegeetta Milk Bar/Melbourne-Lancefield Rd,2222.2385548951593
Kew Primary School,Primary,Boroondara (C),Holy Trinity Church/High St,222.08575676731266
Sorrento Primary School,Primary,Mornington Peninsula (S),Ocean Beach Rd/Kerferd Ave,129.96461433949875
Hastings Primary School,Primary,Mornington Peninsula (S),Hodgins Rd/Victoria St,50.43824040271226
Moorabbin Primary School,Primary,Kingston (C),Worthing Rd/Nepean Hwy,92.45741823035415
Panton Hill Primary School,Primary,Nillumbik (S),Hurstbridge Station/Heidelberg-Kinglake Rd,4063.9750181896297
Leopold Primary School,Primary,Greater Geelong (C),Dunsford Dr/Kensington Rd,45.28317695295213
Glen Iris Primary School,Primary,Boroondara (C),Barina Rd/High St,179.07626363819705
Albert Park Primary School,Primary,Port Phillip (C),Bridport St/Victoria Ave #29,55.73543799978824
Williamstown Primary School,Primary,Hobsons Bay (C),Cole St/Nelson Pl,263.07040179523693
Queenscliff Primary School,Primary,Queenscliffe (B),Bethune St/King St,273.8565448871666
Skye Primary School,Primary,Frankston (C),Carrum Downs Plaza/McCormicks Rd,649.7455446769955
Upper Plenty Primary School,Primary,Mitchell (S),Wallan Station,4709.069136861407
Carlton North Primary School,Primary,Yarra (C),O'Grady St/Rathdowne St,112.86339631755135
Lower Plenty Primary School,Primary,Banyule (C),Prosperity Rd/Main Rd ,62.679943880122174
Clifton Hill Primary School,Primary,Yarra (C),Wellington St/Queens Pde #23,296.2786999241907
Christmas Hills Primary School,Primary,Nillumbik (S),Herbert St/Melba Hwy,6213.66816913763
Mount Eliza Primary School,Primary,Mornington Peninsula (S),Wooralla Dr/Nepean Hwy ,118.65843128321823
Northcote Primary School,Primary,Darebin (C),Mitchell St/High St #32,162.39099433225115
North Melbourne Primary School,Primary,Melbourne (C),Harcourt St/Courtney St,64.42941912227111
Dandenong Primary School,Primary,Greater Dandenong (C),Foster St/McCrae St,164.28168601015506
Williamstown North Primary School,Primary,Hobsons Bay (C),Williamstown North PS/Melbourne Rd,32.92891785097971
Cairnlea Park Primary School,Primary,Brimbank (C),Cairnlea Park PS/Furlong Rd,147.28674162873537
Frankston Primary School,Primary,Frankston (C),Frankston Arts Centre/Davey St,135.55203473772724
Beveridge Primary School,Primary,Mitchell (S),Mantel Grn/Lithgow St,1904.4087187373345
St Kilda Primary School,Primary,Port Phillip (C),St Kilda Primary School/Brighton Rd #36,56.18372405289058
Fitzroy North Primary School,Primary,Yarra (C),Alfred Cres/St Georges Rd #21,180.5512903514578
Preston Primary School,Primary,Darebin (C),Preston Primary School/Tyler St,104.682149624744
Tooradin Primary School,Primary,Casey (C),Bayview Rd/South Gippsland Hwy,317.69456623751927
Glenferrie Primary School,Primary,Boroondara (C),Manningtree Rd/Glenferrie Rd #72,88.50066282555255
Brighton Primary School,Primary,Bayside (C),Brighton PS/Male St,96.30646850460516
Barwon Heads Primary School,Primary,Greater Geelong (C),Barnett Cl/Golf Links Rd,56.502089288185545
Keilor Primary School,Primary,Brimbank (C),Keilor SC/Old Calder Hwy,262.4261459933211
Oakleigh Primary School,Primary,Monash (C),Dandenong Rd/Warrigal Rd,71.65375251174184
Malvern Central School,Primary,Stonnington (C),De La Salle College/High St #45,184.2466156415303
Drysdale Primary School,Primary,Greater Geelong (C),Drysdale Primary School/Clifton Springs Rd,49.95717959826882
Macedon Primary School,Primary,Macedon Ranges (S),Macedon Station/Victoria St ,497.14188003646984
Arthurs Creek Primary School,Primary,Nillumbik (S),Daisy Hill Rd/Yan Yean Rd,5327.418028846089
Rye Primary School,Primary,Mornington Peninsula (S),Nelson St/Lyons St,87.6583523818654
Harkaway Primary School,Primary,Casey (C),Sittella Dr/Whistler Dr,1662.990574968627
Balnarring Primary School,Primary,Mornington Peninsula (S),Balnarring Village SC/Frankston-Flinders Rd,435.0009267481543
Silvan Primary School,Primary,Yarra Ranges (S),279 Monbulk Rd,293.7855075702162
Lysterfield Primary School,Primary,Knox (C),Lakesfield Dr/Napoleon Rd,154.19596640801714
Abbotsford Primary School,Primary,Yarra (C),Church St/Victoria St #21,224.963480574244
Windsor Primary School,Primary,Stonnington (C),Hornby St/Dandenong Rd #33,100.79917762476919
Narre Warren North Primary School,Primary,Casey (C),Randle Ct/Heatherton Rd,453.86965465724006
Moolap Primary School,Primary,Greater Geelong (C),Point Henry Rd/Portarlington Rd,286.8380875249795
Footscray City Primary School,Primary,Maribyrnong (C),Footscray City PS/Bristow St,51.08579638682396
Plenty Parklands Primary School,Primary,Whittlesea (C),Plenty Parklands PS/Blossom Park Dr,76.8096360518785
Little River Primary School,Primary,Wyndham (C),Little River Station ,262.73403592245944
Morang South Primary School,Primary,Whittlesea (C),Riverside Dr/Gorge Rd,189.70804912997744
Mornington Primary School,Primary,Mornington Peninsula (S),Mornington PS/Tanti Ave,201.44560127256722
Brighton Beach Primary School,Primary,Bayside (C),Windermere Cres/New St,194.78346983171764
Yarrambat Primary School,Primary,Nillumbik (S),Yarrambat Primary School/Yan Yean Rd ,127.94109837166471
Greensborough Primary School,Primary,Banyule (C),Church St/Grimshaw St,145.0672502367562
Cranbourne Primary School,Primary,Casey (C),Sladen St/Narre Warren-Cranbourne Rd ,238.682661869761
Whittlesea Primary School,Primary,Whittlesea (C),Whittlesea Primary School/Plenty Rd ,74.38504754047378
Kangaroo Ground Primary School,Primary,Nillumbik (S),Kangaroo Ground PS/Graham Rd,35.610025556754195
