Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,"Prep Total""""","Year 1 Total""""","Year 2 Total""""","Year 3 Total""""","Year 4 Total""""","Year 5 Total""""","Year 6 Total""""","Primary Ungraded Total""""","Primary Total""""","Year 7 Total""""","Year 8 Total""""","Year 9 Total""""","Year 10 Total""""","Year 11 Total""""","Year 12 Total""""","Secondary Ungraded Total""""","Secondary Total""""","Grand Total""""",Year,CENSUS_TYPE
Catholic,2,20,Parade College,Secondary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,0,0,0,0,0,0,0,0,0,360,329,338,311,304,304,0,1946,1946,2024,F
Catholic,2,25,Simonds Catholic College,Secondary,O,SOUTH-WESTERN VICTORIA,Melbourne (C),Western Melbourne,0,0,0,0,0,0,0,0,0,52,71,64,82,65,66,0,400,400,2024,F
Catholic,2,26,St Mary’s College Melbourne,Secondary,O,SOUTH-EASTERN VICTORIA,Port Phillip (C),Bayside Peninsula,0,0,0,0,0,0,0,0,0,57,71,85,85,76,100,0,474,474,2024,F
Catholic,2,28,St Patrick's College Ballarat,Secondary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,0,0,0,0,0,0,0,0,0,211,220,243,233,200,184,0,1291,1291,2024,F
Catholic,2,29,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,29,27,35,35,43,36,39,0,244,0,0,0,0,0,0,0,0,244,2024,F
Catholic,2,30,St Alipius' Parish School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,38,34,25,34,41,34,31,0,237,0,0,0,0,0,0,0,0,237,2024,F
Catholic,2,33,Emmanuel College Warrnambool,Secondary,O,SOUTH-WESTERN VICTORIA,Warrnambool (C),Wimmera South West,0,0,0,0,0,0,0,0,0,257,233,231,211.1,212,179.1,0,1323.2,1323.2,2024,F
Catholic,2,35,Loreto College,Secondary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,0,0,0,0,0,0,0,0,0,157,157,158,174,149,165,0,960,960,2024,F
Catholic,2,60,St Mary's School,Primary,O,NORTH-EASTERN VICTORIA,Mansfield (S),Ovens Murray,16,28,25,16.2,17,26,29,0,157.2,0,0,0,0,0,0,0,0,157.2,2024,F
Catholic,2,77,Sacred Heart School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,39,40,44,41,47,43,47,0,301,0,0,0,0,0,0,0,0,301,2024,F
Catholic,2,78,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,34,50,34,30,34,36,37.6,0,255.6,0,0,0,0,0,0,0,0,255.6,2024,F
Catholic,2,98,St Michael’s Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Melbourne (C),Western Melbourne,33,44,25,43,27,31,21,0,224,0,0,0,0,0,0,0,0,224,2024,F
Catholic,2,104,St Patrick's School,Primary,O,NORTH-EASTERN VICTORIA,Wangaratta (RC),Ovens Murray,37,28,33,44,31.6,29,51,0,253.6,0,0,0,0,0,0,0,0,253.6,2024,F
Catholic,2,107,St Mary's School,Primary,O,SOUTH-EASTERN VICTORIA,Port Phillip (C),Bayside Peninsula,17,13,14,22,21,29,17,0,133,0,0,0,0,0,0,0,0,133,2024,F
Catholic,2,111,Assumption College,Secondary,O,NORTH-EASTERN VICTORIA,Mitchell (S),Goulburn,0,0,0,0,0,0,0,0,0,277,245,269,260,207,221,0,1479,1479,2024,F
Catholic,2,113,St Brendan's School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,8,14,6,16,13,8,15,0,80,0,0,0,0,0,0,0,0,80,2024,F
Catholic,2,130,Catherine McAuley College,Secondary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,0,0,0,0,0,0,0,0,0,320,304,287,281,196,181,0,1569,1569,2024,F
Catholic,2,132,St Augustine's School,Primary,O,NORTH-WESTERN VICTORIA,Central Goldfields (S),Loddon Campaspe,38,30,35,47,33,25,48,0,256,0,0,0,0,0,0,0,0,256,2024,F
Catholic,2,139,St Mary's School,Primary,O,SOUTH-EASTERN VICTORIA,East Gippsland (S),Outer Gippsland,64,58,71,66,78,62,73,0,472,0,0,0,0,0,0,0,0,472,2024,F
Catholic,2,140,St Aloysius' School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,35,38,31,35,41,30,32,0,242,0,0,0,0,0,0,0,0,242,2024,F
Catholic,2,148,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,61,69,63,72,60,31,30,0,386,0,0,0,0,0,0,0,0,386,2024,F
Catholic,2,149,Sacre Coeur,Pri/Sec,O,SOUTH-EASTERN VICTORIA,Stonnington (C),Bayside Peninsula,12,16,25,22,17,42,43,0,177,78,94,79,72,86,90,0,499,676,2024,F
Catholic,2,151,St Joseph's School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,33,17,26,28,22,27,21,0,174,0,0,0,0,0,0,0,0,174,2024,F
Catholic,2,152,Sacred Heart School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,22,14,14.4,17,18,14,13,0,112.4,0,0,0,0,0,0,0,0,112.4,2024,F
Catholic,2,153,Sacred Heart School,Primary,O,SOUTH-EASTERN VICTORIA,Latrobe (C),Inner Gippsland,16,12,13,12,21,18,12,0,104,0,0,0,0,0,0,0,0,104,2024,F
Catholic,2,154,St Michael's School,Primary,O,SOUTH-EASTERN VICTORIA,Latrobe (C),Inner Gippsland,58,59,58,59,68,75,71.6,0,448.6,0,0,0,0,0,0,0,0,448.6,2024,F
Catholic,2,156,St Brendan's School,Primary,O,NORTH-EASTERN VICTORIA,Greater Shepparton (C),Goulburn,45,42,47,58,53,51,61,0,357,0,0,0,0,0,0,0,0,357,2024,F
Catholic,2,161,St Mary's College,Pri/Sec,O,NORTH-EASTERN VICTORIA,Mitchell (S),Goulburn,31,32,31,45,50,47,44,0,280,68,64,65,52,37,0,0,286,566,2024,F
Catholic,2,181,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Buloke (S),Mallee,5,2,5,3,7,4,4,0,30,0,0,0,0,0,0,0,0,30,2024,F
Catholic,2,183,St Mary's Primary School,Primary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,25,22,25,25,26,29,28,0,180,0,0,0,0,0,0,0,0,180,2024,F
Catholic,2,184,St Patrick's Primary School,Primary,O,NORTH-EASTERN VICTORIA,Mitchell (S),Goulburn,83,79,81,82,84,81,84,0,574,0,0,0,0,0,0,0,0,574,2024,F
Catholic,2,185,St Brigid's School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,17,28,11,12,22,12,9,0,111,0,0,0,0,0,0,0,0,111,2024,F
Catholic,2,187,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,8,24,9,10,7,6,4,0,68,0,0,0,0,0,0,0,0,68,2024,F
Catholic,2,191,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,32,37,26,27,32,20,26,0,200,0,0,0,0,0,0,0,0,200,2024,F
Catholic,2,192,St Augustine's School,Primary,O,SOUTH-WESTERN VICTORIA,Hepburn (S),Central Highlands,21,20,21,17,19,15,22,0,135,0,0,0,0,0,0,0,0,135,2024,F
Catholic,2,204,St Monica's School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,38,43,45,36,54,50,38.4,0,304.4,0,0,0,0,0,0,0,0,304.4,2024,F
Catholic,2,205,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Benalla (RC),Ovens Murray,57,57,47.6,55,48,64,49,0,377.6,0,0,0,0,0,0,0,0,377.6,2024,F
Catholic,2,219,Sacred Heart College,Secondary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,0,0,0,0,0,0,0,0,0,282,230,233,233,251,219,0,1448,1448,2024,F
Catholic,2,227,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Northern Grampians (S),Wimmera South West,14,19,15,20,20,9,12,0,109,0,0,0,0,0,0,0,0,109,2024,F
Catholic,2,236,St Joseph's College Mildura,Secondary,O,NORTH-WESTERN VICTORIA,Mildura (RC),Mallee,0,0,0,0,0,0,0,0,0,187,175,181,133,102,85,0,863,863,2024,F
Catholic,2,250,Star of the Sea College,Secondary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,0,0,0,0,0,0,0,0,0,192,201,217,208,185,187,0,1190,1190,2024,F
Catholic,2,251,St James' School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,20,18,14,28,18,26,23,0,147,0,0,0,0,0,0,0,0,147,2024,F
Catholic,2,252,St Peter's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,79,87,92,96,93,89,98,0,634,0,0,0,0,0,0,0,0,634,2024,F
Catholic,2,262,St Liborius' School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,29,43,32,33,33,38,46,0,254,0,0,0,0,0,0,0,0,254,2024,F
Catholic,2,265,Damascus College,Secondary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,0,0,0,0,0,0,0,0,0,234,206,208,201,185,174,0,1208,1208,2024,F
Catholic,2,285,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Mount Alexander (S),Loddon Campaspe,7,9,14,17,13,11,10,0,81,0,0,0,0,0,0,0,0,81,2024,F
Catholic,2,286,Sacred Heart College,Secondary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,0,0,0,0,0,0,0,0,0,181,129,147,156,135,97,0,845,845,2024,F
Catholic,2,289,St Ambrose's School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,31,24,35,33,41,31,25,0,220,0,0,0,0,0,0,0,0,220,2024,F
Catholic,2,299,St Joseph's School,Primary,O,NORTH-WESTERN VICTORIA,Buloke (S),Mallee,4,3,6,4,4.2,4,6,0,31.2,0,0,0,0,0,0,0,0,31.2,2024,F
Catholic,2,324,Sacred Heart School,Primary,O,NORTH-EASTERN VICTORIA,Greater Shepparton (C),Goulburn,38,39,30,35,32,38,27,0,239,0,0,0,0,0,0,0,0,239,2024,F
Catholic,2,336,St Paul's School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,33,30,23,24,34.6,33,35,0,212.6,0,0,0,0,0,0,0,0,212.6,2024,F
Catholic,2,338,St Andrew's School,Primary,O,SOUTH-WESTERN VICTORIA,Wyndham (C),Western Melbourne,44,34,36,42,44,44,52,0,296,0,0,0,0,0,0,0,0,296,2024,F
Catholic,2,353,St Brigid's School,Primary,O,NORTH-WESTERN VICTORIA,Macedon Ranges (S),Loddon Campaspe,31,22,34,25,35,22,34,0,203,0,0,0,0,0,0,0,0,203,2024,F
Catholic,2,355,Our Lady of Mount Carmel School,Primary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,40,29,38,42,31,38,41,0,259,0,0,0,0,0,0,0,0,259,2024,F
Catholic,2,367,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Indigo (S),Ovens Murray,3,6,3,6,3,5,4,0,30,0,0,0,0,0,0,0,0,30,2024,F
Catholic,2,368,St Mary's School,Primary,O,NORTH-EASTERN VICTORIA,Indigo (S),Ovens Murray,17,10,9,21,14,20,12,0,103,0,0,0,0,0,0,0,0,103,2024,F
Catholic,2,379,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Loddon (S),Loddon Campaspe,1,1,0,1,6,5,2,0,16,0,0,0,0,0,0,0,0,16,2024,F
Catholic,2,384,FCJ College,Secondary,O,NORTH-EASTERN VICTORIA,Benalla (RC),Ovens Murray,0,0,0,0,0,0,0,0,0,96,90,78,64,59.2,71.4,0,458.6,458.6,2024,F
Catholic,2,386,St Patrick's School,Primary,O,SOUTH-EASTERN VICTORIA,Cardinia (S),Southern Melbourne,35,45,48,52.4,51,51,66,0,348.4,0,0,0,0,0,0,0,0,348.4,2024,F
Catholic,2,401,Sacred Heart Primary School,Primary,O,NORTH-EASTERN VICTORIA,Moira (S),Goulburn,62,44,57,60,50,74,66,0,413,0,0,0,0,0,0,0,0,413,2024,F
Catholic,2,404,Xavier College,Pri/Sec,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,22,24,33,25,37,95,100,0,336,159,167,173,246,246,235,0,1226,1562,2024,F
Catholic,2,409,St Joseph's School,Primary,O,SOUTH-WESTERN VICTORIA,Southern Grampians (S),Wimmera South West,2,6,2,3,4,1,3,0,21,0,0,0,0,0,0,0,0,21,2024,F
Catholic,2,411,Marian College,Secondary,O,SOUTH-WESTERN VICTORIA,Ararat (RC),Central Highlands,0,0,0,0,0,0,0,0,0,63,71,65,62,63,62,0,386,386,2024,F
Catholic,2,413,Sacred Heart School,Primary,O,SOUTH-WESTERN VICTORIA,Glenelg (S),Wimmera South West,2,5,5,3,2,7,4,0,28,0,0,0,0,0,0,0,0,28,2024,F
Catholic,2,414,St Bernard's School,Primary,O,SOUTH-WESTERN VICTORIA,Moorabool (S),Central Highlands,43,42,55,41,48,41,44,0,314,0,0,0,0,0,0,0,0,314,2024,F
Catholic,2,445,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Moyne (S),Wimmera South West,21,18,17,12,14,4,14,0,100,0,0,0,0,0,0,0,0,100,2024,F
Catholic,2,467,Academy of Mary Immaculate,Secondary,O,NORTH-WESTERN VICTORIA,Yarra (C),North Eastern Melbourne,0,0,0,0,0,0,0,0,0,79,102,103,121,125,103,0,633,633,2024,F
Catholic,2,468,Sacred Heart School,Primary,O,NORTH-WESTERN VICTORIA,Yarra (C),North Eastern Melbourne,25,22,23,19.4,20,21,19,0,149.4,0,0,0,0,0,0,0,0,149.4,2024,F
Catholic,2,474,Mount Lilydale Mercy College,Secondary,O,NORTH-EASTERN VICTORIA,Yarra Ranges (S),Outer Eastern Melbourne,0,0,0,0,0,0,0,0,0,286,277,283,240,254,197,0,1537,1537,2024,F
Catholic,2,477,St Monica's School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,11,14,9,16,10,18,11,0,89,0,0,0,0,0,0,0,0,89,2024,F
Catholic,2,478,St Augustine's School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,28,24,12,21,21,23.6,17,0,146.6,0,0,0,0,0,0,0,0,146.6,2024,F
Catholic,2,486,Ss Michael and John's Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Horsham (RC),Wimmera South West,53,45,38,44,41,35,30,0,286,0,0,0,0,0,0,0,0,286,2024,F
Catholic,2,495,Trinity College Colac,Secondary,O,SOUTH-WESTERN VICTORIA,Colac-Otway (S),Barwon,0,0,0,0,0,0,0,0,0,152,119,138,138,101,124,0,772,772,2024,F
Catholic,2,496,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Colac-Otway (S),Barwon,41,29,33,43,37,36.4,50.2,0,269.6,0,0,0,0,0,0,0,0,269.6,2024,F
Catholic,2,500,Kilbreda College,Secondary,O,SOUTH-EASTERN VICTORIA,Kingston (C),Bayside Peninsula,0,0,0,0,0,0,0,0,0,174,163,152,161,140,136,0,926,926,2024,F
Catholic,2,501,Padua College,Secondary,O,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),Bayside Peninsula,0,0,0,0,0,0,0,0,0,473,416,470,456,378,368,0,2561,2561,2024,F
Catholic,2,515,Notre Dame College,Secondary,O,NORTH-EASTERN VICTORIA,Greater Shepparton (C),Goulburn,0,0,0,0,0,0,0,0,0,290,287,303,292.6,263,228,0,1663.6,1663.6,2024,F
Catholic,2,518,Sacred Heart College,Secondary,O,NORTH-EASTERN VICTORIA,Moira (S),Goulburn,0,0,0,0,0,0,0,0,0,54,50,43,38,30,39,0,254,254,2024,F
Catholic,2,525,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Moira (S),Goulburn,28,33,33.2,35,43.2,23,37,0,232.4,0,0,0,0,0,0,0,0,232.4,2024,F
Catholic,2,539,St Joseph's School,Primary,O,SOUTH-WESTERN VICTORIA,Warrnambool (C),Wimmera South West,86,90,90,86,100,79,78,0,609,0,0,0,0,0,0,0,0,609,2024,F
Catholic,2,548,St Ignatius College Geelong,Secondary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,0,0,0,0,0,0,0,0,0,260,249,247,242,226,218,0,1442,1442,2024,F
Catholic,2,549,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,31,28,24,37,34,34,39,0,227,0,0,0,0,0,0,0,0,227,2024,F
Catholic,2,550,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,61,50,74,49,60,75,53,0,422,0,0,0,0,0,0,0,0,422,2024,F
Catholic,2,566,St Monica's Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,75,77,77,73,74,69,81,0,526,0,0,0,0,0,0,0,0,526,2024,F
Catholic,2,567,St Patrick's School,Primary,O,NORTH-EASTERN VICTORIA,Yarra Ranges (S),Outer Eastern Melbourne,36,34,33,38,32,27,26,0,226,0,0,0,0,0,0,0,0,226,2024,F
Catholic,2,576,Catholic Ladies' College Ltd,Secondary,O,NORTH-WESTERN VICTORIA,Nillumbik (S),North Eastern Melbourne,0,0,0,0,0,0,0,0,0,202,171,142,119,138,126,0,898,898,2024,F
Catholic,2,579,St Joseph's School,Primary,O,NORTH-WESTERN VICTORIA,Yarra (C),North Eastern Melbourne,13,6,6,16,8,11,10,0,70,0,0,0,0,0,0,0,0,70,2024,F
Catholic,2,581,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Yarriambiack (S),Wimmera South West,11,12,7,12,9,6,8,0,65,0,0,0,0,0,0,0,0,65,2024,F
Catholic,2,584,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Campaspe (S),Loddon Campaspe,90,78,87,91,77,80,99,0,602,0,0,0,0,0,0,0,0,602,2024,F
Catholic,2,590,Sacred Heart School,Primary,O,NORTH-EASTERN VICTORIA,Boroondara (C),Inner Eastern Melbourne,24,35,38.6,32,25,20,15,0,189.6,0,0,0,0,0,0,0,0,189.6,2024,F
Catholic,2,594,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Ararat (RC),Central Highlands,15,12,18,19,14,23,20,0,121,0,0,0,0,0,0,0,0,121,2024,F
Catholic,2,595,St Joseph's College,Secondary,O,NORTH-WESTERN VICTORIA,Campaspe (S),Loddon Campaspe,0,0,0,0,0,0,0,0,0,223.8,246,198,174.6,150,133,0,1125.4,1125.4,2024,F
Catholic,2,599,St Patrick's School,Primary,O,SOUTH-WESTERN VICTORIA,Moyne (S),Wimmera South West,17,24,27,23,26,26,31,0,174,0,0,0,0,0,0,0,0,174,2024,F
Catholic,2,603,St Joseph's School,Primary,O,NORTH-WESTERN VICTORIA,Campaspe (S),Loddon Campaspe,7,12,15,18,9,20,19,0,100,0,0,0,0,0,0,0,0,100,2024,F
Catholic,2,605,St Aloysius College,Secondary,O,SOUTH-WESTERN VICTORIA,Melbourne (C),Western Melbourne,0,0,0,0,0,0,0,0,0,153,143,73,54,65,69,0,557,557,2024,F
Catholic,2,607,All Saints Parish School,Primary,O,SOUTH-WESTERN VICTORIA,Glenelg (S),Wimmera South West,21,31,35,47,39,34,39.2,0,246.2,0,0,0,0,0,0,0,0,246.2,2024,F
Catholic,2,625,Catholic College Sale,Secondary,O,SOUTH-EASTERN VICTORIA,Wellington (S),Outer Gippsland,0,0,0,0,0,0,0,0,0,168,165,164,153,151,129,0,930,930,2024,F
