Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Region_Name,LGA_Name,AREA_Name,LGA_TYPE,"""Prep Total""","""Year 1 Total""","""Year 2 Total""","""Year 3 Total""","""Year 4 Total""","""Year 5 Total""","""Year 6 Total""","""Primary Ungraded Total""","""Primary Total""","""Year 7 Total""","""Year 8 Total""","""Year 9 Total""","""Year 10 Total""","""Year 11 Total""","""Year 12 Total""","""Secondary Ungraded Total""","""Secondary Total""","""Grand Total""",Year,CENSUS_TYPE
Catholic,2,1527,St Margaret Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,Metro,24,26,32.4,15,33,11,20,0,161.4,0,0,0,0,0,0,0,0,161.4,2025,F
Catholic,2,1528,Monivae College,Secondary,O,SOUTH-WESTERN VICTORIA,Southern Grampians (S),Wimmera South West,Non Metro,0,0,0,0,0,0,0,0,0,115,107,97,103,96,81,0,599,599,2025,F
Catholic,2,1530,St Anthony's School,Primary,O,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),Southern Melbourne,Metro,45,38,43,42,48,50,29,0,295,0,0,0,0,0,0,0,0,295,2025,F
Catholic,2,1531,St Peter's School,Primary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,Metro,19,18,19,24,23,15.6,27,0,145.6,0,0,0,0,0,0,0,0,145.6,2025,F
Catholic,2,1532,St Joseph's School,Primary,O,SOUTH-WESTERN VICTORIA,Yarriambiack (S),Wimmera South West,Non Metro,7,2,9,6,4,3,6,0,37,0,0,0,0,0,0,0,0,37,2025,F
Catholic,2,1534,St John Bosco's School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,Metro,49,49,54,51,68,67,74,0,412,0,0,0,0,0,0,0,0,412,2025,F
Catholic,2,1537,Holy Family School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,Non Metro,54,33,62,43,42,50,58,0,342,0,0,0,0,0,0,0,0,342,2025,F
Catholic,2,1538,Holy Spirit Parish School,Primary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,Non Metro,45,42,46,46,48,42,52.4,0,321.4,0,0,0,0,0,0,0,0,321.4,2025,F
Catholic,2,1539,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,Metro,75,70,59,80,85,81,74,0,524,0,0,0,0,0,0,0,0,524,2025,F
Catholic,2,1541,Mother of God School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,Metro,13,20,15,16,19,14,16,0,113,0,0,0,0,0,0,0,0,113,2025,F
Catholic,2,1542,St Peter Chanel School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,Metro,64,69,76,72,73,74,74,0,502,0,0,0,0,0,0,0,0,502,2025,F
Catholic,2,1543,Christ the King Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,Metro,24,27,30,32,32,38,33,0,216,0,0,0,0,0,0,0,0,216,2025,F
Catholic,2,1545,Corpus Christi School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,Metro,24,26,30,31,19,24,17,0,171,0,0,0,0,0,0,0,0,171,2025,F
Catholic,2,1547,Killester College,Secondary,O,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),Southern Melbourne,Metro,0,0,0,0,0,0,0,0,0,168,168,168,158,168,160,0,990,990,2025,F
Catholic,2,1549,St Paul's School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,Metro,66,73,70,72,78,80,69,0,508,0,0,0,0,0,0,0,0,508,2025,F
Catholic,2,1551,Clonard College,Secondary,O,SOUTH-WESTERN VICTORIA,Greater Geelong (C),Barwon,Non Metro,0,0,0,0,0,0,0,0,0,165,168,158,154,156,151,0,952,952,2025,F
Catholic,2,1554,Stella Maris School,Primary,O,SOUTH-EASTERN VICTORIA,Bayside (C),Bayside Peninsula,Metro,22,19,23,18,18,18,25,0,143,0,0,0,0,0,0,0,0,143,2025,F
Catholic,2,1555,St Therese's School,Primary,O,NORTH-WESTERN VICTORIA,Greater Bendigo (C),Loddon Campaspe,Non Metro,73,55,72,64,66,65,68,0,463,0,0,0,0,0,0,0,0,463,2025,F
Catholic,2,1556,St Bernadette's School,Primary,O,SOUTH-WESTERN VICTORIA,Brimbank (C),Brimbank Melton,Metro,47,45,47,45,54,55,46,0,339,0,0,0,0,0,0,0,0,339,2025,F
Catholic,2,1557,St James' School,Primary,O,SOUTH-WESTERN VICTORIA,Ballarat (C),Central Highlands,Non Metro,34,26,25,25,25,21,10,0,166,0,0,0,0,0,0,0,0,166,2025,F
Catholic,2,1560,Sacred Heart School,Primary,O,NORTH-WESTERN VICTORIA,Mildura (RC),Mallee,Non Metro,44,43,42,47,45,52,45,0,318,0,0,0,0,0,0,0,0,318,2025,F
Catholic,2,1563,St Margaret's Primary School,Primary,O,SOUTH-WESTERN VICTORIA,Maribyrnong (C),Western Melbourne,Metro,66,63,61,70.6,65,66,52,0,443.6,0,0,0,0,0,0,0,0,443.6,2025,F
Catholic,2,1564,Immaculate Heart of Mary School,Primary,O,SOUTH-EASTERN VICTORIA,Latrobe (C),Inner Gippsland,Non Metro,44,41,43,46,25,37,26,0,262,0,0,0,0,0,0,0,0,262,2025,F
Catholic,2,1565,Holy Family School,Primary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,Metro,22,43,24,38,40,40,42,0,249,0,0,0,0,0,0,0,0,249,2025,F
Catholic,2,1566,St Gerard's School,Primary,O,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),Southern Melbourne,Metro,19,17,19,18,19,27,17,0,136,0,0,0,0,0,0,0,0,136,2025,F
Catholic,2,1568,St Mel's School,Primary,O,NORTH-EASTERN VICTORIA,Greater Shepparton (C),Goulburn,Non Metro,27,23,24,24,27,18,16,0,159,0,0,0,0,0,0,0,0,159,2025,F
Catholic,2,1569,Our Lady of Perpetual Succour School,Primary,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,Metro,8,23,19,10,23,19,20,0,122,0,0,0,0,0,0,0,0,122,2025,F
Catholic,2,1570,St Catherine's School,Primary,O,SOUTH-EASTERN VICTORIA,Kingston (C),Bayside Peninsula,Metro,12,8,15,10.4,14,12,14,0,85.4,0,0,0,0,0,0,0,0,85.4,2025,F
Catholic,2,1571,Sacred Heart Girls' College,Secondary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,Metro,0,0,0,0,0,0,0,0,0,158.4,166,147,154,163,148,0,936.4,936.4,2025,F
Catholic,2,1575,St Vincent de Paul's School,Primary,O,SOUTH-EASTERN VICTORIA,Latrobe (C),Inner Gippsland,Non Metro,28,22,31,36,30,41,30,0,218,0,0,0,0,0,0,0,0,218,2025,F
Catholic,2,1578,St Mary's School,Primary,O,NORTH-WESTERN VICTORIA,Buloke (S),Mallee,Non Metro,3,5,7,3,5,5,9,0,37,0,0,0,0,0,0,0,0,37,2025,F
Catholic,2,1579,St Joseph's School,Primary,O,NORTH-EASTERN VICTORIA,Yarra Ranges (S),Outer Eastern Melbourne,Metro,6,15,9,14,8,13,21,0,86,0,0,0,0,0,0,0,0,86,2025,F
Catholic,2,1581,St Brendan's School,Primary,O,SOUTH-EASTERN VICTORIA,East Gippsland (S),Outer Gippsland,Non Metro,36,30,38,39,34,33,37,0,247,0,0,0,0,0,0,0,0,247,2025,F
Catholic,2,1582,St Martin of Tours School,Primary,O,NORTH-WESTERN VICTORIA,Banyule (C),North Eastern Melbourne,Metro,63,60,67,65,64,71,75,0,465,0,0,0,0,0,0,0,0,465,2025,F
Catholic,2,1583,St Michael's School,Primary,O,NORTH-EASTERN VICTORIA,Towong (S),Ovens Murray,Non Metro,16,13,14,11,11,9,8,0,82,0,0,0,0,0,0,0,0,82,2025,F
Catholic,2,1584,Christ Our Holy Redeemer School,Primary,O,NORTH-EASTERN VICTORIA,Monash (C),Inner Eastern Melbourne,Metro,18,15,16,18,24,18,26.6,0,135.6,0,0,0,0,0,0,0,0,135.6,2025,F
Catholic,2,1585,Our Lady of the Nativity School,Primary,O,SOUTH-WESTERN VICTORIA,Moonee Valley (C),Western Melbourne,Metro,51,49,51,52,48,54,56,0,361,0,0,0,0,0,0,0,0,361,2025,F
Catholic,2,1588,St John's Regional College,Secondary,O,SOUTH-EASTERN VICTORIA,Greater Dandenong (C),Southern Melbourne,Metro,0,0,0,0,0,0,0,0,0,129,119,82,103,80,103,0,616,616,2025,F
Catholic,2,1589,Nagle College,Secondary,O,SOUTH-EASTERN VICTORIA,East Gippsland (S),Outer Gippsland,Non Metro,0,0,0,0,0,0,0,0,0,160,155,161,136,115,90,0,817,817,2025,F
Catholic,2,1590,St Mary's School,Pri/Sec,O,NORTH-WESTERN VICTORIA,Swan Hill (RC),Mallee,Non Metro,39,34,36,30,33,33,31,0,236,29,21,0,0,0,0,0,50,286,2025,F
Catholic,2,1591,Our Lady's School,Primary,O,NORTH-EASTERN VICTORIA,Wangaratta (RC),Ovens Murray,Non Metro,5,13,14,12,10,10,14,0,78,0,0,0,0,0,0,0,0,78,2025,F
Catholic,2,1592,Emmaus College,Pri/Sec,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,Metro,15,9,23.4,12,23,24,26,0,132.4,260,258,252,240,251,229,0,1490,1622.4,2025,F
Catholic,2,1593,St Dominic's School,Primary,O,NORTH-WESTERN VICTORIA,Hume (C),Hume Merri-bek,Metro,27,27,42,28,26,39,38,0,227,0,0,0,0,0,0,0,0,227,2025,F
