Order_ID,User_ID,Restaurant_ID,Driver_ID,Item_Name,Quantity,Total_Price,Order_Time,Delivery_Time,Delivery_Duration_Minutes,City,Payment_Method,Order_Status,Driver_Vehicle,Restaurant_Lat,Restaurant_Lon,Customer_Lat,Customer_Lon,Driver_Lat,Driver_Lon,Delivery_Distance_km,Traffic_Level,Driver_Availability
1,U3522,358,485,Fried Chicken,3,273.72,16-06-2025 08:32,16-06-2025 09:11,39,Alexandria,Wallet,Delivered,Motorbike,31.1950816,29.92193116,31.19140352,29.90498216,31.21565812,29.9106644,1.666106279,High,Offline
2,U9214,316,65,Sandwich,3,365.82,03-06-2025 21:27,03-06-2025 22:00,33,Zagazig,Credit Card,Delivered,Motorbike,30.60572857,31.50307887,30.58604706,31.48582035,30.58032854,31.5023799,2.738697528,Low,Online
3,U7307,357,309,Koshary,3,401.94,01-06-2025 14:48,01-06-2025 15:26,38,Assiut,Cash,In Transit,Car,27.19017976,31.17774148,27.16486862,31.16921757,27.16297639,31.18945766,2.929078717,Medium,Online
4,U3612,420,32,Sushi,2,221.18,13-06-2025 02:30,13-06-2025 03:22,52,Mansoura,Cash,Delivered,Car,31.04184634,31.38122851,31.03577348,31.38043958,31.05468976,31.40118701,0.677497944,Low,Online
5,U3492,73,364,Koshary,5,355.55,06-06-2025 09:48,06-06-2025 10:32,44,Mansoura,Wallet,Delivered,Motorbike,31.02414075,31.37610387,31.02602325,31.39688136,31.03535043,31.38931504,1.994768748,High,Online
6,U7439,750,270,Sushi,3,205.44,04-06-2025 12:16,04-06-2025 12:45,29,Mansoura,Credit Card,Delivered,Bicycle,31.02413978,31.38781725,31.02900381,31.37386883,31.02257293,31.38064626,1.436806756,Medium,Online
7,U8948,827,4,Sushi,1,133.94,11-06-2025 04:09,11-06-2025 04:49,40,Cairo,Wallet,Delivered,Bicycle,30.02672334,31.24910119,30.0435245,31.23337196,30.0387686,31.23183483,2.402166941,Low,Online
8,U8672,908,109,Shawarma,5,404.8,12-06-2025 18:37,12-06-2025 19:18,41,Mansoura,Cash,Delivered,Bicycle,31.05254705,31.39297578,31.05335203,31.36283428,31.04918676,31.37370959,2.878433756,High,Online
9,U2205,814,215,Pizza,1,101.03,01-06-2025 22:18,01-06-2025 23:05,47,Mansoura,Credit Card,Delivered,Motorbike,31.0419446,31.3751277,31.04103629,31.38550299,31.04106249,31.36848806,0.995562043,Low,Online
10,U7411,362,416,Pizza,1,130.05,09-06-2025 00:18,09-06-2025 01:04,46,Cairo,Wallet,Delivered,Bicycle,30.0527229,31.23607678,30.02510673,31.22928132,30.06203173,31.22764248,3.130712651,Low,Online
