use_case_code,domain
UC00001,Transport and Mobility
UC00002,Community and Social Impact
UC00003,Environmental Sustainability
UC00004,Transport and Mobility
UC00005,Tourism and Hospitality
UC00006,Transport and Mobility
UC00007,Safety and Security
UC00008,Tourism and Hospitality
UC00009,Education and Teaching
UC00010,Urban Planning and Development
UC00011,Transport and Mobility
UC00012,Environmental Sustainability
UC00013,Tourism and Hospitality
UC00014,Tourism and Hospitality
UC00015,Environmental Sustainability
UC00017,Safety and Security
UC00021,Environmental Sustainability
UC00023,Business and Economy
UC00025,Environmental Sustainability
UC00027,Transport and Mobility
UC00028,Tourism and Hospitality
UC00029,Tourism and Hospitality
UC00035,Environmental Sustainability
UC00041,Urban Planning and Development
UC00042,Environmental Sustainability
UC00047,Business and Economy
UC00049,Business and Economy
UC00050,Environmental Sustainability
UC00051,Community and Social Impact
UC00052,Environmental Sustainability
UC00053,Environmental Sustainability
UC00054,Business and Economy
UC00055,Tourism and Hospitality
UC00056,Urban Planning and Development
UC00057,Business and Economy
UC00058,Health and Wellbeing
UC00059,Environmental Sustainability
UC00060,Environmental Sustainability
UC00061,Business and Economy
UC00062,Tourism and Hospitality
UC00063,Environmental Sustainability
UC00064,Urban Planning and Development
UC00065,Tourism and Hospitality
UC00066,Transport and Mobility
UC00067,Tourism and Hospitality
UC00068,Safety and Security
UC00069,Environmental Sustainability
UC00070,Urban Planning and Development
UC00071,Transport and Mobility
UC00072,Urban Planning and Development
UC00073,Transport and Mobility
UC00075,Environmental Sustainability
UC00076,Health and Wellbeing
UC00077,Community and Social Impact
UC00078,Transport and Mobility
UC00079,Tourism and Hospitality
UC00080,Environmental Sustainability
UC00081,Health and Wellbeing
UC00082,Business and Economy
UC00083,Business and Economy
UC00084,Tourism and Hospitality
UC00085,Environmental Sustainability
UC00086,Transport and Mobility
UC00087,Environmental Sustainability
UC00088,Transport and Mobility
UC00089,Environmental Sustainability
UC00090,Environmental Sustainability
UC00091,Urban Planning and Development
UC00092,Environmental Sustainability
UC00093,Environmental Sustainability
UC00094,Safety and Security
UC00095,Transport and Mobility
UC00096,Health and Wellbeing
UC00098,Urban Planning and Development
UC00099,Community and Social Impact
UC00100,Urban Planning and Development
UC00101,Business and Economy
UC00102,Tourism and Hospitality
UC00103,Tourism and Hospitality
UC00104,Safety and Security
UC00105,Transport and Mobility
UC00106,Business and Economy
UC00107,Environmental Sustainability
UC00108,Urban Planning and Development
UC00109,Environmental Sustainability
UC00110,Tourism and Hospitality
UC00111,Transport and Mobility
UC00112,Business and Economy
UC00113,Community and Social Impact
UC00114,Transport and Mobility
UC00116,Environmental Sustainability
UC00117,Demographics and Community
UC00118,Environmental Sustainability
UC00119,Transport and Mobility
UC00120,Transport and Mobility
UC00121,Urban Planning and Development
UC00122,Safety and Security
UC00124,Environmental Sustainability
UC00125,Transport and Mobility
UC00126,Community and Social Impact
UC00127,Environmental Sustainability
UC00128,Transport and Mobility
UC00129,Business and Economy
UC00130,Environmental Sustainability
UC00131,Transport and Mobility
UC00132,Transport and Mobility
UC00133,Urban Planning and Development
UC00135,Business and Economy
UC00136,Safety and Security
UC00137,Transport and Mobility
UC00138,Business and Economy
UC00139,Health and Wellbeing
UC00140,Environmental Sustainability
UC00142,Tourism and Hospitality
UC00143,Urban Planning and Development
UC00145,Education and Teaching
UC00146,Community and Social Impact
UC00147,Urban Planning and Development
UC00148,Community and Social Impact
UC00149,Environmental Sustainability
UC00150,Environmental Sustainability
UC00151,Transport and Mobility
UC00152,Environmental Sustainability
UC00153,Environmental Sustainability
UC00154,Urban Planning and Development
UC00155,Transport and Mobility
UC00156,Urban Planning and Development
UC00157,Safety and Security
UC00158,Environmental Sustainability
UC00159,Urban Planning and Development
UC00160,Environmental Sustainability
UC00161,Transport and Mobility
UC00162,Tourism and Hospitality
UC00163,Transport and Mobility
UC00164,Environmental Sustainability
UC00165,Business and Economy
UC00166,Urban Planning and Development
UC00167,Environmental Sustainability
UC00169,Environmental Sustainability
UC00170,Transport and Mobility
UC00171,Urban Planning and Development
UC00172,Environmental Sustainability
UC00175,Environmental Sustainability
UC00176,Health and Wellbeing
UC00177,Business and Economy
UC00178,Environmental Sustainability
UC00179,Education and Teaching
UC00180,Transport and Mobility
UC00182,Health and Wellbeing
UC00183,Environmental Sustainability
UC00184,Environmental Sustainability
UC00185,Business and Economy
UC00187,Business and Economy
UC00188,Business and Economy
UC00189,Business and Economy
UC00190,Business and Economy
UC00191,Health and Wellbeing
UC00194,Community and Social Impact
UC00195,Community and Social Impact
UC00196,Community and Social Impact
UC00198,Health and Wellbeing
UC00199,Education and Teaching
UC00200,Education and Teaching
UC00201,Tourism and Hospitality
UC00202,Education and Teaching
UC00203,Transport and Mobility
UC00204,Education and Teaching
UC00205,Tourism and Hospitality
UC00207,Urban Planning and Development
UC00210,Health and Wellbeing
UC00214,Transport and Mobility
UC00216,Transport and Mobility
UC00222,Education and Teaching
UC00223,Transport and Mobility
UC00225,Transport and Mobility
UC00226,Transport and Mobility
UC00227,Safety and Security
UC00228,Transport and Mobility
