node_id,longitude,latitude,geometry
29902466,145.1358671,-38.1465414,POINT (145.1358671 -38.1465414)
30151325,145.1257377,-38.1392387,POINT (145.1257377 -38.1392387)
30151328,145.1258422,-38.1395167,POINT (145.1258422 -38.1395167)
30204294,145.1196541,-38.1458722,POINT (145.1196541 -38.1458722)
30204298,145.1153465,-38.1494371,POINT (145.1153465 -38.1494371)
30204315,145.1080267,-38.1545298,POINT (145.1080267 -38.1545298)
30204320,145.1019813,-38.1642531,POINT (145.1019813 -38.1642531)
30204345,145.0912844,-38.1950967,POINT (145.0912844 -38.1950967)
30204349,145.051076,-38.2248438,POINT (145.051076 -38.2248438)
30204351,145.0449643,-38.229573,POINT (145.0449643 -38.229573)
30204352,145.0404836,-38.2329813,POINT (145.0404836 -38.2329813)
30204353,145.0374619,-38.2352994,POINT (145.0374619 -38.2352994)
30204354,145.0365001,-38.2361414,POINT (145.0365001 -38.2361414)
30204485,145.2177239,-38.2239157,POINT (145.2177239 -38.2239157)
30204487,145.2150924,-38.2375729,POINT (145.2150924 -38.2375729)
31319331,145.135687,-38.1465536,POINT (145.135687 -38.1465536)
31319332,145.1361832,-38.1454008,POINT (145.1361832 -38.1454008)
31319383,145.1354567,-38.1320018,POINT (145.1354567 -38.1320018)
31606955,145.1703468,-38.1563613,POINT (145.1703468 -38.1563613)
31606957,145.1566712,-38.1526921,POINT (145.1566712 -38.1526921)
31606958,145.1529316,-38.1516307,POINT (145.1529316 -38.1516307)
31606961,145.1459454,-38.148549,POINT (145.1459454 -38.148549)
31606966,145.1358212,-38.1467007,POINT (145.1358212 -38.1467007)
31606967,145.135617,-38.1467088,POINT (145.135617 -38.1467088)
31606968,145.1331646,-38.1464357,POINT (145.1331646 -38.1464357)
31606974,145.125715,-38.1461058,POINT (145.125715 -38.1461058)
31607200,145.1338402,-38.1535816,POINT (145.1338402 -38.1535816)
31607201,145.1349833,-38.157551,POINT (145.1349833 -38.157551)
31615849,145.1865096,-38.3093501,POINT (145.1865096 -38.3093501)
31615850,145.1962845,-38.3093404,POINT (145.1962845 -38.3093404)
31657276,145.0353926,-38.2607834,POINT (145.0353926 -38.2607834)
