name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information,business_associate_present,web_description,breach_year,breach_month,severity_level,type_of_breach_encoded,location_of_breached_information_encoded,covered_entity_type_encoded
William F Rinehart DMD PA ,SC,Healthcare Provider,25000.0,2025-03-24,Hacking/IT Incident,Network Server,No,No description provided,2025,3,High,0,83,3
Meigs County Emergency Medical Services,OH,Healthcare Provider,5802.0,2025-03-20,Hacking/IT Incident,Email,No,No description provided,2025,3,Moderate,0,66,3
Presbyterian Health Plan,NM,Health Plan,7100.0,2025-03-18,Hacking/IT Incident,Email,No,No description provided,2025,3,Moderate,0,66,1
Baylor Scott & White Texas Spine & Joint Hospital,TX,Healthcare Provider,1640.0,2025-03-14,Hacking/IT Incident,Email,No,No description provided,2025,3,Moderate,0,66,3
Lake Psychological Services,PA,Healthcare Provider,987.0,2025-03-14,Hacking/IT Incident,Network Server,No,No description provided,2025,3,Low,0,83,3
"Cottrill’s Pharmacy, Inc. DBA Cottrill’s Specialty Pharmacy ",NY,Healthcare Provider,2348.0,2025-03-14,Hacking/IT Incident,Network Server,No,No description provided,2025,3,Moderate,0,83,3
Columbia Eye Clinic ,SC,Healthcare Provider,500.0,2025-03-14,Hacking/IT Incident,Network Server,No,No description provided,2025,3,Low,0,83,3
Topy America Inc.,KY,Health Plan,1827.0,2025-03-14,Hacking/IT Incident,Network Server,No,No description provided,2025,3,Moderate,0,83,1
"CHC Solutions, Inc. ",PA,Healthcare Provider,794.0,2025-03-13,Hacking/IT Incident,Email,No,No description provided,2025,3,Low,0,66,3
PACE Greater New Orleans,LA,Healthcare Provider,715.0,2025-03-13,Unauthorized Access/Disclosure,Email,No,No description provided,2025,3,Low,28,66,3
"OCH Regional Medical Center, MS",MS,Healthcare Provider,51266.0,2025-03-11,Unauthorized Access/Disclosure,Other,No,No description provided,2025,3,High,28,88,3
"Nice Healthcare Management Company, Inc",MN,Healthcare Provider,10000.0,2025-03-10,Hacking/IT Incident,Network Server,Yes,No description provided,2025,3,High,0,83,3
Vision Upright MRI,CA,Healthcare Provider,23031.0,2025-03-10,Unauthorized Access/Disclosure,Network Server,No,No description provided,2025,3,High,28,83,3
Rocky Mountain Regional VA Medical Center,CO,Healthcare Provider,1115.0,2025-03-10,Unauthorized Access/Disclosure,Email,No,No description provided,2025,3,Moderate,28,66,3
St. Charles County Ambulance District,MO,Healthcare Provider,1265.0,2025-03-07,Hacking/IT Incident,Email,No,No description provided,2025,3,Moderate,0,66,3
"Sunflower Medical Group, P.A.",KS,Healthcare Provider,220968.0,2025-03-07,Hacking/IT Incident,Network Server,No,No description provided,2025,3,Critical,0,83,3
"Hand & Plastic Surgery Centre, PLC",MI,Healthcare Provider,19846.0,2025-03-07,Hacking/IT Incident,Network Server,No,No description provided,2025,3,High,0,83,3
"United Seating and Mobility, LLC d/b/a Numotion ",TN,Healthcare Provider,494326.0,2025-03-07,Hacking/IT Incident,Email,No,No description provided,2025,3,Critical,0,66,3
SCLARC,CA,Business Associate,722.0,2025-03-06,Theft,"Laptop, Other Portable Electronic Device, Paper/Films",Yes,No description provided,2025,3,Low,26,80,0
