Site_ID,Site_Name,Property_Name,Latitude,Longitude,Location
50924,Fitzroy West 09,Fitzroy Gardens,-37.81067469320403,144.979618148459,"-37.81067469320403, 144.979618148459"
64971,5th Fairway,Royal Park,-37.77920999998876,144.95251000000945,"-37.77920999998876, 144.95251000000945"
64973,Argyle Square,Argyle Square,-37.8029015228744,144.966010728849,"-37.8029015228744, 144.966010728849"
64975,McAlister Oval,Royal Park,-37.77880526150242,144.95644368244822,"-37.77880526150242, 144.95644368244822"
64977,Treasury Gardens South,Treasury Gardens,-37.814943422335645,144.9762009715822,"-37.814943422335645, 144.9762009715822"
64980,8th Green,Royal Park,-37.78050012423222,144.9507798628516,"-37.78050012423222, 144.9507798628516"
64982,Docklands Park North,Docklands Park,-37.82020999998365,144.94685999998492,"-37.82020999998365, 144.94685999998492"
64984,Shrine Reserve South West,Shrine of Remembrance Reserve,-37.83107388766565,144.9720229582273,"-37.83107388766565, 144.9720229582273"
64988,Treasury Gardens North,Treasury Gardens,-37.81334999998346,144.9764499999944,"-37.81334999998346, 144.9764499999944"
64989,Shrine Reserve South East,Shrine of Remembrance Reserve,-37.831279999984055,144.97421999998974,"-37.831279999984055, 144.97421999998974"
64994,Lincoln Square South,Lincoln Square,-37.80273999998712,144.96304000001854,"-37.80273999998712, 144.96304000001854"
64999,Princes Park Oval 3,Princes Park,-37.78866999998383,144.96059999999818,"-37.78866999998383, 144.96059999999818"
65000,William J Brens Oval,Royal Park,-37.78719999998428,144.95441999999153,"-37.78719999998428, 144.95441999999153"
65004,Poplar Oval,Royal Park,-37.78153999998928,144.95689000000206,"-37.78153999998928, 144.95689000000206"
65010,Ransford Oval,Royal Park,-37.77874999998925,144.95555000000223,"-37.77874999998925, 144.95555000000223"
65012,Carlton Gardens South,Carlton Gardens South,-37.805213460934695,144.97025615307209,"-37.805213460934695, 144.97025615307209"
65013,Flemington Road Oval,Royal Park,-37.79249948740574,144.94785706602852,"-37.79249948740574, 144.94785706602852"
66192,Alexandra Gardens Star Lawn,Alexandra Gardens,-37.820619999985624,144.97128999998964,"-37.820619999985624, 144.97128999998964"
66194,Bourke South 4,,-37.81381170269185,144.9648744813812,"-37.81381170269185, 144.9648744813812"
66199,Kings Domain South fireyard,Kings Domain South,-37.83359859978228,144.98116100966766,"-37.83359859978228, 144.98116100966766"
66200,Bourke South 5 (283),,-37.8138200730221,144.9647747167898,"-37.8138200730221, 144.9647747167898"
66204,Queen Vic,Queen Victoria Gardens,-37.82122895761334,144.97044839006028,"-37.82122895761334, 144.97044839006028"
69159,Cnr Barry & Leicester,Barry and Leicester Street Reserve,-37.80389870978553,144.96013534784527,"-37.80389870978553, 144.96013534784527"
73385,Replaced by op63796,University Square,-37.80133605307365,144.9600298425962,"-37.80133605307365, 144.9600298425962"
75502,Fawkner North,Fawkner Park,-37.838433712973945,144.981016125163,"-37.838433712973945, 144.981016125163"
75504,Batman Park,Batman Park,-37.82191850932761,144.95636750705123,"-37.82191850932761, 144.95636750705123"
75505,Darling Square,Darling Square,-37.81296357048696,144.9890083820641,"-37.81296357048696, 144.9890083820641"
91577,Royal Parade Opposite Lawn 5,,-37.78090899998983,144.96016299999408,"-37.78090899998983, 144.96016299999408"
101036,Princess bridge SE P01,,-37.819839401932974,144.9686850329189,"-37.819839401932974, 144.9686850329189"
126588,Southbank Bvd Playspace,,-37.8231069999863,144.96505949997135,"-37.8231069999863, 144.96505949997135"
64974,Western Oval,Royal Park,-37.77828868480954,144.95280191316584,"-37.77828868480954, 144.95280191316584"
64978,Bourke South 2,,-37.81407151785875,144.9639773370174,"-37.81407151785875, 144.9639773370174"
64979,Carlton Gardens North,Carlton Gardens North,-37.801699999983285,144.9713799999935,"-37.801699999983285, 144.9713799999935"
64981,Ron Barassi Oval,Ron Barassi Senior Park,-37.81645153185361,144.9347935617491,"-37.81645153185361, 144.9347935617491"
64986,Shrine Reserve North East,Shrine of Remembrance Reserve,-37.8292099999859,144.97347999998564,"-37.8292099999859, 144.97347999998564"
64987,Ryder Oval,Royal Park,-37.77973527556847,144.9546774478168,"-37.77973527556847, 144.9546774478168"
64990,Fitzroy Gardens East '18,Fitzroy Gardens,-37.81322679998238,144.98158049996863,"-37.81322679998238, 144.98158049996863"
