grid_id,mean_thermal,canopy_cover_pct,priority_cell,hotspot_score,hotspot_score_v2,cluster,cluster_improved,cluster_label
0,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
1,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
2,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
3,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
4,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
5,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
6,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
7,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
8,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
9,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
10,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
11,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
12,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
13,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
14,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
15,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
16,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
17,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
18,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
19,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
20,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
21,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
22,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
23,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
24,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
25,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
26,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
27,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
28,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
29,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
30,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
31,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
32,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
33,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
34,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
35,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
36,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
37,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
38,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
39,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
40,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
41,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
42,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
43,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
44,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
45,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
46,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
47,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
48,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
49,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
50,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
51,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
52,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
53,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
54,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
55,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
56,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
57,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
58,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
59,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
60,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
61,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
62,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
63,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
64,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
65,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
66,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
67,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
68,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
69,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
70,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
71,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
72,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
73,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
74,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
75,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
76,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
77,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
78,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
79,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
80,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
81,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
82,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
83,255.0,0.0,True,255.0,1.0,0,0,High thermal / Low canopy (C0)
