indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,25-34 years,2023,419,17.1,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,45-54 years,2023,128,15.0,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,65+ years,2023,202,3.6,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,Docklands 3008,2023,113,4.5,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,Melbourne 3000,2023,338,18.0,Per cent
18,Other,Health,Smoking behaviour,Reported as smoke daliy or smoke occassionally,Parkville 3052,2023,76,16.9,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,18-24 years,2023,272,21.7,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,Melbourne 3000,2023,339,14.5,Per cent
19,Other,Health,Vaping behaviour,Reported as vape daliy or vape occassionally,North Melbourne 3051 / West Melbourne 3003,2023,206,10.9,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",City of Melbourne,2023,1271,48.6,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Docklands 3008,2023,107,43.6,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",East Melbourne 3002,2023,64,42.7,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Kensington / Flemington 3031,2023,87,52.4,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",South Wharf / Southbank 3006,2023,134,51.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,25-34 years,2023,417,95.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,65+ years,2023,199,94.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Male,2023,569,93.2,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Carlton 3053,2023,190,94.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,East Melbourne 3002,2023,68,94.5,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Kensington / Flemington 3031,2023,89,97.5,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Melbourne 3000,2023,340,92.1,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Parkville 3052,2023,76,96.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,138,94.1,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",25-34 years,2023,415,29.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",35-44 years,2023,223,31.4,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",45-54 years,2023,124,27.9,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",65+ years,2023,200,39.6,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Male,2023,562,29.9,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Melbourne 3000,2023,340,31.1,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",35-44 years,2023,223,20.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",65+ years,2023,200,29.6,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",City of Melbourne,2023,1352,20.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Docklands 3008,2023,113,19.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",East Melbourne 3002,2023,67,23.4,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Melbourne 3000,2023,340,18.4,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2023,135,13.4,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Male,2023,573,21.4,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",Kensington / Flemington 3031,2023,89,16.2,Per cent
12b,Council Plan Indicator,Arts and cultural activities,Participate in arts and cultural activities in the City of Melbourne,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2023,207,21.2,Per cent
