Geo Point,Geo Shape,seg_id,str_type,dtupdate,status_id,seg_descr,poly_area,gisid,street_id,seg_part
"-37.80720537262632, 144.9507747769122","{""coordinates"": [[[[144.950533760383, -37.807178263533], [144.950806375759, -37.807017292689], [144.950876481431, -37.807088819544], [144.950945899739, -37.807160767217], [144.951014626671, -37.807233131547], [144.950744007839, -37.807393646469], [144.950533760383, -37.807178263533]]]], ""type"": ""MultiPolygon""}",21428,Arterial,20210923,1,Intersection of King Street and Stanley Street,901,1136,0,1
"-37.81848742506031, 144.961640259708","{""coordinates"": [[[[144.961816007658, -37.818937297076], [144.961440487574, -37.81812007738], [144.961503369449, -37.81810172502], [144.961510617506, -37.818117362432], [144.961664512977, -37.818449390885], [144.961644941257, -37.818454943045], [144.961861684516, -37.818922560509], [144.961816007658, -37.818937297076]]]], ""type"": ""MultiPolygon""}",20395,Council Minor,20210923,3,Tavistock Place between Flinders Street and Flinders Lane,481,3329,1116,1
"-37.80657450478691, 144.96670351393675","{""coordinates"": [[[[144.966610935183, -37.806920345774], [144.966740530321, -37.80620120097], [144.966786012994, -37.806205352193], [144.966794597645, -37.806206135748], [144.966733990055, -37.806570537425], [144.966730800006, -37.806598636025], [144.966674687301, -37.80692717991], [144.966610935183, -37.806920345774]]]], ""type"": ""MultiPolygon""}",20734,Council Minor,20210923,3,Trades Hall Place from Victoria Street,424,1538,1128,1
"-37.795869576097964, 144.96572748078592","{""coordinates"": [[[[144.965728922625, -37.795758081828], [144.965764905788, -37.795761199649], [144.9657254787, -37.795982152679], [144.965690322675, -37.795978272318], [144.965728922625, -37.795758081828]]]], ""type"": ""MultiPolygon""}",30258,Private,20210923,4,PL5061,78,192,1555,1
"-37.80783881923757, 144.94972958068007","{""coordinates"": [[[[144.950314513372, -37.807311429631], [144.950533760383, -37.807178263533], [144.950744007839, -37.807393646469], [144.950403172173, -37.807600544065], [144.950348973984, -37.807635100677], [144.949118944318, -37.808382278884], [144.949087260117, -37.808400940086], [144.948924830721, -37.808498258469], [144.948715914197, -37.808282355722], [144.950279472588, -37.807332712834], [144.950314513372, -37.807311429631]]]], ""type"": ""MultiPolygon""}",21429,Council Major,20210923,2,Stanley Street between King Street and Spencer Street,6118,1137,1089,1
"-37.8010973153712, 144.96639464458323","{""coordinates"": [[[[144.966693861705, -37.801089042949], [144.966338153871, -37.80105343935], [144.966322957324, -37.80106297272], [144.966284236414, -37.801282706937], [144.966227426862, -37.801276888311], [144.966275031458, -37.801004869787], [144.96670212563, -37.801048614598], [144.966693861705, -37.801089042949]]]], ""type"": ""MultiPolygon""}",30257,Private,20210923,4,Lygon Terrace,306,191,1273,1
"-37.79924527057775, 144.96191238132226","{""coordinates"": [[[[144.961353711903, -37.79928383939], [144.961379491994, -37.799149120753], [144.961381761069, -37.799151051906], [144.961384138041, -37.799152888604], [144.961386714838, -37.799154546475], [144.961389469881, -37.799156011635], [144.961392380098, -37.799157271814], [144.961395421116, -37.799158316458], [144.961398567468, -37.79915913682], [144.961401785464, -37.799159759374], [144.962214348758, -37.799240599183], [144.96232140515, -37.799251249843], [144.962324712484, -37.799253451669], [144.962328108832, -37.799255548656], [144.962331713684, -37.799257412089], [144.962335501325, -37.799259028676], [144.962339444736, -37.799260386884], [144.962343515788, -37.799261477026], [144.962347672647, -37.799262343655], [144.962382023456, -37.799265942546], [144.962368542843, -37.79934321148], [144.962098776636, -37.799313424042], [144.962059785395, -37.799309118446], [144.962060730476, -37.799303038334], [144.962061366869, -37.799301372178], [144.962061759902, -37.799299656434], [144.962061960266, -37.799297918621], [144.962061966395, -37.799296172314], [144.962061778243, -37.799294431154], [144.962061397277, -37.799292708742], [144.962060826476, -37.799291018531], [144.962060070296, -37.799289373725], [144.962059134645, -37.799287787172], [144.962058026831, -37.799286271264], [144.962056755508, -37.799284837843], [144.962055330607, -37.799283498105], [144.962053763257, -37.799282262516], [144.962052065702, -37.799281140727], [144.962050251202, -37.799280141501], [144.96204833393, -37.799279272643], [144.962046328863, -37.799278540939], [144.962044251662, -37.799277952106], [144.962042125666, -37.799277483394], [144.961479114902, -37.79921685926], [144.961466865514, -37.799217588325], [144.961454756479, -37.799219200915], [144.96144286993, -37.79922161882], [144.961431290414, -37.799224824841], [144.961420100294, -37.799228796176], [144.961409379165, -37.799233504575], [144.961399203283, -37.79923891655], [144.961389645028, -37.799244993605], [144.961380772386, -37.799251692516], [144.961372648469, -37.799258965633], [144.961365331058, -37.799266761226], [144.961358872203, -37.799275023843], [144.961353711903, -37.79928383939]]]], ""type"": ""MultiPolygon""}",30211,Private,20210923,4,Engineering Lane,633,150,3212,1
"-37.807775899574665, 144.95404504959276","{""coordinates"": [[[[144.954059687197, -37.807794600153], [144.95404965236, -37.807799319183], [144.954029888137, -37.807757034177], [144.954041660608, -37.807753762889], [144.954056378674, -37.807787103465], [144.954059687197, -37.807794600153]]]], ""type"": ""MultiPolygon""}",30532,Private,20210923,4,Pl5130,5,2464,2874,1
"-37.79974997155407, 144.94870341557552","{""coordinates"": [[[[144.948912708408, -37.799536039325], [144.948834164426, -37.799981961762], [144.948493450521, -37.799947426138], [144.948564266857, -37.79953479214], [144.948912708408, -37.799536039325]]]], ""type"": ""MultiPolygon""}",21169,Arterial,20210923,1,Curzon Street between O'Shanassy Street and Harris Street,1459,2804,552,1
"-37.80897888428527, 144.9532978706926","{""coordinates"": [[[[144.952530956285, -37.809054213175], [144.953951711955, -37.808647177075], [144.954067915218, -37.808902340778], [144.952641098074, -37.809311333813], [144.952530956285, -37.809054213175]]]], ""type"": ""MultiPolygon""}",21411,Arterial,20210923,1,Dudley Street between Milton Street and King Street,4016,1121,586,1
"-37.79422679499566, 144.92823354722663","{""coordinates"": [[[[144.927817963434, -37.794091197682], [144.928758610956, -37.79419271684], [144.928628697109, -37.794364198894], [144.927716829344, -37.794259339794], [144.927817963434, -37.794091197682]]]], ""type"": ""MultiPolygon""}",21688,Council Major,20210923,2,Macaulay Road between Henry Street and Kensington Road,1654,2263,847,1
"-37.805678609004985, 144.96703917653574","{""coordinates"": [[[[144.967402713939, -37.805736215391], [144.966871922151, -37.805676102347], [144.96685260561, -37.805779084329], [144.96681784961, -37.805775356252], [144.966858101355, -37.805534519439], [144.966894691346, -37.805538753186], [144.96688517009, -37.805592704509], [144.966879727569, -37.805632532705], [144.966911026683, -37.805650899285], [144.967407893929, -37.805705537699], [144.967402713939, -37.805736215391]]]], ""type"": ""MultiPolygon""}",20736,Council Minor,20210923,3,McDonald Lane from Drummond Street,247,1536,2868,1
"-37.81412336595381, 144.92975601805696","{""coordinates"": [[[[144.927655858838, -37.814893019218], [144.927544404993, -37.814710281806], [144.929718544403, -37.813875701563], [144.930999925425, -37.81338379532], [144.931113395678, -37.813303878038], [144.93119946846, -37.813232052121], [144.93126905483, -37.813149747841], [144.931320168277, -37.813059318431], [144.931350578045, -37.812966822051], [144.93138083109, -37.81282980143], [144.931271205409, -37.812650073406], [144.931114326172, -37.812392873088], [144.931174297137, -37.81237547141], [144.931236416476, -37.812363443041], [144.931299659112, -37.812355895614], [144.93132915009, -37.812351266603], [144.931357853981, -37.812344185733], [144.931385652198, -37.812335144385], [144.931412333877, -37.81232421114], [144.931437696624, -37.812311468935], [144.931461548049, -37.812297014424], [144.931483707226, -37.812280957253], [144.931504006068, -37.812263419224], [144.931522290597, -37.812244533372], [144.931538422115, -37.812224442955], [144.931552278257, -37.81220330037], [144.931563753916, -37.812181265994], [144.931572762044, -37.81215850697], [144.931578797409, -37.812135132523], [144.93166425308, -37.811737071236], [144.931730015023, -37.811724396033], [144.931795055596, -37.811709561982], [144.931859262251, -37.811692594753], [144.931893138073, -37.811682679873], [144.931926728189, -37.811672170984], [144.931960016054, -37.81166107326], [144.931897984393, -37.811950453957], [144.931663765654, -37.813010360521], [144.931646649546, -37.813079669383], [144.931620964208, -37.813147275709], [144.931588167607, -37.813212874989], [144.931548493471, -37.813275999728], [144.931502224538, -37.813336200063], [144.931449690546, -37.813393046974], [144.931391265883, -37.813446135339], [144.931324473374, -37.813492500678], [144.931285998358, -37.813518319767], [144.931246015212, -37.813542653998], [144.9312046149, -37.813565448007], [144.928567841529, -37.814577654872], [144.928367163857, -37.814708628555], [144.928385975944, -37.814892266698], [144.928679162877, -37.81549376275], [144.928749158176, -37.815599845281], [144.928952557886, -37.815848058546], [144.929179463989, -37.816220061473], [144.929056267831, -37.81626733473], [144.929114282792, -37.816386318364], [144.929068021813, -37.8165979467], [144.928919901771, -37.816567951219], [144.928933528408, -37.816515215588], [144.928897204632, -37.816501187068], [144.928857410327, -37.816496917546], [144.928787875263, -37.81635917694], [144.92879802397, -37.816331300218], [144.928767170479, -37.816238209951], [144.928718290844, -37.816121774957], [144.92864090702, -37.815965374431], [144.92857134169, -37.815826024575], [144.928047692683, -37.81496748561], [144.927766995029, -37.815075232763], [144.927655858838, -37.814893019218]]]], ""type"": ""MultiPolygon""}",30812,Port Roads,20210923,5,Enterprize Road,22288,3866,117770,1
"-37.81359089279005, 144.9499865243506","{""coordinates"": [[[[144.950054266405, -37.81341504667], [144.950303400756, -37.813634012769], [144.950331120038, -37.813626202686], [144.95033820022, -37.813641895517], [144.950305231687, -37.813651433697], [144.950293186918, -37.813640401827], [144.949894866932, -37.813755649438], [144.949666805792, -37.813543510852], [144.950062423644, -37.813429046038], [144.950047158387, -37.813415064407], [144.950017581757, -37.813414133142], [144.95003722376, -37.813400067134], [144.950054266405, -37.81341504667]]]], ""type"": ""MultiPolygon""}",22551,Council Major,20210923,2,La Trobe Street between Adderley Street and Wurundjeri Way,1114,3590,780,1
"-37.81739187634568, 144.9656028034266","{""coordinates"": [[[[144.965742635273, -37.817333413399], [144.965757104354, -37.817364326785], [144.96546300354, -37.817450365901], [144.965448620444, -37.817419427832], [144.965465421769, -37.817414506648], [144.96546558666, -37.817414459031], [144.965497598059, -37.817405019922], [144.965742635273, -37.817333413399]]]], ""type"": ""MultiPolygon""}",30186,Private,20210923,4,Pl5363,101,128,117842,1
