road_name,location,suburb,speed_limit,average_speed,85th_percentile_speed,maximum_speed,road_segment,datetime,hour,day_of_week,week,year,road_name_encoded,location_encoded,suburb_encoded,Total_Traffic_Volume,month,month_name,day_type,Speeding_Incident,time_of_day
Wolseley Parade,North East Of Derby Street,Kensington,50,35.5,40.4,46.91879065285473,21727,2014-10-11 16:00:00,16,5,41,2014,107,103,4,34.29217885759312,10,October,Weekend,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,33.8,40.7,46.91879065285473,21727,2014-10-11 17:00:00,17,5,41,2014,107,103,4,52.292178857593136,10,October,Weekend,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,36.9,42.9,46.91879065285473,21727,2014-10-11 18:00:00,18,5,41,2014,107,103,4,40.1981832534903,10,October,Weekend,False,Evening
Wolseley Parade,North East Of Derby Street,Kensington,50,30.7,33.7,46.91879065285473,21727,2014-11-11 02:00:00,2,1,46,2014,107,103,4,13.292178857593125,11,November,Weekday,False,Night
Wolseley Parade,North East Of Derby Street,Kensington,50,32.298564176939806,37.90016679055095,46.91879065285473,21727,2014-11-11 04:00:00,4,1,46,2014,107,103,4,96.46956329878134,11,November,Weekday,False,Night
Wolseley Parade,North East Of Derby Street,Kensington,50,37.0,37.0,46.91879065285473,21727,2014-11-11 05:00:00,5,1,46,2014,107,103,4,11.292178857593127,11,November,Weekday,False,Night
Wolseley Parade,North East Of Derby Street,Kensington,50,33.1,33.0,46.91879065285473,21727,2014-11-11 06:00:00,6,1,46,2014,107,103,4,11.292178857593127,11,November,Weekday,False,Morning
Wolseley Parade,North East Of Derby Street,Kensington,50,31.4,34.9,46.91879065285473,21727,2014-11-11 11:00:00,11,1,46,2014,107,103,4,20.19818325349029,11,November,Weekday,False,Morning
Wolseley Parade,North East Of Derby Street,Kensington,50,34.2,37.2,46.91879065285473,21727,2014-11-11 14:00:00,14,1,46,2014,107,103,4,22.29217885759312,11,November,Weekday,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,34.1,40.0,46.91879065285473,21727,2014-11-11 17:00:00,17,1,46,2014,107,103,4,41.1981832534903,11,November,Weekday,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,33.8,37.6,46.91879065285473,21727,2014-11-11 19:00:00,19,1,46,2014,107,103,4,33.29217885759312,11,November,Weekday,False,Evening
Wolseley Parade,North East Of Derby Street,Kensington,50,32.7,34.6,46.91879065285473,21727,2014-11-11 23:00:00,23,1,46,2014,107,103,4,19.292178857593125,11,November,Weekday,False,Evening
Wolseley Parade,North East Of Derby Street,Kensington,50,34.9,39.6,46.91879065285473,21727,2014-12-11 00:00:00,0,3,50,2014,107,103,4,18.292178857593125,12,December,Weekday,False,Night
Wolseley Parade,North East Of Derby Street,Kensington,50,34.6,39.5,46.91879065285473,21727,2014-12-11 10:00:00,10,3,50,2014,107,103,4,20.292178857593125,12,December,Weekday,False,Morning
Wolseley Parade,North East Of Derby Street,Kensington,50,33.0,36.0,46.91879065285473,21727,2014-12-11 14:00:00,14,3,50,2014,107,103,4,32.29217885759312,12,December,Weekday,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,32.1,39.0,46.91879065285473,21727,2014-12-11 15:00:00,15,3,50,2014,107,103,4,37.292178857593136,12,December,Weekday,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,30.9,35.7,46.91879065285473,21727,2014-12-11 22:00:00,22,3,50,2014,107,103,4,24.29217885759312,12,December,Weekday,False,Evening
Wolseley Parade,North East Of Derby Street,Kensington,50,31.6,37.5,46.91879065285473,21727,2014-11-13 01:00:00,1,3,46,2014,107,103,4,15.292178857593125,11,November,Weekday,False,Night
Wolseley Parade,North East Of Derby Street,Kensington,50,29.9,37.1,46.91879065285473,21727,2014-11-13 11:00:00,11,3,46,2014,107,103,4,36.29217885759313,11,November,Weekday,False,Morning
Wolseley Parade,North East Of Derby Street,Kensington,50,30.4,34.2,46.91879065285473,21727,2014-11-13 13:00:00,13,3,46,2014,107,103,4,26.29217885759312,11,November,Weekday,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,34.2,39.3,46.91879065285473,21727,2014-11-13 17:00:00,17,3,46,2014,107,103,4,54.683796680958,11,November,Weekday,False,Afternoon
Wolseley Parade,North East Of Derby Street,Kensington,50,30.7,36.0,46.91879065285473,21727,2014-11-13 22:00:00,22,3,46,2014,107,103,4,33.29217885759312,11,November,Weekday,False,Evening
Wolseley Parade,North East Of Derby Street,Kensington,50,33.4,38.0,46.91879065285473,21727,2014-11-13 23:00:00,23,3,46,2014,107,103,4,16.292178857593125,11,November,Weekday,False,Evening
Wolseley Parade,North East Of Derby Street,Kensington,50,32.4,36.3,46.91879065285473,21727,2014-10-11 13:00:00,13,5,41,2014,107,103,4,25.198183253490285,10,October,Weekend,False,Afternoon
