ActivityType,Response,Year,RespondentGroup,SampleSize,Percentage,AgeRange,Gender,Suburb
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,City of Melbourne,1212,47.5,,,City of Melbourne
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Docklands 3008,102,48.6,,,Docklands 3008
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,North Melbourne 3051 / West Melbourne 3003,207,47.0,,,North Melbourne 3051 / West Melbourne 3003
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,South Yarra 3141 / Melbourne/St Kilda Road 3004,97,43.0,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Female,625,45.8,,Female,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,45-54 years,93,53.7,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2019,Melbourne 3000,265,72.8,,,Melbourne 3000
participate in sports and exercise activities,"yes, in the last 3 months",2019,North Melbourne 3051 / West Melbourne 3003,216,61.4,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities,"yes, in the last 3 months",2019,Parkville 3052,94,76.9,,,Parkville 3052
participate in sports and exercise activities,"yes, in the last 3 months",2019,South Yarra 3141 / Melbourne/St Kilda Road 3004,101,74.3,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in sports and exercise activities,"yes, in the last 3 months",2019,18-24 years,298,77.6,18-24 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2019,45-54 years,94,57.2,45-54 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2019,55-64 years,109,59.1,55-64 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,City of Melbourne,1259,60.6,,,City of Melbourne
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Carlton 3053,132,56.1,,,Carlton 3053
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,East Melbourne 3002,95,46.7,,,East Melbourne 3002
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Melbourne 3000,265,67.9,,,Melbourne 3000
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,North Melbourne 3051 / West Melbourne 3003,216,50.6,,,North Melbourne 3051 / West Melbourne 3003
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Parkville 3052,94,67.2,,,Parkville 3052
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Male,605,59.3,,Male,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,18-24 years,298,68.3,18-24 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,55-64 years,109,47.6,55-64 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Docklands 3008,105,13.5,,,Docklands 3008
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,South Yarra 3141 / Melbourne/St Kilda Road 3004,101,16.2,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,18-24 years,298,18.6,18-24 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,City of Melbourne,1259,10.7,,,City of Melbourne
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Kensington / Flemington 3031,113,18.5,,,Kensington / Flemington 3031
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,North Melbourne 3051 / West Melbourne 3003,216,10.8,,,North Melbourne 3051 / West Melbourne 3003
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,Parkville 3052,94,9.4,,,Parkville 3052
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,45-54 years,94,4.3,45-54 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,55-64 years,109,11.2,55-64 years,,
participate in physical activity organised by a sports club or association,"yes, in the last 3 months",2019,65+ years,274,2.3,65+ years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Carlton 3053,129,39.9,,,Carlton 3053
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,East Melbourne 3002,94,57.7,,,East Melbourne 3002
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Kensington / Flemington 3031,110,51.9,,,Kensington / Flemington 3031
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Parkville 3052,91,40.4,,,Parkville 3052
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,Male,582,49.3,,Male,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,35-44 years,156,50.1,35-44 years,,
participate in adequate physical activity,"yes, 30 minutes or more on 4 or more days per week",2019,65+ years,270,42.0,65+ years,,
participate in sports and exercise activities,"yes, in the last 3 months",2019,Docklands 3008,105,78.3,,,Docklands 3008
participate in sports and exercise activities,"yes, in the last 3 months",2019,South Wharf / Southbank 3006,138,77.3,,,South Wharf / Southbank 3006
participate in sports and exercise activities,"yes, in the last 3 months",2019,Male,605,70.0,,Male,
participate in sports and exercise activities,"yes, in the last 3 months",2019,Female,648,71.1,,Female,
participate in sports and exercise activities,"yes, in the last 3 months",2019,25-34 years,323,77.3,25-34 years,,
participate in sports and exercise activities,"yes, in the last 3 months",2019,65+ years,274,40.2,65+ years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Docklands 3008,105,70.0,,,Docklands 3008
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,South Wharf / Southbank 3006,138,66.7,,,South Wharf / Southbank 3006
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,Female,648,61.9,,Female,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,35-44 years,161,58.5,35-44 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,45-54 years,94,40.7,45-54 years,,
participate in sports and exercise activities in city of melbourne,"yes, in the last 3 months",2019,65+ years,274,26.1,65+ years,,
participate in organised physical activity,"yes, in the last 3 months",2019,Carlton 3053,132,27.7,,,Carlton 3053
participate in organised physical activity,"yes, in the last 3 months",2019,Docklands 3008,105,27.1,,,Docklands 3008
participate in organised physical activity,"yes, in the last 3 months",2019,Melbourne 3000,265,25.0,,,Melbourne 3000
participate in organised physical activity,"yes, in the last 3 months",2019,North Melbourne 3051 / West Melbourne 3003,216,17.1,,,North Melbourne 3051 / West Melbourne 3003
participate in organised physical activity,"yes, in the last 3 months",2019,South Yarra 3141 / Melbourne/St Kilda Road 3004,101,25.3,,,South Yarra 3141 / Melbourne/St Kilda Road 3004
participate in organised physical activity,"yes, in the last 3 months",2019,18-24 years,298,35.2,18-24 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,25-34 years,323,20.6,25-34 years,,
participate in organised physical activity,"yes, in the last 3 months",2019,55-64 years,109,14.8,55-64 years,,
"participate in physical activity organised by a fitness, leisure or indoor sports centre","yes, in the last 3 months",2019,Parkville 3052,94,8.4,,,Parkville 3052
